IP address
user-agent string
browser type
operating system
referral URLs
device information
device IDs
pages visited
links clicked
user interactions
voting data
the requested URL
hardware settings
search terms
user activity
personalize content
other settings
third-party websites
advertising technology
comment-embed widget
specific location
Social Sharing
email address
user agreement
