Name,CriticRate,CriticNum,UserRate,UserNum,TN,Index
1849,60,6,5.5,4,6.4,59.6875
"""Glow Ball"" - The billiard puzzle game",0,0,0,0,0,0
//N.P.P.D. RUSH//- The milk of Ultraviolet,0,0,4.4,7,0.7,44
10 Second Ninja,72,13,7.4,15,14.5,72.20689655
100% Orange Juice,0,1,7.3,20,3,73
1001 Spikes,80,4,6.9,16,5.6,76.85714286
1953: 0TO vs Warsaw Pact,0,0,0,0,0,0
1954 Alcatraz,58,24,6.3,36,27.6,58.65217391
1HEART,0,0,0,0,0,0
1Quest,0,0,0,0,0,0
3 Stars of Destiny,0,2,8.8,48,6.8,88
300 Dwarves,0,0,0,0,0,0
3089 -- Futuristic Action RPG,0,0,6.9,11,1.1,69
4PM,41,7,4.2,26,9.6,41.27083333
4x4 Dream Race,0,0,0,0,0,0
6180 the moon,0,0,7.8,8,0.8,78
7 Wonders of the Ancient World,0,0,0,0,0,0
7 Wonders: Magical Mystery Tour,0,0,0,0,0,0
"7,62 High Calibre",0,0,0,0,0,0
7th Legion,0,0,6,4,0.4,60
8-Bit Commando,0,0,0,0,0,0
8BitBoy,64,4,5.6,12,5.2,62.15384615
9 Clues: The Secret of Serpent Creek,0,0,6.6,10,1,66
99 Levels To Hell,66,5,7.1,18,6.8,67.32352941
A Bird Story,66,18,7,124,30.4,67.63157895
A City Sleeps,61,11,5.8,4,11.4,60.89473684
A Date in the Park,0,0,4.4,5,0.5,44
A Golden Wake,68,17,6,20,19,67.15789474
A Story About My Uncle,73,24,7.2,95,33.5,72.71641791
A Vampyre Story,75,33,0,0,33,75
A Wizard's Lizard,0,2,7.1,12,3.2,71
A.I.M.2 Clan Wars,0,0,7.6,7,0.7,76
A.R.E.S. Extinction Agenda EX,0,2,0,0,2,0
Abalone,0,0,0,0,0,0
"About Love, Hate and the other ones",0,1,0,0,1,0
Abyss Odyssey,69,26,7.4,79,33.9,70.16519174
Abyss: The Wraiths of Eden,0,1,6.3,10,2,63
Acceleration of SUGURI X-Edition HD,0,0,0,0,0,0
ACE - Arena: Cyber Evolution,0,0,8,6,0.6,80
Aces Wild: Manic Brawling Action!,0,0,7.3,6,0.6,73
Across the Rhine,0,0,0,0,0,0
Actual Sunlight,77,4,6.5,15,5.5,73.72727273
Advanced Tactics Gold,0,0,0,0,0,0
Adventure Chronicles: The Search For Lost Treasure,0,0,0,0,0,0
Adventure Time: Finn and Jake's Epic Quest,0,3,7.1,13,4.3,71
Adventurer Manager,0,1,8,4,1.4,80
Aeon Command,0,0,6.8,5,0.5,68
aerofly RC 7,0,0,0,0,0,0
Agarest: Generations of War,45,5,6.8,102,15.2,60.43421053
Agarest: Generations of War Zero,0,1,6.2,21,3.1,62
Age of Mythology: Extended Edition,66,7,7.1,127,19.7,69.22335025
Age of Wonders III,80,35,8,556,90.6,80
Aggression: Europe Under Fire,0,0,0,0,0,0
Airline Tycoon Deluxe,0,0,0,0,0,0
Airship Dragoon,0,1,0,0,1,0
Akane the Kunoichi,0,1,3.8,8,1.8,38
Akaneiro: Demon Hunters,53,15,6.5,36,18.6,55.32258065
Al Emmo and the Lost Dutchman's Mine,77,7,7.5,20,9,76.55555556
Alcatraz Builder,0,0,0,0,0,0
Alchemy Mysteries: Prague Legends,0,0,4.6,8,0.8,46
Alea Jacta Est,0,3,5.4,10,4,54
Alien Carnage / Halloween Harry,0,0,0,0,0,0
Alien: Isolation,81,41,8.5,1758,216.8,84.24354244
ALLTYNEX Second,0,1,0,0,1,0
Alpha Kimori 1,0,3,4.2,5,3.5,42
Alpha Zylon,0,0,3.2,6,0.6,32
Altitude0: Lower & Faster,0,0,0,0,0,0
Always Remember Me,0,1,0,0,1,0
Always Sometimes Monsters,73,26,7.2,81,34.1,72.76246334
Amazing Frog?,0,0,0,0,0,0
Amazing Princess Sarah,0,1,0,0,1,0
Ame no Marginal -Rain Marginal-,0,2,0,0,2,0
A-Men,0,1,0,0,1,0
Amerzone: The Explorer's Legacy,0,0,0,0,0,0
Among the Sleep - Enhanced Edition,66,40,7.5,203,60.3,69.02985075
Amphora,0,2,6.9,7,2.7,69
Ampu-Tea,0,0,2.2,6,0.6,22
Anarchy Arcade,0,0,0,0,0,0
Ancient Space,68,17,7.4,54,22.4,69.44642857
Angels of Fasaria: Version 2.0,0,0,0,0,0,0
Angvik,0,0,0,0,0,0
Anmynor Puzzles,0,1,0,0,1,0
Anomaly Defenders,70,14,6.5,31,17.1,69.09356725
Another Perspective,0,1,0,0,1,0
Another Star,0,0,0,0,0,0
Antisquad,0,0,4.5,4,0.4,45
Appointment With FEAR,0,1,0,0,1,0
Aqua Kitty - Milk Mine Defender,0,0,7.9,7,0.7,79
Arcadecraft,0,1,0,0,1,0
Arcane Worlds,0,0,0,0,0,0
ArcheBlade,0,1,7.6,25,3.5,76
Arctic Adventure,0,0,0,0,0,0
Arctico,0,0,0,0,0,0
Aritana and the Harpy's Feather,0,2,5.5,17,3.7,55
AR-K,0,2,6.2,13,3.3,62
Ascendant,0,3,7.5,14,4.4,75
Ascension to the Throne,0,0,0,0,0,0
Ascension: Deckbuilding Game,0,1,0,0,1,0
Assassin's Creed Liberation HD,66,14,5.7,188,32.8,60.84146341
Assassin's Creed Freedom Cry,0,3,6.8,70,10,68
Assassin's Creed Unity,70,10,3.3,1613,171.3,35.1599533
Assetto Corsa,85,17,8.4,309,47.9,84.35490605
Astebreed: Definitive Edition,86,14,7.3,128,26.8,79.79104478
Asteria,0,0,0,0,0,0
Atajrubah,0,0,0,0,0,0
Aura Kingdom,0,0,6.7,22,2.2,67
