#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,
39,Independence-War-2-Edge-of-Chaos,7-May-15,$5.99,"0 (0""",83%),"000""",00:00 (00:00),Particle Systems Ltd.,Atari,
45,Duck-Game,4-Jun-15,$12.99,95% (96%,82%),"500,000?..?1,000,000",02:07 (01:13),Landon Podbielski,Adult Swim Games,
44,Kero-Blaster,11-Nov-15,$9.99,95% (96%,82%),"100,000?..?200,000",00:00 (00:00),Studio Pixel,AGM PLAYISM,
47,Technobabylon,15-May,$14.99,95% (96%,82%),"100,000?..?200,000",00:00 (00:00),Technocrat Games,Wadjet Eye Games,
42,Hacknet,12-Aug-15,$9.99,83% (92%,82%),"2,000,000?..?5,000,000",10:32 (01:05),Team Fractal Alligator,Fellow Traveller,
50,Invisible-Inc,12-May-15,$19.99,83% (92%,82%),"200,000?..?500,000",00:55 (01:01),Klei Entertainment,Klei Entertainment,
48,Resident-Evil,19-Jan-15,$19.99,74% (89%,82%),"500,000?..?1,000,000",02:50 (05:36),"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",
41,BLACKHOLE,27-Feb-15,$8.99,68% (87%,82%),"100,000?..?200,000",00:46 (00:18),FiolaSoft Studio,1C Entertainment,
43,Ninja-Pizza-Girl,30-Sep-15,$6.99,68% (87%,82%),"100,000?..?200,000",00:00 (00:00),Disparity Games,Disparity Games,
49,OlliOlli2-Welcome-to-Olliwood,11-Aug-15,$14.99,68% (87%,82%),"50,000?..?100,000",00:15 (00:05),Roll7,Devolver Digital,
46,The-Next-Penelope,29-May-15,$12.99,56% (82%,82%),"20,000?..?50,000",00:00 (00:00),Aurelien Regard,Plug In Digital,
53,Downwell,15-Oct-15,$2.99,95% (96%,81%),"200,000?..?500,000",00:22 (00:18),Moppin,Devolver Digital,
56,Kalimba,22-Apr-15,$9.99,87% (93%,81%),"0?..?20,000",00:00 (00:00),Press Play,Microsoft Studios,
52,shadowrun-hong-kong,20-Aug-15,$19.99,60% (84%,81%),"500,000?..?1,000,000",04:31 (01:30),Harebrained Schemes,Paradox Interactive,
55,SUNLESS-SEA,6-Feb-15,$18.99,60% (84%,81%),"200,000?..?500,000",03:28 (03:03),Failbetter Games,Failbetter Games,
57,The-Age-of-Decadence,14-Oct-15,$19.99,53% (81%,81%),"50,000?..?100,000",00:46 (00:15),Iron Tower Studio,Iron Tower Studio,
51,vietnam-65,5-Mar-15,$9.99,51% (80%,81%),"20,000?..?50,000",00:00 (00:00),Every Single Soldier,Slitherine Ltd.,
54,Galactic-Civilizations-III,14-May-15,$39.99,43% (76%,81%),"500,000?..?1,000,000",11:25 (14:34),Stardock Entertainment,Stardock Entertainment,
58,Order-of-Battle-World-War-II,30-Apr-15,Free,31% (69%,81%),"200,000?..?500,000",00:02 (00:00),The Artistocrats,Slitherine Ltd.,
67,Penarium,22-Sep-15,$9.99,97% (97%,80%),"50,000?..?100,000",00:44 (00:27),Self Made Miracle,Team17 Digital Ltd,
69,The-Legend-of-Heroes-Trails-in-the-Sky-SC,29-Oct-15,$29.99,97% (97%,80%),"20,000?..?50,000",00:00 (00:00),Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",
71,Lovers-in-a-Dangerous-Spacetime,9-Sep-15,$14.99,90% (94%,80%),"200,000?..?500,000",00:38 (00:25),Asteroid Base,Asteroid Base,
61,Axiom-Verge,14-May-15,$19.99,90% (94%,80%),"100,000?..?200,000",00:02 (00:00),Thomas Happ Games LLC,Thomas Happ Games LLC,
64,Dropsy,10-Sep-15,$9.99,90% (94%,80%),"100,000?..?200,000",00:00 (00:00),"Tendershoot, A Jolly Corpse",Devolver Digital,
66,Odallus-The-Dark-Call,15-Jul-15,$9.99,90% (94%,80%),"100,000?..?200,000",01:36 (00:32),JoyMasher,JoyMasher,
60,Rampage-Knights,4-Sep-15,$11.99,87% (93%,80%),"200,000?..?500,000",03:14 (03:44),Rake in Grass,Rake in Grass,
76,Circa-Infinity,9-Sep-15,$4.99,87% (93%,80%),"0?..?20,000",00:22 (00:07),Kenny Sun,Kenny Sun,
