Name,CriticRate,CriticNum,UserRate,UserNum
Far Cry 3,88,"
43
","
8.3
    ",3554
Fieldrunners,0,"
1
","
5.8
    ",26
Fireburst,59,"
5
","
4.4
    ",7
Fly'N,80,"
7
","
7.7
    ",62
Foreign Legion: Multi Massacre,0,"
2
","
5.6
    ",10
Fortune Summoners,60,"
6
","
7.8
    ",33
Fowl Space,0,"
3
","
5.2
    ",5
Fray: Reloaded Edition,27,"
8
","
2.4
    ",29
FTL: Faster Than Light,84,"
42
","
8.4
    ",1383
Galactic Civilizations I: Ultimate Edition,0,0,0,0
Galaxy on Fire 2 Full HD,63,"
7
","
6.6
    ",56
Game of Thrones,58,"
23
","
6.5
    ",359
Garshasp: Temple of the Dragon,0,"
2
","
6.6
    ",16
Gateways,72,"
8
","
7.7
    ",19
Gemini Wars,53,"
8
","
6.5
    ",22
Giana Sisters: Twisted Dreams,77,"
21
","
7.7
    ",163
Golden Axe III,0,0,"
8.2
    ",6
Gotham City Impostors Free to Play,65,"
14
","
6.6
    ",130
Gratuitous Tank Battles,69,"
9
","
6.7
    ",23
Great Big War Game,0,"
1
",0,0
GT Legends,84,"
21
","
7.8
    ",51
GTR - FIA GT Racing Game,85,"
24
","
7.9
    ",43
GTR 2 FIA GT Racing Game,0,0,0,0
Guns of Icarus Online,64,"
7
","
7.8
    ",326
"Hack, Slash, Loot",0,"
3
","
4.4
    ",32
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,75,"
6
","
7.5
    ",54
"Hamlet or the Last Game without MMORPG Features, Shaders ...",0,"
1
","
6.9
    ",13
Hard Reset Extended Edition,0,0,"
8.3
    ",4
Hegemony Gold: Wars of Ancient Greece,0,"
3
","
6.7
    ",19
Hell Yeah! Wrath of the Dead Rabbit,64,"
7
","
7.4
    ",77
Hero Academy,75,"
5
","
6.1
    ",46
Hidden Mysteries: Titanic,0,0,0,0
Hitman: Absolution,79,"
26
","
7.1
    ",1431
Home,69,"
10
","
6.0
    ",72
Hotline Miami,85,"
51
","
8.6
    ",1304
Hubert's Island Adventure: Mouse o' War,0,0,0,0
I Am Alive,66,"
10
","
6.0
    ",292
iBomber Attack,0,0,"
6.0
    ",8
iBomber Defense Pacific,0,"
1
","
5.5
    ",21
Indie Game: The Movie,0,0,0,0
INIT.,0,0,0,0
Insane 2,0,"
3
","
6.4
    ",16
Insanely Twisted Shadow Planet,76,"
4
","
7.2
    ",60
Intrusion 2,80,"
5
","
6.9
    ",76
Inversion,59,"
6
","
6.7
    ",114
Iron Brigade,75,"
7
","
5.3
    ",41
Iron Front: Digital War Edition,55,"
20
","
6.7
    ",93
Iron Sky: Invasion,49,"
9
","
6.2
    ",19
Jagged Alliance - Back in Action,0,"
2
","
8.5
    ",23
Jagged Alliance 2 - Wildfire,62,"
35
","
5.5
    ",188
Jagged Alliance: Crossfire,63,"
8
","
4.3
    ",38
Jane's Advanced Strike Fighters,48,"
4
","
3.3
    ",15
Jet Set Radio,0,0,"
6.8
    ",56
Karateka,48,"
4
","
4.6
    ",28
King Arthur II: The Role-Playing Wargame,66,"
39
","
6.6
    ",94
Kingdoms of Amalur: Reckoning,81,"
25
","
6.6
    ",1130
King's Bounty: Warriors of the North,74,"
14
","
7.1
    ",95
Krater,52,"
36
","
7.1
    ",209
Kung Fu Strike - The Warrior's Rise,63,"
4
","
7.3
    ",29
Legacy of Kain: Defiance,70,"
11
","
8.7
    ",79
Legacy of Kain: Soul Reaver,0,0,"
8.9
    ",69
Legacy of Kain: Soul Reaver 2,77,"
10
","
8.8
    ",92
Legend of Grimrock,82,"
51
","
8.1
    ",703
Legends of Atlantis: Exodus,0,"
1
",0,0
LEGO Batman 2 DC Super Heroes,81,"
6
","
7.6
    ",71
LEGO Harry Potter: Years 5-7,80,"
5
","
8.3
    ",57
LEGO The Lord of the Rings,80,"
6
","
8.1
    ",139
Little Inferno,68,"
17
","
7.5
    ",241
Lone Survivor: The Director's Cut,81,"
24
","
7.3
    ",142
Lucius,59,"
23
","
6.1
    ",161
Lunar Flight,0,"
3
","
8.9
    ",49
Luxor Evolved,0,"
2
","
8.4
    ",7
Luxor: Amun Rising HD,0,0,"
8.0
    ",5
Mabinogi,0,"
2
","
7.4
    ",28
MacGuffin's Curse,73,"
4
","
7.8
    ",8
Magic: The Gathering - Duels of the Planeswalkers 2013,77,"
11
","
6.9
    ",100
Magical Diary: Horse Hall,0,"
1
","
7.5
    ",16
Magical Drop V,0,"
3
","
6.7
    ",19
MapleStory,0,0,0,0
Max Payne 3,87,"
30
","
7.7
    ",2390
McPixel,76,"
4
","
6.2
    ",139
MDK2 HD,73,"
5
","
6.5
    ",24
Memento Mori,66,"
12
","
7.7
    ",31
Men of War: Condemned Heroes,57,"
12
","
6.4
    ",28
Miasmata,76,"
21
","
7.7
    ",115
Midnight Mysteries 3: Devil on the Mississippi,0,0,"
7.8
    ",4
Midnight Mysteries 4: Haunted Houdini,0,"
1
","
8.0
    ",7
Midnight Mysteries: Salem Witch Trials,0,"
2
",0,0
Miner Warfare,0,0,0,0
Miner Wars 2081,52,"
9
","
6.0
    ",70
Miner Wars Arena,0,"
2
","
6.8
    ",6
Mutant Storm: Reloaded,0,0,0,0
Myst V: End of Ages,80,"
26
","
7.7
    ",53
Nancy Drew: The Deadly Device,0,"
3
",0,0
Nancy Drew: Tomb of the Lost Queen,0,"
2
",0,0
Natural Selection 2,80,"
28
","
8.5
    ",624
Nethergate: Resurrection,0,0,"
8.0
    ",4
New Star Soccer 5,0,0,"
6.5
    ",11
Nexuiz,54,"
6
","
6.9
    ",57
NiGHTS Into Dreams,0,"
1
","
8.0
    ",24
Noitu Love 2: Devolution,80,"
4
","
8.3
    ",24
Notch - The Innocent LunA: Eclipsed SinnerS,0,0,0,0
Of Orcs And Men,69,"
14
","
6.7
    ",194
Offspring Fling!,79,"
4
","
6.9
    ",36
Oil Rush,67,"
23
","
6.5
    ",55
Orcs Must Die! 2,83,"
43
","
7.9
    ",525
Painkiller Hell & Damnation,64,"
33
","
6.6
    ",172
Painkiller: Recurring Evil,38,"
4
","
3.8
    ",37
Party of Sin,0,"
2
","
4.4
    ",10
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,77,"
18
","
7.3
    ",55
Phantasy Star II,0,0,0,0
Phantasy Star III: Generations of Doom,0,0,"
5.8
    ",4
Phantasy Star IV: The End of the Millennium,0,0,"
8.3
    ",8
Phineas and Ferb: New Inventions,0,0,0,0
Pickers,0,"
1
",0,0
Pid,63,"
11
","
7.7
    ",68
Pineapple Smash Crew,62,"
10
","
7.5
    ",15
PixelJunk Eden,81,"
4
","
6.8
    ",31
Planets Under Attack,0,"
3
","
4.9
    ",18
PlanetSide 2,84,"
42
","
7.0
    ",1305
Playing History - The Plague,0,0,0,0
Port Royale 3,54,"
17
","
5.6
    ",56
POSTAL 2,50,"
27
","
8.0
    ",367
Postal III,24,"
20
","
3.0
    ",273
Primal Carnage,67,"
15
","
7.6
    ",129
Primordia,72,"
29
","
8.8
    ",171
Prototype 2,76,"
12
","
6.4
    ",431
Puddle,0,"
3
","
5.5
    ",16
Quantum Conundrum,77,"
60
","
7.3
    ",190
R.A.W. Realms of Ancient War,39,"
7
","
4.7
    ",49
Rayman Origins,86,"
11
","
8.4
    ",373
Really Big Sky,0,"
3
","
5.1
    ",38
Realm of the Mad God,82,"
6
","
7.1
    ",164
Resident Evil: Operation Raccoon City,48,"
8
","
3.9
    ",208
Resonance,76,"
35
","
7.7
    ",108
Revelations 2012,0,"
3
","
1.9
    ",61
Ridge Racer Unbounded,72,"
9
","
6.2
    ",82
Rigonauts,60,"
5
","
5.3
    ",6
Risen 2: Dark Waters,69,"
51
","
5.7
    ",780
Rocketbirds: Hardboiled Chicken,74,"
6
","
7.3
    ",44
Rocksmith,78,"
5
","
8.2
    ",57
Roller Coaster Rampage,0,"
1
",0,0
ROSE Online,0,0,0,0
Rotastic,0,0,0,0
Rune Classic,0,0,"
6.4
    ",10
Sacred 2 Gold,0,0,"
7.5
    ",27
Scary Girl,0,"
2
","
5.5
    ",6
Scoregasm,0,"
3
","
8.5
    ",6
Scribblenauts Unlimited,75,"
14
","
7.7
    ",178
Sea Dogs: To Each His Own - Pirate Open World RPG,0,0,"
6.2
    ",14
SEAL Team 12,0,0,0,0
Secret Files 3,67,"
14
","
6.1
    ",20
Serious Sam 2,74,"
31
","
6.9
    ",182
Shad'O,68,"
7
","
6.6
    ",48
Shank 2,72,"
12
","
6.4
    ",123
Sherlock Holmes and The Hound of The Baskervilles,0,0,"
7.0
    ",6
Sine Mora,77,"
5
","
7.3
    ",80
Sins of a Solar Empire: Rebellion,82,"
24
","
7.8
    ",261
Sleeping Dogs: Ghost Pig,0,0,0,0
Snapshot,74,"
8
","
7.3
    ",20
Sniper Elite V2,66,"
21
","
6.7
    ",540
Snuggle Truck,0,"
2
","
4.9
    ",21
SOL: Exodus,57,"
16
","
6.9
    ",16
Sonic Adventure 2,0,0,"
8.4
    ",72
Sonic CD,0,0,"
8.7
    ",40
Sonic the Hedgehog 4 - Episode I,0,"
1
","
5.6
    ",43
Sonic the Hedgehog 4 - Episode II,54,"
5
","
6.7
    ",70
Space Ark,0,"
1
",0,0
SpaceCorn,0,0,0,0
Spec Ops: The Line,76,"
16
","
8.2
    ",1388
SpellForce 2: Faith in Destiny,55,"
12
","
6.0
    ",33
Spirits,0,0,"
6.7
    ",6
Splice,70,"
6
","
7.6
    ",38
Stacking,80,"
9
","
7.7
    ",97
Star Trek Online,66,"
34
","
6.2
    ",712
STAR WARS Knights of the Old Republic II - The Sith Lords,85,"
31
","
8.4
    ",730
Starpoint Gemini,0,0,0,0
Stealth Bastard Deluxe,0,0,0,0
Stellar Impact,74,"
5
","
7.1
    ",38
Storm in a Teacup,0,"
1
",0,0
Street Fighter X Tekken,79,"
8
","
6.3
    ",140
Streets of Rage 3,0,0,0,0
Stronghold 3 Gold,75,"
4
","
4.8
    ",90
Stronghold Kingdoms,0,"
1
","
5.0
    ",20
Sugar Cube: Bittersweet Factory,0,"
3
","
5.0
    ",9
Super Crate Box,0,0,"
7.8
    ",21
Super Hexagon,88,"
4
","
8.4
    ",224
Superbrothers: Sword & Sworcery EP,83,"
10
","
6.4
    ",214
Sword of the Stars II: Enhanced Edition,65,"
5
","
7.1
    ",68
Symphony,75,"
13
","
7.7
    ",49
Tales From Space: Mutant Blobs Attack,83,"
5
","
7.9
    ",41
TDP4:Team Battle,0,0,0,0
Test Drive: Ferrari Racing Legends,0,"
2
","
7.0
    ",28
The Basement Collection,0,"
1
","
7.7
    ",45
The Blackwell Legacy,80,"
6
","
7.9
    ",77
The Bluecoats: North vs South,0,"
2
",0,0
The Book of Unwritten Tales,82,"
32
","
8.3
    ",147
The Book of Unwritten Tales: The Critter Chronicles,73,"
14
","
6.8
    ",30
The Dark Eye: Chains of Satinav,75,"
24
","
7.7
    ",125
The Darkness II,77,"
20
","
7.6
    ",491
The Dream Machine: Chapter 1 & 2,75,"
13
","
8.3
    ",45
The Juicer,0,0,0,0
The Lord of the Rings Online,88,"
6
","
6.9
    ",67
The Old Tree,0,0,"
5.0
    ",7
The Revenge of Shinobi,0,0,0,0
The Testament of Sherlock Holmes,73,"
18
","
7.9
    ",140
The Walking Dead,38,"
13
","
2.6
    ",306
The Witcher 2: Assassins of Kings Enhanced Edition,88,"
76
","
8.5
    ",4792
They Bleed Pixels,74,"
8
","
7.5
    ",83
Thief Gold,0,0,0,0
Thief II: The Metal Age,87,"
18
","
9.0
    ",234
Thirty Flights of Loving,88,"
10
","
5.0
    ",180
Thomas Was Alone,77,"
17
","
8.1
    ",337
Ticket to Ride,0,0,"
7.6
    ",21
Tiny and Big: Grandpa's Leftovers,75,"
30
","
7.4
    ",98
Tiny Troopers,57,"
7
","
5.7
    ",17
Titan Attacks!,0,"
2
","
7.6
    ",19
To the Moon,81,"
26
","
9.0
    ",1224
Tobari and the Night of the Curious Moon,0,"
1
",0,0
ToeJam & Earl in Panic on Funkotron,0,0,0,0
Tom Clancy's Ghost Recon: Future Soldier,71,"
13
","
5.1
    ",372
Tomb Raider I,0,0,0,0
Tomb Raider II,0,0,"
8.1
    ",48
Tomb Raider III,0,0,"
8.2
    ",34
Tomb Raider IV: The Last Revelation,0,0,0,0
Tomb Raider V: Chronicles,0,0,0,0
Tomb Raider VI: The Angel of Darkness,0,0,0,0
Torchlight II,88,"
67
","
8.5
    ",1938
Total War: Shogun 2 - Fall of the Samurai,86,"
45
","
8.5
    ",374
Tower Wars,59,"
6
","
6.6
    ",57
Towns,0,"
3
","
4.0
    ",125
Toy Soldiers,71,"
4
","
7.4
    ",86
Train of Afterlife,0,"
1
",0,0
Tribes: Ascend,86,"
30
","
7.8
    ",583
Triple Town,0,"
2
","
7.3
    ",15
Tropical Fish Shop 2,0,0,0,0
Tryst,50,"
16
","
6.4
    ",18
Tsukumogami,0,0,0,0
Unity of Command: Stalingrad Campaign,0,"
1
","
6.8
    ",5
Unmechanical,74,"
24
","
7.8
    ",76
Unstoppable Gorg,73,"
26
","
6.7
    ",30
VectorMan 2,0,0,0,0
Venusian Vengeance,0,"
1
",0,0
Vessel,81,"
26
","
7.7
    ",112
Viking: Battle for Asgard,65,"
6
","
5.6
    ",63
Vindictus,76,"
6
","
7.0
    ",130
Waking Mars,79,"
5
","
7.7
    ",71
Wanderlust: Rebirth,0,"
3
","
4.8
    ",29
Wargame: European Escalation,0,0,0,0
Warlock - Master of the Arcane,0,0,0,0
Warp,75,"
9
","
5.8
    ",47
Waveform,0,0,0,0
Wizorb,0,0,0,0
Wonder Boy in Monster World,0,0,0,0
Worms Revolution,73,"
16
","
6.7
    ",118
XCOM: Enemy Unknown,89,"
57
","
8.2
    ",2341
Yesterday,65,"
33
","
6.9
    ",64
Ys Origin,76,"
7
","
8.4
    ",117
Ys: The Oath in Felghana,73,"
7
","
7.8
    ",53
Zombie Driver HD,0,"
1
","
5.6
    ",24
