Name,CriticRate,CriticNum,UserRate,UserNum
1849,60,"6","
5.5
    ",4
"""Glow Ball"" - The billiard puzzle game",0,0,0,0
//N.P.P.D. RUSH//- The milk of Ultraviolet,0,0,"
4.4
    ",7
10 Second Ninja,72,"
    13
","
7.4
    ",15
100% Orange Juice,0,"
    1
","
7.3
    ",20
1001 Spikes,80,"
    4
","
6.9
    ",16
1953: 0TO vs Warsaw Pact,0,0,0,0
1954 Alcatraz,58,"
    24
","
6.3
    ",36
1HEART,0,0,0,0
1Quest,0,0,0,0
3 Stars of Destiny,0,"
    2
","
8.8
    ",48
300 Dwarves,0,0,0,0
3089 -- Futuristic Action RPG,0,0,"
6.9
    ",11
4PM,41,"
    7
","
4.2
    ",26
4x4 Dream Race,0,0,0,0
6180 the moon,0,0,"
7.8
    ",8
7 Wonders of the Ancient World,0,0,0,0
7 Wonders: Magical Mystery Tour,0,0,0,0
"7,62 High Calibre",0,0,0,0
7th Legion,0,0,"
6.0
    ",4
8-Bit Commando,0,0,0,0
8BitBoy,64,"
    4
","
5.6
    ",12
9 Clues: The Secret of Serpent Creek,0,0,"
6.6
    ",10
99 Levels To Hell,66,"
    5
","
7.1
    ",18
A Bird Story,66,"
    18
","
7.0
    ",124
A City Sleeps,61,"
    11
","
5.8
    ",4
A Date in the Park,0,0,"
4.4
    ",5
A Golden Wake,68,"
    17
","
6.0
    ",20
A Story About My Uncle,73,"
    24
","
7.2
    ",95
A Vampyre Story,75,"
    33
",0,0
A Wizard's Lizard,0,"
    2
","
7.1
    ",12
A.I.M.2 Clan Wars,0,0,"
7.6
    ",7
A.R.E.S. Extinction Agenda EX,0,"
    2
",0,0
Abalone,0,0,0,0
"About Love, Hate and the other ones",0,"
    1
",0,0
Abyss Odyssey,69,"
    26
","
7.4
    ",79
Abyss: The Wraiths of Eden,0,"
    1
","
6.3
    ",10
Acceleration of SUGURI X-Edition HD,0,0,0,0
ACE - Arena: Cyber Evolution,0,0,8,6
Aces Wild: Manic Brawling Action!,0,0,"
7.3
    ",6
Across the Rhine,0,0,0,0
Actual Sunlight,77,"
    4
","
6.5
    ",15
Advanced Tactics Gold,0,0,0,0
Adventure Chronicles: The Search For Lost Treasure,0,0,0,0
Adventure Time: Finn and Jake's Epic Quest,0,"
    3
","
7.1
    ",13
Adventurer Manager,0,"
    1
","
8.0
    ",4
Aeon Command,0,0,"
6.8
    ",5
aerofly RC 7,0,0,0,0
Agarest: Generations of War,45,"
    5
","
6.8
    ",102
Agarest: Generations of War Zero,0,"
    1
","
6.2
    ",21
Age of Mythology: Extended Edition,66,"
    7
","
7.1
    ",127
Age of Wonders III,80,"
    35
","
8.0
    ",556
Aggression: Europe Under Fire,0,0,0,0
Airline Tycoon Deluxe,0,0,0,0
Airship Dragoon,0,"
    1
",0,0
Akane the Kunoichi,0,"
    1
","
3.8
    ",8
Akaneiro: Demon Hunters,53,"
    15
","
6.5
    ",36
Al Emmo and the Lost Dutchman's Mine,77,"
    7
","
7.5
    ",20
Alcatraz Builder,0,0,0,0
Alchemy Mysteries: Prague Legends,0,0,"
4.6
    ",8
Alea Jacta Est,0,"
    3
","
5.4
    ",10
Alien Carnage / Halloween Harry,0,0,0,0
Alien: Isolation,81,"
    41
","
8.5
    ",1758
ALLTYNEX Second,0,"
    1
",0,0
Alpha Kimori 1,0,"
    3
","
4.2
    ",5
Alpha Zylon,0,0,"
3.2
    ",6
Altitude0: Lower & Faster,0,0,0,0
Always Remember Me,0,"
    1
",0,0
Always Sometimes Monsters,73,"
    26
","
7.2
    ",81
Amazing Frog?,0,0,0,0
Amazing Princess Sarah,0,"
    1
",0,0
Ame no Marginal -Rain Marginal-,0,"
    2
",0,0
A-Men,0,"
    1
",0,0
Amerzone: The Explorer's Legacy,0,0,0,0
Among the Sleep - Enhanced Edition,66,"
    40
","
7.5
    ",203
Amphora,0,"
    2
","
6.9
    ",7
Ampu-Tea,0,0,"
2.2
    ",6
Anarchy Arcade,0,0,0,0
Ancient Space,68,"
    17
","
7.4
    ",54
Angels of Fasaria: Version 2.0,0,0,0,0
Angvik,0,0,0,0
Anmynor Puzzles,0,"
    1
",0,0
Anomaly Defenders,70,"
    14
","
6.5
    ",31
Another Perspective,0,"
    1
",0,0
Another Star,0,0,0,0
Antisquad,0,0,"
4.5
    ",4
Appointment With FEAR,0,"
    1
",0,0
Aqua Kitty - Milk Mine Defender,0,0,"
7.9
    ",7
Arcadecraft,0,"
    1
",0,0
Arcane Worlds,0,0,0,0
ArcheBlade,0,"
    1
","
7.6
    ",25
Arctic Adventure,0,0,0,0
Arctico,0,0,0,0
Aritana and the Harpy's Feather,0,2,5.5,17
AR-K,0,"
    2
","
6.2
    ",13
Ascendant,0,"
    3
","
7.5
    ",14
Ascension to the Throne,0,0,0,0
Ascension: Deckbuilding Game,0,"
    1
",0,0
Assassin's Creed Liberation HD,66,14,5.7,188
Assassin's Creed Freedom Cry,0,3,6.8,70
Assassin's Creed Unity,70,"
    10
","
3.3
    ",1613
Assetto Corsa,85,"
    17
","
8.4
    ",309
Astebreed: Definitive Edition,86,"
    14
","
7.3
    ",128
Asteria,0,0,0,0
Atajrubah,0,0,0,0
Aura Kingdom,0,0,"
6.7
    ",22
AutoTileGen,0,0,0,0
Autumn,0,0,0,0
Aveyond 3-1: Lord of Twilight,0,0,0,0
Aveyond 3-2: Gates of Night,0,0,0,0
Aviator - Bush Pilot,0,0,0,0
Avoid - Sensory Overload,0,"
    1
",0,0
B-17 Flying Fortress: The Mighty 8th,82,"
    14
","
7.5
    ",11
Back to Bed,57,"
    13
","
6.0
    ",20
Back To Life 2,0,0,0,0
Back To Life 3,0,0,0,0
Bad Mojo Redux,74,"
    12
","
7.0
    ",14
Baezult,0,0,0,0
Ballad of Solar,0,0,0,0
