Name,CriticRate,CriticNum,UserRate,UserNum,TN,Index
Artemis Spaceship Bridge Simulator,0,0,8.6,13,1.3,86
Assassin's Creed IV Black Flag,84,10,7.7,1683,178.3,77.39259675
A-Train 8,0,0,0,0,0,0
Avadon 2: The Corruption,82,4,7.7,31,7.1,79.81690141
Axis Game Factory's AGFPRO v3,0,0,0,0,0,0
Bad Bots,49,8,4.6,18,9.8,48.44897959
Bad Hotel,0,1,3.3,10,2,33
Baldur's Gate II: Enhanced Edition,78,34,7.4,317,65.7,76.07001522
Baldur's Gate: Enhanced Edition,78,39,6.6,374,76.4,72.12565445
Ballpoint Universe - Infinite,0,1,6,7,1.7,60
Batman: Arkham Origins,74,17,7.5,1276,144.6,74.8824343
Battle Worlds: Kronos,71,15,7.1,71,22.1,71
Battleship,0,0,0,0,0,0
Beast Boxing Turbo,0,0,6.6,7,0.7,66
Beatbuddy: Tale of the Guardians,75,20,7.4,36,23.6,74.84745763
Bientot l'ete,62,12,4.4,32,15.2,58.21052632
Bionic Dues,71,6,7.6,62,12.2,73.54098361
BioShock Infinite,94,68,8.6,7856,853.6,86.63730084
BIT.TRIP FATE,74,9,6.4,9,9.9,73.09090909
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,85,23,8.1,164,39.4,83.33502538
Bleed,0,2,7.7,35,5.5,77
Blockland,0,0,5.8,77,7.7,58
Blood Knights,0,3,6,43,7.3,60
Blood of the Werewolf,65,9,7.4,45,13.5,68
Blood Omen 2: Legacy of Kain,66,8,8.3,43,12.3,71.94308943
Bloody Trapland,0,1,6.3,12,2.2,63
Bridge Constructor,0,3,6.7,10,4,67
Bridge It +,0,0,0,0,0,0
Bridge Project,0,1,4.5,22,3.2,45
Broken Sword 5 - the Serpent's Curse,69,39,7.9,153,54.3,71.81767956
Brothers - A Tale of Two Sons,90,9,8.6,1334,142.4,86.25280899
Brutal Legend,80,17,7.8,428,59.8,78.56856187
Bunny Must Die! Chelsea and the 7 Devils,0,0,7.3,8,0.8,73
Bus-Simulator 2012,0,0,0,0,0,0
Call of Duty: Ghosts - Digital Hardened Edition,0,0,0,0,0,0
Castle of Illusion,69,4,6.7,55,9.5,67.84210526
CastleStorm,73,8,7.7,65,14.5,74.79310345
Castlevania: Lords of Shadow ??Ultimate Edition,81,23,7.4,587,81.7,75.97062424
Chainsaw Warrior,0,2,3.8,4,2.4,38
Champions of Regnum,0,1,5.4,30,4,54
Citadels,20,6,1.4,96,15.6,16.30769231
Cities in Motion 2,72,15,7.3,151,30.1,72.50166113
Cities XL Platinum,0,0,5.5,74,7.4,55
Clickteam Fusion 2.5,0,0,0,0,0,0
Cloudberry Kingdom,67,6,7.4,26,8.6,69.11627907
Cognition: An Erica Reed Thriller,0,1,8,11,2.1,80
Company of Heroes 2,80,82,2.1,5692,651.2,28.42936118
Construct 2,0,0,0,0,0,0
Contagion,62,4,7.2,108,14.8,69.2972973
Contrast,62,24,7.6,189,42.9,68.16783217
"Cook, Serve, Delicious!",0,1,7.8,52,6.2,78
Cranky Cat,0,0,0,0,0,0
Cry of Fear,0,0,8.1,143,14.3,81
Cubemen 2,68,4,6.8,16,5.6,68
Cubetractor,75,6,7.2,13,7.3,74.46575342
Cut the Rope,0,0,3.8,4,0.4,38
Daikatana,0,0,0,0,0,0
DARK,41,21,4.3,263,47.3,42.11205074
Dark Angels: Masquerade of Shadows,0,0,0,0,0,0
Dark Fall 2: Lights Out,66,20,6.8,17,21.7,66.15668203
Dark Fall: The Journal,68,23,7.5,19,24.9,68.53413655
Dark Matter,0,0,0,0,0,0
Darkfall Unholy Wars,0,1,7.2,109,11.9,72
Darkout,55,13,6.8,16,14.6,56.42465753
DayZ,0,0,0,0,0,0
DCS World Steam Edition,0,1,8.9,54,6.4,89
Dead Sky,0,3,4.2,13,4.3,42
Deadfall Adventures,53,31,7,164,47.4,58.88185654
Deadly Premonition: The Director's Cut,59,7,7.2,112,18.2,67
Deathtrap Dungeon,0,0,0,0,0,0
Defense Technica,63,15,7.7,19,16.9,64.5739645
Dementium II HD,37,5,4.9,28,7.8,41.30769231
Democracy 3,70,14,7.1,144,28.4,70.50704225
Demonicon,61,12,6.6,67,18.7,62.79144385
Desktop Dungeons,82,12,7.7,64,18.4,80.26086957
Desperados: Wanted Dead or Alive,78,12,8.8,119,23.9,82.9790795
Deus Ex: Human Revolution - Director's Cut,91,4,8.5,478,51.8,85.46332046
DisplayFusion,0,0,0,0,0,0
Divekick,73,5,6.7,53,10.3,69.91262136
Divinity: Dragon Commander,76,37,7.1,252,62.2,73.97427653
DIVO,0,1,0,0,1,0
DLC Quest,0,2,6.4,101,12.1,64
DmC: Devil May Cry,85,22,6.9,1814,203.4,70.73058014
Dominions 3: The Awakening,82,8,7.6,45,12.5,79.84
Dominions 4: Thrones of Ascension,0,3,8.4,32,6.2,84
Doorways: Prelude,0,3,6.3,33,6.3,63
Dota 2,90,33,6.5,11026,1135.6,65.7264882
Dracula: Love Kills,0,0,0,0,0,0
Dragon's Lair,0,0,5.6,5,0.5,56
Dragon's Lair 2: Time Warp,0,0,0,0,0,0
Dragon's Prophet,63,7,5.9,49,11.9,61.35294118
Draw a Stickman: EPIC,0,0,7.2,13,1.3,72
Driver Fusion - The Best Driver & Device Solution,0,0,0,0,0,0
Droid Assault,0,2,8.3,9,2.9,83
DuckTales: Remastered,66,6,7.6,165,22.5,73.33333333
Dungeon Hearts,73,8,6.4,21,10.1,71.12871287
Dungeon-Party,0,0,5.8,5,0.5,58
Dungeons & Dragons: Chronicles of Mystara,80,9,6.8,34,12.4,76.70967742
Dust: An Elysian Tail,85,7,8.5,486,55.6,85
Dyad,80,4,7.6,12,5.2,79.07692308
Dysfunctional Systems: Learning to Manage Chaos,0,1,5.9,16,2.6,59
Eador. Masters of the Broken World,0,1,8.8,31,4.1,88
Eador: Genesis,74,19,7.2,213,40.3,72.94292804
Earth 2140,0,0,5.8,18,1.8,58
Earth 2150 Trilogy,0,0,8.1,8,0.8,81
Edna & Harvey: The Breakout,56,7,6.6,40,11,59.63636364
Elder Sign: Omens,0,1,0,0,1,0
Eldritch,77,14,6.8,46,18.6,74.77419355
Electronic Super Joy,0,3,7.3,51,8.1,73
Element4l,77,8,7.7,36,11.6,77
Eleusis,49,5,6.8,21,7.1,54.61971831
Emergency 2014,0,0,0,0,0,0
Enclave,71,15,7,97,24.7,70.60728745
ENSLAVED: Odyssey to the West Premium Edition,70,8,7.6,227,30.7,74.43648208
Eryi's Action,0,2,6,11,3.1,60
Escape Goat,0,2,7.5,18,3.8,75
Euro Truck Simulator,0,0,7.5,40,4,75
Europa Universalis IV,87,34,8.7,1095,143.5,87
Evoland,61,27,6.8,167,43.7,63.67505721
Expeditions: Conquistador,77,21,8.1,208,41.8,78.99043062
Face Noir,59,14,6.3,28,16.8,59.66666667
Fallen Enchantress: Legendary Heroes,80,18,7.7,158,33.8,78.59763314
Far Cry 3 - Blood Dragon,81,31,8.1,836,114.6,81
Farming Giant,0,1,4.6,5,1.5,46
Farming Simulator 2013 Titanium Edition,0,0,0,0,0,0
FATE,80,9,7.7,53,14.3,78.88811189
Fester Mudd: Curse of the Gold - Episode 1,76,5,7.7,21,7.1,76.29577465
FEZ,91,11,6.7,1098,120.8,69.18543046
Fieldrunners 2,73,5,7.5,39,8.9,73.87640449
Final Exam,66,5,6.7,19,6.9,66.27536232
FI0L FANTASY VII,0,0,9.2,270,27,92
FI0L FANTASY VIII,0,0,9.1,172,17.2,91
FI0L FANTASY XI: Ultimate Collection Seekers Edition,0,0,8.2,5,0.5,82
Finding Teddy,0,1,6.3,16,2.6,63
Fist Puncher,73,11,7.5,25,13.5,73.37037037
Flashback,0,1,5,46,5.6,50
Flashpoint Campaigns: Red Storm Player's Edition,0,1,0,0,1,0
FORCED: Slightly Better Edition,72,25,7.7,132,38.2,73.72774869
Foul Play,69,9,5.9,30,12,66.5
Game Dev Tycoon,68,21,8,1024,123.4,77.95786062
Gas Guzzlers Extreme,73,9,8.6,152,24.2,81.16528926
Gentlemen!,0,0,0,0,0,0
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,84,5,8,43,9.3,82.15053763
Gimbal,0,0,0,0,0,0
Go Home Dinosaurs!,0,1,7.8,25,3.5,78
God Mode,58,16,6.8,132,29.2,62.52054795
Gomo,50,19,4.8,24,21.4,49.77570093
Gone Home,86,56,5.4,2093,265.3,60.75461741
Goodbye Deponia,80,34,7.8,201,54.1,79.25693161
Gorky 17,0,0,0,0,0,0
Gravi,0,0,8.8,4,0.4,88
Gravity Badgers,0,2,2.2,5,2.5,22
GRID 2,80,17,5.8,584,75.4,62.9602122
Guacamelee! Gold Edition,88,22,7.3,238,45.8,80.20524017
Guardians of Middle-earth,56,12,5.9,108,22.8,57.42105263
Guncraft,73,6,4.3,73,13.3,56.53383459
Gunpoint,83,33,8.4,391,72.1,83.54230236
Hammerwatch,72,5,7.5,105,15.5,74.03225806
Happy Pong,0,0,0,0,0,0
Hate Plus,0,1,6,28,3.8,60
Heli Heroes,0,0,6.4,5,0.5,64
Helmet Heroes,0,0,0,0,0,0
Hero of the Kingdom,0,0,7.3,29,2.9,73
Hexodius,47,7,5.7,11,8.1,48.35802469
Highborn,0,3,0,0,3,0
Huntsman: The Orphanage(Halloween Edition),0,2,5.8,20,4,58
"I Have No Mouth, and I Must Scream",0,0,7.8,18,1.8,78
Iesabel,0,2,5.3,23,4.3,53
Impire,45,28,5.4,148,42.8,48.11214953
Incredipede,74,7,6.9,24,9.4,72.72340426
InFlux,0,3,6.8,5,3.5,68
Injustice: Gods Among Us Ultimate Edition,79,4,7.7,169,20.9,77.38277512
Inquisitor,64,5,7.9,89,13.9,73.60431655
Intake,0,2,8.7,6,2.6,87
Interstellar Marines,0,0,7.1,53,5.3,71
Ironclad Tactics,69,12,7.2,40,16,69.75
Ittle Dew,67,4,8.1,37,7.7,73.72727273
Jack Keane 2 - The Fire Within,52,12,6.5,20,14,53.85714286
Jack Lumber,0,1,6,12,2.2,60
Jack Orlando: Director's Cut,0,0,0,0,0,0
Joe Danger,0,3,6.8,11,4.1,68
Joe Danger 2: The Movie,82,4,7.2,24,6.4,78.25
Journey of a Roach,65,19,6.9,41,23.1,65.70995671
Just Cause 2: Multiplayer Mod,0,0,0,0,0,0
Kairo,76,6,7.8,53,11.3,76.9380531
Kenshi,0,2,8.2,32,5.2,82
Kentucky Route Zero,0,0,8.4,30,3,84
King Arthur's Gold,81,4,8.4,55,9.5,82.73684211
King Bounty: Legions,0,0,0,0,0,0
Kingdom Wars,0,0,0,0,0,0
Kingdoms Rise,0,0,3.7,16,1.6,37
Knights and Merchants,0,0,8.7,36,3.6,87
Knights of Pen and Paper +1 Edition,62,9,5.8,79,16.9,60.13017751
KnightShift,0,0,4.4,12,1.2,44
Knock-knock,57,16,8.3,180,34,70.76470588
Knytt Underground,0,1,8.2,14,2.4,82
La-Mulana,80,9,7.2,73,16.3,76.41717791
Legend of Dungeon,62,13,7.5,56,18.6,65.91397849
Legends of Aethereus,41,5,5.9,40,9,49
LEGO Marvel Super Heroes,78,7,8.2,143,21.3,80.68544601
Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,56,45,8.3,171,62.1,63.43478261
Life of a Wizard,0,0,0,0,0,0
Lilly Looking Through,71,9,6.8,40,13,70.07692308
LogoMaker 4,0,0,0,0,0,0
Long Live The Queen,67,5,7.8,95,14.5,74.20689655
Lords of Football,52,13,6.4,55,18.5,55.56756757
LOST PLANET 3,61,17,6.2,218,38.8,61.56185567
Luxor 2 HD,0,0,6.3,4,0.4,63
Magic 2014 - Duels of the Planeswalkers,77,19,6.1,114,30.4,71
Magrunner: Dark Pulse,70,31,7.5,65,37.5,70.86666667
Marc Ecko's Getting Up: Contents Under Pressure,69,21,7.7,59,26.9,70.75464684
March of the Eagles,71,19,6.9,43,23.3,70.63090129
Marlow Briggs and the Mask of Death,65,4,7.1,78,11.8,68.96610169
Mars: War Logs,59,32,7.2,271,59.1,64.96108291
Marvel Puzzle Quest,0,0,0,0,0,0
Master Reboot,59,13,5.9,39,16.9,59
Megabyte Punch,69,7,7.4,29,9.9,70.46464646
Memoria,79,43,8.1,137,56.7,79.48324515
Might & Magic: Heroes VI - Shades of Darkness,66,15,5.3,81,23.1,61.44155844
Mini Motor Racing EVO,0,2,5.9,26,4.6,59
MirrorMoon EP,73,9,5.5,20,11,69.72727273
Monaco: What's Yours Is Mine,83,47,7.7,218,68.8,81.09883721
Monster Loves You!,0,3,6.2,21,5.1,62
Montague's Mount,39,21,5,40,25,40.76
Mosaico,0,0,0,0,0,0
MotoGP13,0,1,5.2,26,3.6,52
Ms. Splosion Man,0,0,7.9,14,1.4,79
MUD Motocross World Championship,0,3,0,0,3,0
MURI,0,0,6.9,8,0.8,69
Mutant Mudds Deluxe,0,0,6,9,0.9,60
Nancy Drew: Ghost of Thornton Hall,0,2,8.2,6,2.6,82
Nancy Drew: The Silent Spy,0,0,0,0,0,0
0RUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,80,7,8.1,232,30.2,80.76821192
Neighbours from Hell Compilation,0,0,7,9,0.9,70
Neverwinter,74,35,5.3,433,78.3,62.38697318
Nihilumbra,75,11,6.5,61,17.1,71.43274854
Nimble Quest,0,1,0,0,1,0
No More Room in Hell,0,0,7.6,36,3.6,76
Not The Robots,0,3,7.9,16,4.6,79
Ohm Studio,0,0,0,0,0,0
Omegalodon,0,0,3.5,4,0.4,35
Omerta - City of Gangsters,54,41,4.9,216,62.6,52.27476038
Omikron: The Nomad Soul,0,0,7.7,64,6.4,77
OMSI 2: Steam Edition,0,1,6.3,21,3.1,63
Oozi: Earth Adventure,66,10,7.2,12,11.2,66.64285714
Organ Trail: Director's Cut,0,3,6.7,48,7.8,67
ORION: Prelude,0,0,0,0,0,0
Outlast,80,59,8.3,1449,203.9,82.13192742
PAC-MAN and the Ghostly Adventures,0,0,5,4,0.4,50
PAC-MAN Championship Edition DX+,86,7,7.5,82,15.2,80.06578947
Pandemonium,0,0,8.3,15,1.5,83
Panzar,0,1,4.9,20,3,49
"Papers, Please",85,40,8.5,1258,165.8,85
Papo & Yo,70,23,7.7,143,37.3,72.68364611
Paranormal,0,1,6.5,21,3.1,65
Path of Exile,86,27,8.1,1657,192.7,81.70057084
PAYDAY 2,79,51,3.7,3617,412.7,42.19021081
PCMark 8,0,0,0,0,0,0
Penny Arcade's On the Rain-Slick Precipice of Darkness 4,70,6,6.8,12,7.2,69.66666667
Perfection.,0,0,0,0,0,0
Pinball Arcade,0,0,0,0,0,0
PixelJunk Monsters Ultimate,72,8,7.3,25,10.5,72.23809524
PixelJunk Shooter,73,7,7.6,23,9.3,73.74193548
PlayClaw 5 - Game Recording and Streaming,0,0,0,0,0,0
Poker Night 2,75,8,7,154,23.4,71.70940171
Pool Nation,0,1,8.4,84,9.4,84
Portal 2 Sixense Perceptual Pack,0,0,0,0,0,0
POSTAL,56,7,6.4,94,16.4,60.58536585
Postmortem: One Must Die(Extended Cut),0,1,4.3,6,1.6,43
Poöf,0,0,0,0,0,0
Primal Fears,39,6,4.5,34,9.4,41.17021277
Prime World: Defenders,58,7,7.7,139,20.9,70.63636364
Professional Farmer 2014,0,1,4.9,10,2,49
Project Syria,0,0,0,0,0,0
Project Zomboid,0,0,7.7,117,11.7,77
Proteus,80,24,5.6,184,42.4,69.58490566
Pulse Shift,0,0,0,0,0,0
Race The Sun,79,16,7.3,78,23.8,77.03361345
RaceRoom Racing Experience,0,0,3.9,13,1.3,39
Ragnarok Online,79,5,8.3,104,15.4,81.7012987
Ragnarok Online 2,0,2,3.4,62,8.2,34
Rain Blood Chronicles: Mirage,68,6,7.1,34,9.4,69.08510638
Ravensword: Shadowlands,0,1,4,10,2,40
Rayman Legends,89,5,8.5,379,42.9,85.46620047
RaySupreme 3D,0,0,0,0,0,0
Reach for the Sun,0,0,0,0,0,0
Realms of Arkania: Blade of Destiny,0,0,0,0,0,0
Receiver,0,2,5.9,37,5.7,59
Redshirt,62,16,5.4,37,19.7,60.49746193
Remember Me,65,26,7.4,1054,131.4,72.21917808
Resident Evil 6 / Biohazard 6,69,18,6,968,114.8,61.41114983
Resident Evil Revelations / Biohazard Revelations,77,12,7.1,387,50.7,72.42011834
Retrovirus,70,12,6.7,18,13.8,69.60869565
Reus,75,22,7.2,225,44.5,73.48314607
Ride 'em Low,0,0,0,0,0,0
Ring Runner: Flight of the Sages,75,5,7.8,29,7.9,76.10126582
Rise of Flight United,0,0,0,0,0,0
Rise of the Triad,67,40,6.7,232,63.2,67
Rise of Venice,66,17,6.8,82,25.2,66.65079365
Rising Storm Game of the Year Edition,82,21,8.5,239,44.9,83.59688196
Risk,0,0,0,0,0,0
Risk of Rain,77,12,8.1,263,38.3,79.74673629
Rogue Legacy,85,43,7.9,627,105.7,81.44087039
RPG Maker XP,0,0,0,0,0,0
Rush Bros.,54,16,4.9,27,18.7,53.27807487
Sacra Terra: Kiss of Death Collector's Edition,0,0,0,0,0,0
Sacred Citadel,61,15,5.4,68,21.8,58.81651376
Saints Row IV,86,45,7.4,1652,210.2,76.56898192
Salvation Prophecy,0,3,7.4,19,4.9,74
Samurai Gunn,78,11,7.5,25,13.5,77.44444444
Sanctum 2,77,28,7.6,378,65.8,76.42553191
Sang-Froid - Tales of Werewolves,79,13,7.7,108,23.8,78.09243697
Savant - Ascent,0,0,8.3,39,3.9,83
Scrabble,0,0,0,0,0,0
Scribblenauts Unmasked: A DC Comics Adventure,68,14,6,44,18.4,66.08695652
Secret Files: Sam Peters,0,3,6.5,11,4.1,65
Septerra Core,72,19,7.7,67,25.7,73.30350195
Shadow Man,0,0,8.7,27,2.7,87
Shadow Warrior,73,50,8.1,728,122.8,77.74267101
Shadow Warrior Classic Redux,0,2,8.1,31,5.1,81
Shadowrun Returns,76,54,7.4,956,149.6,74.72192513
Shadows: Price For Our Sins Bonus Edition,0,0,0,0,0,0
Shattered Haven,59,4,6.9,14,5.4,61.59259259
Shelter,69,29,7.2,86,37.6,69.68617021
ShootMania Storm,76,47,7.2,76,54.6,75.44322344
Shufflepuck Cantina Deluxe,0,1,5.9,8,1.8,59
Sid Meier's Ace Patrol,71,7,6.6,24,9.4,69.72340426
Sid Meier's Ace Patrol: Pacific Skies,59,4,6.7,9,4.9,60.46938776
Signal Ops,61,9,7.2,6,9.6,61.6875
Silent Storm Gold Edition,0,0,8.8,16,1.6,88
Skullgirls,83,6,7.9,143,20.3,80.18226601
Skulls of the Shogun,72,6,6.7,76,13.6,69.20588235
Skyscraper Simulator,0,0,1.3,21,2.1,13
Skyward Collapse,64,5,8,28,7.8,69.74358974
Slam Bolt Scrappers,0,1,7.6,5,1.5,76
Slender: The Arrival,65,30,6.1,255,55.5,63.16216216
Small World 2,0,0,7.5,8,0.8,75
Sniper Elite: Nazi Zombie Army,62,24,7.3,250,49,67.6122449
Sniper Elite: Nazi Zombie Army 2,53,10,6.9,101,20.1,61.039801
Sniper: Ghost Warrior 2,52,24,5.8,355,59.5,55.57983193
SNOW,0,0,0,0,0,0
Solar Flux,0,0,0,0,0,0
Soldier Front 2,0,0,7.3,10,1,73
Songs2See,0,0,0,0,0,0
Soundodger+,78,5,6.9,13,6.3,76.14285714
Space Ace,0,0,0,0,0,0
Space Engineers,0,0,0,0,0,0
Space Hulk,58,22,6.5,165,38.5,61
Space Rangers HD: A War Apart,68,4,8.6,165,20.5,82.48780488
Spaceforce Constellations,0,0,0,0,0,0
Sparkle 2 Evo,0,0,6.4,17,1.7,64
Speedball 2 HD,53,10,3.8,19,11.9,50.60504202
Spelunky,90,9,7.2,482,57.2,74.83216783
Star Conflict,75,9,7,164,25.4,71.77165354
StarDrive,61,26,6.8,384,64.4,65.17391304
Starseed Pilgrim,83,12,6.1,36,15.6,77.92307692
Startopia,86,14,8.6,60,20,86
State of Decay,79,9,6.9,571,66.1,70.36157337
SteamWorld Dig,76,12,7.3,107,22.7,74.58590308
Stick it to The Man!,79,7,7.3,63,13.3,76.15789474
Storm,63,5,7,8,5.8,63.96551724
Strike Suit Infinity,66,11,7,32,14.2,66.90140845
Strike Suit Zero,66,40,7.3,161,56.1,68.00891266
Stronghold Crusader HD,0,0,8.1,9,0.9,81
Stronghold HD,0,0,6,10,1,60
Super Amazing Wagon Adventure,0,0,8,16,1.6,80
Super House of Dead Ninjas,79,6,8.3,42,10.2,80.64705882
Super Puzzle Platformer Deluxe,0,3,8.5,17,4.7,85
Super Sanctum TD,0,1,7.1,32,4.2,71
Super Splatters,73,6,8.3,11,7.1,74.54929577
Surgeon Simulator,71,18,5.9,238,41.8,64.16746411
Syder Arcade,76,4,6.8,28,6.8,72.70588235
System Shock 2,92,20,9.1,576,77.6,91.25773196
Tales of Maj'Eyal,0,2,7,63,8.3,70
Talisman: Prologue,0,1,6.3,4,1.4,63
Tank Operations: European Campaign,0,3,6,4,3.4,60
Teleglitch: Die More Edition,78,18,7,50,23,76.26086957
Teslagrad,77,15,7.7,111,26.1,77
Tetrobot and Co.,72,7,7.6,19,8.9,72.85393258
The 11th Hour,0,0,6.8,4,0.4,68
The 39 Steps,0,1,7,42,5.2,70
The 7th Guest,0,0,0,0,0,0
The Apogee Throwback Pack,0,0,0,0,0,0
The Banner Saga: Factions,67,5,8,108,15.8,75.88607595
The Bridge,0,0,0,0,0,0
The Bureau: XCOM Declassified,66,45,6.5,646,109.6,65.41058394
The Cat Lady,81,11,8.7,202,31.2,84.88461538
The Cave,0,0,7.6,5,0.5,76
The Chaos Engine,40,7,7.6,25,9.5,49.47368421
The Game of Life,0,0,0,0,0,0
The Incredible Adventures of Van Helsing,72,52,8.2,594,111.4,77.33213645
The Inner World,72,18,7.7,59,23.9,73.23430962
The Journey Down: Chapter One,72,20,7.5,40,24,72.5
THE KING OF FIGHTERS XIII STEAM EDITION,77,6,8.1,69,12.9,79.13953488
The Last Express Gold Edition,82,8,8.7,66,14.6,84.26027397
The Mysterious Cities of Gold,0,0,0,0,0,0
The Night of the Rabbit,75,45,7.5,88,53.8,75
The Novelist,66,23,6,38,26.8,65.14925373
The Saint: Abyss of Despair,0,0,0,0,0,0
The Shivah,0,2,7.2,11,3.1,72
The Stanley Parable,88,47,8,1924,239.4,81.57059315
The Swapper,87,36,8.6,508,86.8,86.41474654
The Typing of The Dead: Overkill,71,10,7.7,46,14.6,72.89041096
The Walking Dead: Season 2,0,0,0,0,0,0
The Wizard's Lair,0,0,0,0,0,0
The Wolf Among Us,80,13,8.8,547,67.7,86.46381093
Thunder Wolves,69,15,7.1,37,18.7,69.39572193
Tiny Barbarian DX,0,3,7.5,6,3.6,75
Tiny Brains,63,5,5.3,12,6.2,61.06451613
Toki Tori 2+,76,13,7.6,42,17.2,76
Tom Clancy's  Splinter Cell Blacklist,82,13,7.5,810,94,75.96808511
Tomb Raider,86,18,8.5,3897,407.7,85.04415011
Tomb Raider - The Final Hours Digital Book,0,0,0,0,0,0
Total War: ROME II - Emperor Edition,0,2,7.2,169,18.9,72
TrackMania2 Canyon,81,37,7.7,106,47.6,80.1092437
TrackMania2 Stadium,77,5,7.7,63,11.3,77
TrackMania2 Valley,79,7,7.7,46,11.6,78.20689655
Train Simulator: East Coast Main Line London-Peterborough Route Add-On,0,0,0,0,0,0
Train Simulator: Pacific Surfliner LA - San Diego Route,0,0,0,0,0,0
Train Simulator: West Somerset Railway Route Add-On,0,0,0,0,0,0
Trials Evolution: Gold Edition,85,10,6.8,126,22.6,75.52212389
Trine 2: Complete Story,0,0,8.3,16,1.6,83
Truck Racer,0,0,7.5,4,0.4,75
Two Brothers,57,4,4.7,6,4.6,55.69565217
Type:Rider,0,1,6.2,32,4.2,62
Ultratron,0,0,7.8,16,1.6,78
Unholy Heights,0,3,6.3,24,5.4,63
Urban Chaos,0,0,8.5,8,0.8,85
Urban Trial 0style,58,9,6.8,28,11.8,60.37288136
Valdis Story: Abyssal City,83,7,7.7,83,15.3,79.74509804
Vector,0,1,7.7,13,2.3,77
VelocityUltra,0,3,0,0,3,0
Violett Remastered,61,9,7.3,25,11.5,63.60869565
Virtual DJ - Broadcaster Edition,0,0,0,0,0,0
Virtual Race Car Engineer 2017,0,0,0,0,0,0
Viscera Cleanup Detail: Santa's Rampage,0,0,5.8,12,1.2,58
Viscera Cleanup Detail: Shadow Warrior,0,0,5.9,16,1.6,59
Volgarr the Viking,76,9,7.7,93,18.3,76.50819672
Vox,0,0,1.7,6,0.6,17
War Thunder,81,8,6.5,793,87.3,66.46620848
Warframe,71,11,8.3,1308,141.8,82.06911142
Wargame: Airland Battle,80,22,8,249,46.9,80
Wasteland 1 - The Original Classic,0,0,0,0,0,0
Weird Worlds: Return to Infinite Space,79,6,7,23,8.3,76.5060241
Wizardry 6: Bane of the Cosmic Forge,85,20,8.3,84,28.4,84.4084507
Wizardry 7: Crusaders of the Dark Savant,0,0,0,0,0,0
Wizardry 8,0,0,0,0,0,0
Woodcutter Simulator 2013,0,0,4.1,15,1.5,41
Wooden Sen'SeY,0,1,0,0,1,0
World Basketball Tycoon,0,0,0,0,0,0
World War II: Panzer Claws,61,8,7.1,10,9,62.11111111
World War III: Black Gold,71,14,6.5,11,15.1,70.56291391
Worms Armageddon,0,0,8.9,127,12.7,89
Worms Clan Wars,73,17,6.9,62,23.2,71.93103448
