Name,CriticRate,CriticNum,UserRate,UserNum,TN,Index
140,0,6,7.3,69,12.9,73
"10,000,000",67,5,7.2,48,9.8,69.44897959
1953 - KGB Unleashed,0,0,6.5,20,2,65
3079 -- Block Action RPG,0,0,6.8,9,0.9,68
7 Days to Die,0,0,7.2,177,17.7,72
7 Grand Steps: What Ancients Begat,69,4,7.1,29,6.9,69.84057971
9.03m,0,1,6.6,16,2.6,66
99 Spirits,0,2,6,8,2.8,60
A Valley Without Wind 2,68,6,7.2,31,9.1,69.36263736
A Walk in the Dark,67,4,5.7,16,5.6,64.14285714
Aarklash: Legacy,72,13,7.7,105,23.5,74.23404255
Aartform Curvy 3D 3.0,0,0,0,0,0,0
Ace Combat Assault Horizon - Enhanced Edition,77,14,5.9,168,30.8,67.18181818
Affairs of the Court: Choice of Romance,0,0,0,0,0,0
Age of Conan: Unchained,0,0,7.4,35,3.5,74
Age of Empires II HD,68,20,7.9,554,75.4,76.08222812
Agricultural Simulator 2013 - Steam Edition,0,0,3,15,1.5,30
Agricultural Simulator: Historical Farming,0,0,0,0,0,0
Air Conflicts: Vietnam,43,9,2.8,25,11.5,39.73913043
Airport Simulator 2014,0,0,2.4,32,3.2,24
Alex Hunter - Lord of the Mind Platinum Edition,0,1,0,0,1,0
Alien Rage - Unlimited,52,27,6.8,169,43.9,58.1594533
Alien Spidy,0,1,6.4,8,1.8,64
Alone in the Dark,55,19,5.6,156,34.6,55.45086705
Alone in the Dark: The New Nightmare,66,16,7.6,39,19.9,67.95979899
America's Army: Proving Grounds,0,0,7.5,23,2.3,75
Amnesia: A Machine for Pigs,72,59,5.9,863,145.3,64.27873365
Anachronox,77,18,8.1,78,25.8,78.20930233
Angelica Weaver: Catch Me When You Can,0,0,6,9,0.9,60
Angry Birds Space,0,2,6.5,33,5.3,65
Angry Video Game Nerd Adventures,77,7,7.6,113,18.3,76.38251366
Anna - Extended Edition,75,5,6,74,12.4,66.0483871
Anodyne,75,11,6.6,62,17.2,71.75581395
Anomaly 2,77,27,7.7,114,38.4,77
Anomaly Korea,0,0,7.3,12,1.2,73
Anomaly Warzone Earth Mobile Campaign,0,0,7.3,4,0.4,73
Another World ??20th Anniversary Edition,0,2,7.7,44,6.4,77
Antichamber,82,50,8.3,563,106.3,82.52963311
Arma 3,74,38,7.5,942,132.2,74.71255673
Arma Tactics,47,5,5.7,33,8.3,50.97590361
Armada 2526 Gold Edition,0,0,6.6,5,0.5,66
