X.,Game,Url,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
165,Scribblenauts Unmasked: A DC Comics Adventure,Scribblenauts-Unmasked-A-DC-Comics-Adventure,$19.99,51% (80%/68%),"200,000?..?500,000",02:58 (02:49),5th Cell Media,Warner Bros. Interactive Entertainment
337,Secret Files: Sam Peters,Secret-Files-Sam-Peters,$9.99,23% (63%),"0?..?20,000",00:00 (00:00),Animation Arts,Deep Silver
139,Septerra Core,Septerra-Core,$4.99,45% (77%/72%),"200,000?..?500,000",02:57 (02:56),,Topware Interactive
361,Shadow Man,Shadow-Man,$4.99,77% (90%),"20,000?..?50,000",00:00 (00:00),Acclaim Studios Teeside,Nightdive Studios
123,Shadow Warrior,Shadow-Warrior,$39.99,87% (93%/73%),"2,000,000?..?5,000,000",02:54 (01:31),Flying Wild Hog,Devolver Digital
357,Shadow Warrior Classic Redux,Shadow-Warrior-Classic-Redux,$9.99,84% (92%),"200,000?..?500,000",02:12 (00:44),General Arcade,Devolver Digital
94,Shadowrun Returns,Shadowrun-Returns,$14.99,71% (88%/76%),"1,000,000?..?2,000,000",11:14 (00:50),Harebrained Schemes,Paradox Interactive
346,Shadows: Price For Our Sins Bonus Edition,Shadows-Price-For-Our-Sins-Bonus-Edition,$9.99,11% (49%),"50,000?..?100,000",00:00 (00:00),8th Floor Games,"Encore, Viva Media"
210,Shattered Haven,Shattered-Haven,$9.99,9% (45%/59%),"50,000?..?100,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
157,Shelter,Shelter,$9.99,66% (86%/69%),"200,000?..?500,000",01:42 (00:36),Might and Delight,Might and Delight
99,ShootMania Storm,ShootMania-Storm,$19.99,63% (85%/76%),"50,000?..?100,000",00:00 (00:00),Nadeo,Ubisoft
373,Shufflepuck Cantina Deluxe,Shufflepuck-Cantina-Deluxe,$9.99,71% (88%),"100,000?..?200,000",00:20 (00:06),Agharta Studio,Agharta Studio
409,Sid Meier's Ace Patrol,Sid-Meiers-Ace-Patrol,$4.99,38% (73%),"500,000?..?1,000,000",00:00 (00:00),Firaxis Games,2K
343,Sid Meier's Ace Patrol: Pacific Skies,Sid-Meiers-Ace-Patrol-Pacific-Skies,$4.99,31% (69%),"500,000?..?1,000,000",00:00 (00:00),Firaxis Games,2K
203,Signal Ops,Signal-Ops,$9.99,24% (64%/61%),"0?..?20,000",00:00 (00:00),Space Bullet Dynamics Corporation,Space Bullet Dynamics Corporation
31,Silent Storm Gold Edition,Silent-Storm-Gold-Edition,$9.99,77% (90%/83%),"200,000?..?500,000",00:01 (00:00),Nival,THQ Nordic
27,Skullgirls,Skullgirls,$9.99,93% (95%/83%),"1,000,000?..?2,000,000",01:04 (00:36),Lab Zero Games,"Marvelous, Autumn Games"
135,Skulls of the Shogun,Skulls-of-the-Shogun,$9.99,80% (91%/72%),"100,000?..?200,000",00:00 (00:00),17-BIT,17-BIT
515,Skyscraper Simulator,Skyscraper-Simulator,$2.99,1% (7%),"20,000?..?50,000",00:00 (00:00),Actalogic,Libredia
191,Skyward Collapse,Skyward-Collapse,$4.99,9% (45%/64%),"100,000?..?200,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
505,Slam Bolt Scrappers,Slam-Bolt-Scrappers,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Fire Hose Games,Fire Hose Games
190,Slender: The Arrival,Slender-The-Arrival,$9.99,71% (88%/65%),"200,000?..?500,000",00:37 (00:54),Blue Isle Studios,Blue Isle Studios
