X.,Game,Url,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
498,Woodcutter Simulator 2013,Woodcutter-Simulator-2013,$9.99,2% (22%),"50,000?..?100,000",00:00 (00:00),United Independent Entertainment GmbH,United Independent Entertainment GmbH
297,Wooden Sen'SeY,Wooden-SenSeY,$9.99,30% (68%),"20,000?..?50,000",00:00 (00:00),Upper Byte,Spawn Digital
455,World Basketball Tycoon,World-Basketball-Tycoon,$2.99,1% (11%),"0?..?20,000",00:00 (00:00),,Strategy First
205,World War II: Panzer Claws,World-War-II-Panzer-Claws,$4.99,25% (65%/61%),"500,000?..?1,000,000",03:18 (04:16),,Topware Interactive
147,World War III: Black Gold,World-War-III-Black-Gold,$4.99,13% (53%/71%),"2,000,000?..?5,000,000",04:01 (04:48),Reality Pump,Topware Interactive
288,Worms Armageddon,Worms-Armageddon,$2.99,87% (93%),"500,000?..?1,000,000",04:04 (02:53),Team17 Digital Ltd,Team17 Digital Ltd
121,Worms Clan Wars,Worms-Clan-Wars,$4.99,43% (76%/73%),"500,000?..?1,000,000",05:14 (04:47),Team17 Digital Ltd,Team17 Digital Ltd
262,WRC 4 FIA World Rally Championship,WRC-4-FIA-World-Rally-Championship,$29.99,23% (63%),"50,000?..?100,000",00:00 (00:00),Milestone S.r.l.,"Plug In Digital, Bigben Interactive"
239,X Rebirth,X-Rebirth,$29.99,6% (39%/33%),"200,000?..?500,000",00:12 (00:07),Egosoft,Egosoft
278,YOU DON'T KNOW JACK HEADRUSH,YOU-DONT-KNOW-JACK-HEADRUSH,$2.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc."
404,YOU DON'T KNOW JACK MOVIES,YOU-DONT-KNOW-JACK-MOVIES,$2.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc."
398,YOU DON'T KNOW JACK SPORTS,YOU-DONT-KNOW-JACK-SPORTS,$2.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc."
467,YOU DON'T KNOW JACK TELEVISION,YOU-DONT-KNOW-JACK-TELEVISION,$2.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc."
284,YOU DON'T KNOW JACK Vol. 1 XL,YOU-DONT-KNOW-JACK-Vol-1-XL,$2.99,49% (79%),"50,000?..?100,000",00:15 (00:13),"Jackbox Games, Inc.","Jackbox Games, Inc."
345,YOU DON'T KNOW JACK Vol. 2,YOU-DONT-KNOW-JACK-Vol-2,$2.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc."
253,YOU DON'T KNOW JACK Vol. 3,YOU-DONT-KNOW-JACK-Vol-3,$2.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc."
432,YOU DON'T KNOW JACK Vol. 4 The Ride,YOU-DONT-KNOW-JACK-Vol-4-The-Ride,$2.99,71% (88%),"20,000?..?50,000",00:16 (00:15),"Jackbox Games, Inc.","Jackbox Games, Inc."
255,YOU DON'T KNOW JACK Vol. 6 The Lost Gold,YOU-DONT-KNOW-JACK-Vol-6-The-Lost-Gold,$1.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc."
463,Ys I & II Chronicles+,Ys-I-II-Chronicles+,$14.99,71% (88%),"100,000?..?200,000",00:06 (00:02),Nihon Falcom,XSEED Games
365,Z3TA+ 2,Z3TA+-2,N/A,N/A (N/A),"0?..?20,000",00:00 (00:00),Cakewalk,Cakewalk
298,Zack Zero,Zack-Zero,$2.99,23% (63%),"50,000?..?100,000",00:00 (00:00),Crocodile Entertainment,Crocodile Entertainment
390,Zafehouse: Diaries,Zafehouse-Diaries,$1.99,28% (67%),"50,000?..?100,000",00:00 (00:00),Screwfly Studios,Screwfly Studios
381,Zeno Clash 2,Zeno-Clash-2,$14.99,51% (80%),"200,000?..?500,000",00:52 (00:17),ACE Team,ATLUS USA
397,Zigfrak,Zigfrak,N/A,36% (72%),"20,000?..?50,000",00:00 (00:00),Entheogen Studios LLC,Entheogen Studios LLC
395,Zombie Apocalypse: Escape The Undead City,Zombie-Apocalypse-Escape-The-Undead-City,$0.99,6% (38%),"0?..?20,000",00:00 (00:00),Anarchy Enterprises,Anarchy Enterprises
256,Zombie Tycoon 2: Brainhov's Revenge,Zombie-Tycoon-2-Brainhovs-Revenge,$4.99,25% (65%),"50,000?..?100,000",01:47 (00:35),Frima Studio,Frima Studio
