#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,,,,,,,
2749,Killer-Instinct,27-Sep-17,$39.99,68% (87%),"50,000?..?100,000",00:14 (00:09),Iron Galaxy,Microsoft Studios,,,,,,,,
3536,Syrian-Warfare,21-Feb-17,$13.99,68% (87%),"50,000?..?100,000",01:58 (00:39),Cats Who Play,Cats Who Play,,,,,,,,
4188,AER-Memories-of-Old,25-Oct-17,$14.99,68% (87%),"50,000?..?100,000",00:53 (00:48),Forgotten Key,Daedalic Entertainment,,,,,,,,
930,VR-Dungeon-Knight,24-Apr-17,$19.99,68% (87%),"20,000?..?50,000",00:07 (00:02),Blackjard Softworks,Wolfdog Interactive,,,,,,,,
1620,Project-Nimbus,26-Sep-17,$19.99,68% (87%),"20,000?..?50,000",01:00 (00:20),GameCrafterTeam,"KISS ltd, GameTomo",,,,,,,,
1651,Insanity-VR-Last-Score,15-Aug-17,Free,68% (87%),"20,000?..?50,000",00:10 (00:03),Threevol,Threevol,,,,,,,,
2673,Aurora-Trail,28-Dec-17,Free,68% (87%),"20,000?..?50,000",00:00 (00:00),Screenhit Studios,Screenhit Studios,,,,,,,,
3263,D&D-Lords-of-Waterdeep,1-Sep-17,$14.99,68% (87%),"20,000?..?50,000",00:00 (00:00),"Playdek, Inc.","Playdek, Inc.",,,,,,,,
3633,VALKYRIE-DRIVE--BHIKKHUNI-,20-Jun-17,$29.99,68% (87%),"20,000?..?50,000",01:26 (00:28),"Meteorise, HONEY?ûPARADE GAMES",Marvelous,,,,,,,,
4104,Fruity-Smoothie,21-Dec-17,Free,68% (87%),"20,000?..?50,000",00:00 (00:00),Wooden Shoes Games,Wooden Shoes Games,,,,,,,,
4211,Duck-Season,14-Sep-17,$19.99,68% (87%),"20,000?..?50,000",01:00 (00:20),Stress Level Zero,Stress Level Zero,,,,,,,,
4621,Super-Fancy-Pants-Adventure,20-Sep-17,$9.99,68% (87%),"20,000?..?50,000",02:52 (01:54),Borne Games,Kongregate,,,,,,,,
4933,First-Strike-Final-Hour,30-May-17,$11.99,68% (87%),"20,000?..?50,000",01:06 (00:22),Blindflug Studios AG,Blindflug Studios AG,,,,,,,,
6508,Space-Fuss,28-Feb-17,$4.99,68% (87%),"20,000?..?50,000",05:05 (03:23),NerdyYetis,NerdyYetis,,,,,,,,
1264,Adventure-Craft,5-Jul-17,$14.99,68% (87%),"0?..?20,000",00:00 (00:00),Edible Entertainment,Edible Entertainment,,,,,,,,
2323,Drunk-or-Dead,10-Jan-17,$9.99,68% (87%),"0?..?20,000",00:00 (00:00),4 I Lab,4 I Lab,,,,,,,,
2607,Shuyan-Saga,8-Aug-17,$19.99,68% (87%),"0?..?20,000",02:54 (02:23),Lofty Sky Entertainment Inc.,Lofty Sky Entertainment Inc.,,,,,,,,
2631,Tales-Of-Glory,31-May-17,$29.99,68% (87%),"0?..?20,000",00:00 (00:00),BlackTale Games,BlackTale Games,,,,,,,,
2634,School-of-Talent-SUZU-ROUTE,23-Feb-17,$8.99,68% (87%),"0?..?20,000",00:00 (00:00),MyDearest,MyDearest,,,,,,,,
2785,Alphabear-Hardcover-Edition,23-Aug-17,$9.99,68% (87%),"0?..?20,000",00:00 (00:00),Spry Fox LLC,Spry Fox LLC,,,,,,,,
2887,VoiceActress,28-Nov-17,$1.99,68% (87%),"0?..?20,000",00:00 (00:00),Dieselmine,Dieselmine,,,,,,,,
2933,DvDrum-Ultimate-Drum-Simulator!,9-Feb-17,$19.99,68% (87%),"0?..?20,000",00:00 (00:00),DarkTigerDevelop,DarkTigerDevelop,,,,,,,,
2975,Conduct-DELUXE!,5-Dec-17,$9.99,68% (87%),"0?..?20,000",00:00 (00:00),Northplay,Northplay,,,,,,,,
3145,STARDROP,1-Jun-17,$19.99,68% (87%),"0?..?20,000",00:00 (00:00),Joure Visser,Joure Visser,,,,,,,,
3774,Evolution-VR,3-Feb-17,$9.99,68% (87%),"0?..?20,000",00:00 (00:00),Magic Tavern,Magic Tavern,,,,,,,,
4502,Jakes-Love-Story,5-Oct-17,$2.99,68% (87%),"0?..?20,000",00:00 (00:00),Miko?aj Spycha?,Miko?aj Spycha?,,,,,,,,
4571,Undead-Development,24-Oct-17,$17.99,68% (87%),"0?..?20,000",00:00 (00:00),"Masterstrike, LadrikDev",Masterstrike,,,,,,,,
4718,Lilys-Day-Off,6-Jan-17,$2.99,68% (87%),"0?..?20,000",00:00 (00:00),Kyuppin,Kyuppin,,,,,,,,
5163,Shotgun-Farmers,1-Jun-17,$9.99,68% (87%),"0?..?20,000",00:00 (00:00),Megastorm Games,Megastorm Games,,,,,,,,
5182,Fury-Unleashed,24-Feb-17,$11.99,68% (87%),"0?..?20,000",00:00 (00:00),Awesome Games Studio,Awesome Games Studio,,,,,,,,
6935,I-Am-Overburdened,2-Nov-17,$4.99,68% (87%),"0?..?20,000",00:00 (00:00),Magic Item Tech,Magic Item Tech,,,,,,,,
210,Snake-Pass,28-Mar-17,$19.99,68% (87%/71%),"50,000?..?100,000",00:00 (00:00),Sumo Digital,Sumo Digital,,,,,,,,
219,Pinstripe,24-Apr-17,$14.99,68% (87%/71%),"20,000?..?50,000",02:31 (03:27),Thomas Brush,Armor Games Studios,,,,,,,,
185,Domina,3-Apr-17,$9.99,68% (87%/73%),"200,000?..?500,000",02:12 (02:32),DolphinBarn,DolphinBarn,,,,,,,,
147,Outlast-2,25-Apr-17,$29.99,68% (87%/76%),"200,000?..?500,000",02:57 (01:19),Red Barrels,Red Barrels,,,,,,,,
148,Tacoma,1-Aug-17,$19.99,68% (87%/76%),"100,000?..?200,000",00:35 (00:11),Fullbright,Fullbright,,,,,,,,
139,Breakneck,7-Dec-17,$9.99,68% (87%/76%),"0?..?20,000",00:00 (00:00),PikPok,PikPok,,,,,,,,
96,High-Hell,23-Oct-17,$9.99,68% (87%/79%),"20,000?..?50,000",00:09 (00:05),"Terri Vellmann, Doseone",Devolver Digital,,,,,,,,
80,Battle-Brothers,24-Mar-17,$17.99,68% (87%/80%),"100,000?..?200,000",14:26 (07:45),Overhype Studios,Overhype Studios,,,,,,,,
83,The-Journey-Down-Chapter-Three,21-Sep-17,$19.99,68% (87%/80%),"0?..?20,000",00:00 (00:00),SkyGoblin,SkyGoblin,,,,,,,,
69,Stories-Untold,27-Feb-17,$9.99,68% (87%/81%),"100,000?..?200,000",04:26 (01:30),No Code,Devolver Digital,,,,,,,,
25,The-Gallery---Episode-2-Heart-of-the-Emberstone,18-Oct-17,$29.99,68% (87%/86%),"0?..?20,000",00:00 (00:00),Cloudhead Games ltd.,Cloudhead Games ltd.,,,,,,,,
14,Total-War-WARHAMMER-II,28-Sep-17,$59.99,68% (87%/87%),"1,000,000?..?2,000,000",13:28 (06:30),"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,,,,,,,
15,Raw-Data,5-Oct-17,$39.99,68% (87%/87%),"50,000?..?100,000",00:21 (00:16),Survios,Survios,,,,,,,,
3777,OR,8-Feb-17,$0.99,7% (40%),"200,000?..?500,000",06:01 (02:00),Camagames,,,,,,,,,
3960,Atom-Universe,25-Dec-17,Free,7% (40%),"100,000?..?200,000",00:00 (00:00),Atom Republic,Atom Republic,,,,,,,,
5342,Planet-Ancyra-Chronicles,21-Jul-17,$9.99,7% (40%),"100,000?..?200,000",00:00 (00:00),Pulsetense Games,KISS ltd,,,,,,,,
885,Dinosaurs-A-Prehistoric-Adventure,17-Dec-17,Free,7% (40%),"50,000?..?100,000",00:00 (00:00),Arcupion Art,Arcupion Art,,,,,,,,
1232,MONOPOLY-PLUS,7-Sep-17,$14.99,7% (40%),"50,000?..?100,000",03:05 (04:19),Ubisoft Pune,Ubisoft,,,,,,,,
3831,Pain-Train-2,16-Mar-17,$6.99,7% (40%),"20,000?..?50,000",03:34 (02:50),Virtual Top,VT Publishing,,,,,,,,
6036,Project-First-Contact,26-Jul-17,$2.99,7% (40%),"20,000?..?50,000",04:36 (01:32),"Cristian Manolachi, Atomic Fabrik","Cristian Manolachi, Atomic Fabrik",,,,,,,,
476,VThree,28-Feb-17,$7.99,7% (40%),"0?..?20,000",00:00 (00:00),2xMilk,2xMilk,,,,,,,,
814,News-Tycoon,24-Mar-17,$6.99,7% (40%),"0?..?20,000",00:00 (00:00),Oreol,Oreol,,,,,,,,
1280,Hollow,16-Nov-17,$19.99,7% (40%),"0?..?20,000",00:00 (00:00),MMEU,Forever Entertainment S. A.,,,,,,,,
1673,Hunting-Simulator,9-Jun-17,$39.99,7% (40%),"0?..?20,000",00:00 (00:00),Neopica,Bigben Interactive,,,,,,,,
2661,Bloody-Glimpse,4-Oct-17,$4.99,7% (40%),"0?..?20,000",00:01 (00:00),Racing Bros,ANPA.US,,,,,,,,
4185,Super-Death-Arena,11-Jan-17,$8.99,7% (40%),"0?..?20,000",00:00 (00:00),Rigid-Soft,Rigid-Soft,,,,,,,,
4740,Ancient-Siberia,11-Dec-17,$0.99,7% (40%),"0?..?20,000",00:00 (00:00),Valga Games Studio,Valga Games Studio,,,,,,,,
5048,Little-Dog,8-Sep-17,$3.99,7% (40%),"0?..?20,000",00:04 (00:02),Vyacheslav Shilikhin,Vyacheslav Shilikhin,,,,,,,,
295,Impact-Winter,22-May-17,$19.99,7% (40%/63%),"0?..?20,000",00:00 (00:00),Mojo Bones,BANDAI NAMCO Entertainment,,,,,,,,
190,WWII-Online,5-Sep-17,Free,7% (40%/73%),"200,000?..?500,000",00:53 (00:55),Cornered Rat Software,Cornered Rat Software,,,,,,,,
5369,Sniper-Fury,13-Jun-17,Free,7% (41%),"500,000?..?1,000,000",167:37 (111:44),Gameloft,Gameloft,,,,,,,,
3454,Cavern-Escape,20-Feb-17,$3.99,7% (41%),"100,000?..?200,000",01:01 (00:20),White Dog,White Dog,,,,,,,,
5489,?∞‰??ëÂ?‰æ†‰?-?ïÊú∫??Chinese-PaladinÔºöSword-and-Fairy),11-Oct-17,$4.99,7% (41%),"100,000?..?200,000",00:00 (00:00),SOFTSTAR TECHNOLOGY BEIJINGCOLTD,SOFTSTAR TECHNOLOGY BEIJINGCOLTD,,,,,,,,
5852,Tomb-Joe,23-Apr-17,$0.99,7% (41%),"100,000?..?200,000",02:26 (01:38),Amaterasu Software,Amaterasu Software,,,,,,,,
6357,LSDriver,3-Jan-17,$0.99,7% (41%),"100,000?..?200,000",00:00 (00:00),Manic Mind Game Lab,Manic Mind Game Lab,,,,,,,,
2751,The-Thirst-of-Hearts,26-Aug-17,$0.49,7% (41%),"20,000?..?50,000",00:00 (00:00),Mikhail Melnikov,Mikhail Melnikov,,,,,,,,
1589,iStorm,16-Apr-17,Free,7% (41%),"0?..?20,000",00:00 (00:00),MoYi Technology,MoYi Technology,,,,,,,,
2075,Black-Mirror,28-Nov-17,$29.99,7% (41%),"0?..?20,000",01:56 (00:38),KING Art,THQ Nordic,,,,,,,,
2410,House-of-Evil,20-Dec-17,$3.99,7% (41%),"0?..?20,000",00:00 (00:00),Trokhin Viktor,indie_games_studio,,,,,,,,
4833,Happy-Santa,15-Nov-17,$3.99,7% (41%),"0?..?20,000",00:05 (00:02),TSS Studio,TSS Studio,,,,,,,,
5482,Shock-Tactics,11-Apr-17,$9.99,7% (41%),"0?..?20,000",00:00 (00:00),Point Blank Games,EuroVideo Medien,,,,,,,,
405,Alchemyland,2-Aug-17,$0.99,7% (42%),"100,000?..?200,000",05:27 (01:49),azimut team,azimut team,,,,,,,,
892,Space-Impact-Glitch,15-Mar-17,$2.99,7% (42%),"50,000?..?100,000",03:01 (04:18),Clawed Paw,Enjoy Games,,,,,,,,
1207,HOMEBOUND,16-Feb-17,$8.99,7% (42%),"20,000?..?50,000",00:00 (00:00),Quixel,Quixel,,,,,,,,
5237,Days-of-War,26-Jan-17,$24.99,7% (42%),"20,000?..?50,000",00:00 (00:00),Driven Arts,Driven Arts,,,,,,,,
6055,Deus-Ex-Breach,24-Jan-17,Free,7% (42%),"20,000?..?50,000",00:00 (00:00),Eidos Montreal,Square Enix,,,,,,,,
963,OHOTA-KREPKOE,14-Jul-17,$0.99,7% (42%),"0?..?20,000",00:00 (00:00),Skull and Bones 322,ILLUMICORP,,,,,,,,
6241,Eared-Hero,29-Sep-17,$3.99,7% (42%),"0?..?20,000",00:02 (00:00),Vyacheslav Shilikhin,Vyacheslav Shilikhin,,,,,,,,
6601,Dinosaur-Hunt-First-Blood,15-Sep-17,$4.99,7% (42%),"0?..?20,000",00:01 (00:00),Racing Bros,ANPA.US,,,,,,,,
3872,VRChat,1-Feb-17,Free,71% (88%),"2,000,000?..?5,000,000",09:06 (00:59),VRChat Inc.,VRChat Inc.,,,,,,,,
4168,Prey,4-May-17,$29.99,71% (88%),"500,000?..?1,000,000",04:20 (02:49),Arkane Studios,Bethesda Softworks,,,,,,,,
2138,Blackwake,24-Feb-17,$19.99,71% (88%),"200,000?..?500,000",01:32 (02:17),Mastfire Studios Pty Ltd,Mastfire Studios Pty Ltd,,,,,,,,
3740,Rivals-of-Aether,28-Mar-17,$14.99,71% (88%),"200,000?..?500,000",02:51 (02:24),Dan Fornace,Dan Fornace,,,,,,,,
5512,Idle-Bouncer,27-Sep-17,Free,71% (88%),"200,000?..?500,000",46:00 (15:20),Upturn Games,Upturn Games,,,,,,,,
2694,Caveblazers,24-May-17,$9.99,71% (88%),"100,000?..?200,000",00:00 (00:00),Deadpan Games,The Yogscast,,,,,,,,
2935,Midas-Gold-Plus,1-Feb-17,Free,71% (88%),"100,000?..?200,000",06:47 (02:15),Holyday Studios,Holyday Studios,,,,,,,,
4864,Grass-Cutter,24-Mar-17,$1.24,71% (88%),"100,000?..?200,000",00:00 (00:00),usanik,Usanik STD,,,,,,,,
4915,Desert-Bus-VR,27-Nov-17,Free,71% (88%),"100,000?..?200,000",00:00 (00:00),Dinosaur Games,"Gearbox Software, LLC",,,,,,,,
965,Fire-Pro-Wrestling-World,18-Dec-17,$29.99,71% (88%),"50,000?..?100,000",00:56 (00:18),"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",,,,,,,,
1012,Blocks-by-Google,6-Jul-17,Free,71% (88%),"50,000?..?100,000",00:00 (00:00),Google,Google,,,,,,,,
1676,Mr-Shifty,13-Apr-17,$14.99,71% (88%),"50,000?..?100,000",00:00 (00:00),Team Shifty,tinyBuild,,,,,,,,
2531,Mutiny!!,20-Oct-17,$9.99,71% (88%),"50,000?..?100,000",00:21 (00:07),Lupiesoft,"Lupiesoft, MangaGamer",,,,,,,,
3241,Zup!-4,20-Feb-17,$0.99,71% (88%),"50,000?..?100,000",05:21 (01:47),Quiet River,Quiet River,,,,,,,,
4172,Microtransaction-Simulator,14-Sep-17,Free,71% (88%),"50,000?..?100,000",00:00 (00:00),chlsea,chlsea,,,,,,,,
5025,Throne-of-Lies-The-Online-Game-of-Deceit,29-Sep-17,$9.99,71% (88%),"50,000?..?100,000",13:19 (11:01),"Imperium42¬Æ Game Studio, Dylan ""Xblade"" Hunt, Elsa ""FieryElsa"" Hunt, Boslof, Adityaraj ""Adiart"" Jain",Imperium42¬Æ Game Studio,,,,,,,,
6153,Crystal-City,9-Jun-17,$5.99,71% (88%),"50,000?..?100,000",02:12 (02:14),7DOTS,Dagestan Technology,,,,,,,,
846,Gelu,11-Jul-17,$0.99,71% (88%),"20,000?..?50,000",00:00 (00:00),NedoStudio,NedoStudio,,,,,,,,
1322,Ecchi-Sketch-Draw-Cute-Girls-Every-Day!,17-Mar-17,$9.99,71% (88%),"20,000?..?50,000",02:57 (00:59),NewWestGames,NewWestGames,,,,,,,,
4044,Live2DViewerEX,30-Jun-17,$4.99,71% (88%),"20,000?..?50,000",56:07 (56:50),Pavo Studio,Pavo Studio,,,,,,,,
4154,Hyper-Knights,19-May-17,$4.99,71% (88%),"20,000?..?50,000",00:00 (00:00),Endless Loop Studios,Endless Loop Studios,,,,,,,,
4237,Relik,18-Oct-17,Free,71% (88%),"20,000?..?50,000",00:00 (00:00),Iron 27,Iron 27,,,,,,,,
769,Romance-of-the-Three-Kingdoms-IX-with-Power-Up-Kit-/-‰∏âÂ?ÂøóIX-with-?ë„ÉØ?º„Ç¢?É„??≠„???Oct-17," 2017""",$29.99,71% (88%),"0?..?20,000",00:00 (00:00),"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,,,,,,,
775,VRSailing-by-BeTomorrow,12-Jan-17,Free,71% (88%),"0?..?20,000",00:00 (00:00),BeTomorrow,BeTomorrow,,,,,,,,
1031,Fibrillation-HD,11-Apr-17,$3.99,71% (88%),"0?..?20,000",00:00 (00:00),Egor Rezenov,Egor Rezenov,,,,,,,,
1392,Oik-Memory,29-Dec-17,$0.99,71% (88%),"0?..?20,000",00:14 (00:04),Dr_Crewcut,Dr.Crewcut,,,,,,,,
1719,Ultrawings,20-Jul-17,$14.99,71% (88%),"0?..?20,000",02:14 (00:44),"Bit Planet Games, LLC","Bit Planet Games, LLC",,,,,,,,
1987,Capitalism-2,1-Aug-17,$9.99,71% (88%),"0?..?20,000",00:00 (00:00),Enlight Software Limited,"Enlight Software Limited , Retroism",,,,,,,,
2603,Troubleshooter,30-Dec-17,$19.99,71% (88%),"0?..?20,000",04:23 (02:55),Dandylion,Dandylion,,,,,,,,
2827,Cosmic-Trip,24-May-17,$19.99,71% (88%),"0?..?20,000",00:22 (00:07),Funktronic Labs,Funktronic Labs,,,,,,,,
2968,XGun-Weapon-Evolution,15-May-17,$3.99,71% (88%),"0?..?20,000",00:00 (00:00),"Surf Monster Studio, Kinn Chen, Vicky, Chih-Hsuan Huang",Surf Monster Studio,,,,,,,,
3162,Darknet,8-Jun-17,$14.99,71% (88%),"0?..?20,000",00:00 (00:00),E McNeill,E McNeill,,,,,,,,
3238,A-Girls-Fabric-Face,10-Mar-17,$2.99,71% (88%),"0?..?20,000",00:00 (00:00),Stanislaw Truchowski,TurnVex,,,,,,,,
3606,Eventide-3-Legacy-of-Legends,28-Sep-17,$9.99,71% (88%),"0?..?20,000",00:00 (00:00),The House of Fables,Artifex Mundi,,,,,,,,
4130,Carpe-Diem-Reboot,29-Sep-17,$4.99,71% (88%),"0?..?20,000",00:00 (00:00),Moonlit Works,Moonlit Works,,,,,,,,
5293,Mercury-Fallen,16-Oct-17,$14.99,71% (88%),"0?..?20,000",00:00 (00:00),Nitrous Butterfly,Nitrous Butterfly,,,,,,,,
5311,Ignition,6-Feb-17,$9.99,71% (88%),"0?..?20,000",00:00 (00:00),Unique Development Studios AB,Interplay Entertainment Corp.,,,,,,,,
5326,Hostil,1-Dec-17,$2.99,71% (88%),"0?..?20,000",00:00 (00:00),Eteru Studio,Eteru Studio,,,,,,,,
5792,Twisted-Arrow,28-Mar-17,$14.99,71% (88%),"0?..?20,000",00:00 (00:00),Phaser Lock Interactive,Phaser Lock Interactive,,,,,,,,
6375,BUCK-Saturday-Morning-Cartoon-Apocalypse,17-Mar-17,$9.99,71% (88%),"0?..?20,000",00:00 (00:00),Wave Interactive,Wave Interactive,,,,,,,,
6929,This-Strange-Realm-Of-Mine,19-Jul-17,$12.99,71% (88%),"0?..?20,000",00:00 (00:00),Doomster Entertainment,Doomster Entertainment,,,,,,,,
6964,Oik-3,9-Nov-17,$0.99,71% (88%),"0?..?20,000",00:50 (00:16),Dr_Crewcut,Dr.Crewcut,,,,,,,,
299,Cook-Serve-Delicious!-2!!,13-Sep-17,$12.99,71% (88%/62%),"100,000?..?200,000",00:48 (00:43),Vertigo Gaming Inc.,Vertigo Gaming Inc.,,,,,,,,
261,Scanner-Sombre,26-Apr-17,$5.99,71% (88%/67%),"100,000?..?200,000",01:04 (00:42),Introversion Software,Introversion Software,,,,,,,,
238,hack//GU-Last-Recode,3-Nov-17,$49.99,71% (88%/69%),"50,000?..?100,000",04:02 (04:59),CyberConnect2,BANDAI NAMCO Entertainment,,,,,,,,
226,Indygo,24-Oct-17,N/A,71% (88%/70%),"0?..?20,000",02:08 (01:04),Pigmentum Game Studio,,,,,,,,,
212,Aporia-Beyond-The-Valley,19-Jul-17,$16.99,71% (88%/71%),"20,000?..?50,000",01:45 (01:09),Investigate North,Green Man Gaming Publishing,,,,,,,,
196,Dream-Daddy-A-Dad-Dating-Simulator,20-Jul-17,$14.99,71% (88%/72%),"200,000?..?500,000",01:53 (01:43),Game Grumps,Game Grumps,,,,,,,,
184,Atelier-Sophie-The-Alchemist-of-the-Mysterious-Book,7-Feb-17,$29.99,71% (88%/73%),"50,000?..?100,000",01:11 (00:47),"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,,,,,,,
170,Mages-of-Mystralia,18-May-17,$19.99,71% (88%/74%),"20,000?..?50,000",00:00 (00:00),Borealys Games,Borealys Games,,,,,,,,
161,Bomber-Crew,19-Oct-17,$14.99,71% (88%/75%),"100,000?..?200,000",04:07 (09:33),Runner Duck,Curve Digital,,,,,,,,
135,Hob,26-Sep-17,$19.99,71% (88%/76%),"100,000?..?200,000",00:53 (00:34),Runic Games,Runic Games,,,,,,,,
143,Future-Unfolding,15-Mar-17,$19.99,71% (88%/76%),"0?..?20,000",00:00 (00:00),Spaces of Play UG,Spaces of Play UG,,,,,,,,
120,Vanquish,25-May-17,$19.99,71% (88%/78%),"200,000?..?500,000",00:24 (00:09),"PlatinumGames, Little Stone Software",SEGA,,,,,,,,
100,Battle-Chasers-Nightwar,3-Oct-17,$29.99,71% (88%/79%),"200,000?..?500,000",02:47 (02:14),Airship Syndicate,THQ Nordic,,,,,,,,
74,Little-Nightmares,27-Apr-17,$19.99,71% (88%/81%),"200,000?..?500,000",02:03 (01:32),Tarsier Studios,BANDAI NAMCO Entertainment,,,,,,,,
60,JYDGE,4-Oct-17,$14.99,71% (88%/81%),"0?..?20,000",00:53 (00:53),10tons Ltd,10tons Ltd,,,,,,,,
33,Nex-Machina,20-Jun-17,$19.99,71% (88%/84%),"200,000?..?500,000",00:18 (00:13),Housemarque,Housemarque,,,,,,,,
39,Field-of-Glory-II,12-Oct-17,$29.99,71% (88%/84%),"0?..?20,000",02:47 (02:47),Byzantine Games,Slitherine Ltd.,,,,,,,,
4929,CS2D,15-Nov-17,Free,74% (89%),"500,000?..?1,000,000",02:58 (00:14),Unreal Software,Unreal Software,,,,,,,,
684,Halo-Wars-Definitive-Edition,20-Apr-17,$19.99,74% (89%),"200,000?..?500,000",00:50 (01:09),"Ensemble Studios, Behaviour Interactive, 343 Industries",Microsoft Studios,,,,,,,,
3368,Pavlov-VR,27-Feb-17,$9.99,74% (89%),"200,000?..?500,000",01:38 (01:00),davevillz,davevillz,,,,,,,,
5444,McOsu,20-Mar-17,Free,74% (89%),"200,000?..?500,000",00:41 (00:34),McKay,McKay,,,,,,,,
569,Avorion,23-Jan-17,$17.99,74% (89%),"100,000?..?200,000",01:17 (01:57),Boxelware,Boxelware,,,,,,,,
1040,BlazBlue-Centralfiction,25-Apr-17,$39.99,74% (89%),"100,000?..?200,000",19:04 (04:43),Arc System Works,"H2 Interactive Co., Ltd.",,,,,,,,
3255,b,26-Jun-17,Free,74% (89%),"100,000?..?200,000",335:11 (111:43),u&i,u&i,,,,,,,,
4132,Rock-of-Ages-2-Bigger-Boulder,28-Aug-17,$14.99,74% (89%),"100,000?..?200,000",00:48 (00:34),ACE Team,ATLUS USA,,,,,,,,
5215,Witch-It,31-May-17,$14.99,74% (89%),"100,000?..?200,000",03:34 (01:45),Barrel Roll Games,Daedalic Entertainment,,,,,,,,
5872,Otakus-Fantasy,11-Oct-17,$1.99,74% (89%),"100,000?..?200,000",00:26 (00:35),Dieselmine,Paradise Project,,,,,,,,
520,Whos-your-Santa-!?,18-Dec-17,$3.99,74% (89%),"50,000?..?100,000",00:00 (00:00),5Wolf,5Wolf,,,,,,,,
724,Oik,14-Feb-17,$0.99,74% (89%),"50,000?..?100,000",03:13 (01:04),Dr_Crewcut,Dr.Crewcut,,,,,,,,
2843,Dawn,31-Mar-17,Free,74% (89%),"50,000?..?100,000",00:00 (00:00),Brave Rabbit Games,SMU Guildhall,,,,,,,,
6029,Deaths-Hangover,20-Jan-17,$4.99,74% (89%),"50,000?..?100,000",04:13 (03:43),Retro Army Limited,Retro Army Limited,,,,,,,,
2692,RAYGUN-COMMANDO-VR,23-Jan-17,Free,74% (89%),"20,000?..?50,000",00:00 (00:00),Chun Y.,Chun Y.,,,,,,,,
2802,Neighboring-Islands,30-Apr-17,$4.99,74% (89%),"20,000?..?50,000",00:00 (00:00),Angry games,"Angry games, RuVN",,,,,,,,
2864,PUSH,18-Oct-17,$0.99,74% (89%),"20,000?..?50,000",00:00 (00:00),"Maciej Targoni, Michal Pawlowski","Hamster On Coke Games, Maciej Targoni",,,,,,,,
3221,Wonder-Boy-The-Dragons-Trap,8-Jun-17,$19.99,74% (89%),"20,000?..?50,000",00:56 (00:18),Lizardcube,DotEmu,,,,,,,,
4702,Bombernauts,29-Dec-17,$9.99,74% (89%),"20,000?..?50,000",00:00 (00:00),Eyebrow Interactive,Eyebrow Interactive,,,,,,,,
5124,Crashday-Redline-Edition,10-Aug-17,$11.99,74% (89%),"20,000?..?50,000",15:56 (02:50),Moonbyte,2tainment GmbH,,,,,,,,
6064,Evening-Surprise,15-Sep-17,Free,74% (89%),"20,000?..?50,000",00:00 (00:00),"Aleksandr Soldatov, Leonid Kozhushko",Aleksandr Soldatov,,,,,,,,
6306,The-Mammoth-A-Cave-Painting,22-Nov-17,Free,74% (89%),"20,000?..?50,000",00:00 (00:00),inbetweengames,inbetweengames,,,,,,,,
6324,The-House-of-Da-Vinci,24-Nov-17,$19.99,74% (89%),"20,000?..?50,000",00:32 (00:21),Blue Brain Games,Blue Brain Games,,,,,,,,
6707,Sudden-Strike-Gold,22-May-17,$5.99,74% (89%),"20,000?..?50,000",00:00 (00:00),Fireglow,Kalypso Media Digital,,,,,,,,
6869,Armed-with-Wings-Rearmed,1-Jun-17,$9.99,74% (89%),"20,000?..?50,000",00:00 (00:00),Sun-Studios,Sun-Studios,,,,,,,,
1859,ARENA-GODS,16-Oct-17,$14.99,74% (89%),"0?..?20,000",00:00 (00:00),Supertype,Supertype,,,,,,,,
1984,Sakura-Gamer,5-Oct-17,$9.99,74% (89%),"0?..?20,000",00:00 (00:00),Winged Cloud,Winged Cloud,,,,,,,,
2174,Queens-Quest-2-Stories-of-Forgotten-Past,9-Feb-17,$9.99,74% (89%),"0?..?20,000",01:00 (00:20),Brave Giant LTD,Artifex Mundi,,,,,,,,
2359,The-Tenth-Line,17-Mar-17,$9.99,74% (89%),"0?..?20,000",00:00 (00:00),Sungazer Software,Sungazer Software,,,,,,,,
2380,Nevrosa-Escape,22-Dec-17,$14.99,74% (89%),"0?..?20,000",00:00 (00:00),GexagonVR,GexagonVR,,,,,,,,
2535,Danmaku-Unlimited-3,9-Mar-17,$9.99,74% (89%),"0?..?20,000",00:11 (00:03),Doragon Entertainment,Doragon Entertainment,,,,,,,,
2744,Tomboys-Need-Love-Too!,12-May-17,$9.99,74% (89%),"0?..?20,000",00:00 (00:00),Zetsubou,Zetsubou,,,,,,,,
3001,ZomDay,17-Aug-17,$9.99,74% (89%),"0?..?20,000",00:00 (00:00),INTO GAMES,INTO GAMES,,,,,,,,
3467,Outcast---Second-Contact,14-Nov-17,$34.99,74% (89%),"0?..?20,000",00:00 (00:00),Appeal,Bigben Interactive,,,,,,,,
3901,Blasters-of-the-Universe,31-Aug-17,$14.99,74% (89%),"0?..?20,000",00:00 (00:00),Secret Location Inc.,Secret Location Inc.,,,,,,,,
3943,Age-of-Rivals,14-Mar-17,$9.99,74% (89%),"0?..?20,000",00:00 (00:00),Roboto Games,Roboto Games,,,,,,,,
