#,Game,Games,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,,,,,,,,
27,Shu,Shu,4-Oct-16,$9.99,71% (88%,85%),"20,000?..?50,000",00:00 (00:00),"Coatsink, Secret Lunch",Coatsink,,,,,,,,
23,Falcon 4.0,Falcon-40,8-Jan-16,$6.99,38% (73%,85%),"0?..?20,000",00:00 (00:00),Microprose,Retroism,,,,,,,,
26,Sengoku Jidai: Shadow of the Shogun,Sengoku-Jidai:-Shadow-of-the-Shogun,19-May-16,$29.99,36% (72%,85%),"0?..?20,000",00:00 (00:00),Byzantine Games,Slitherine Ltd.,,,,,,,,
29,Chime Sharp,Chime-Sharp,19-Jul-16,$9.99,28% (67%,85%),"0?..?20,000",00:00 (00:00),"Ste Curran, Twistplay",Chilled Mouse,,,,,,,,
38,Hyper Light Drifter,Hyper-Light-Drifter,31-Mar-16,$19.99,90% (94%,84%),"500,000?..?1,000,000",02:48 (02:39),Heart Machine,Heart Machine,,,,,,,,
34,SpeedRunners,SpeedRunners,19-Apr-16,$14.99,90% (94%,84%),"1,000,000?..?2,000,000",01:23 (00:36),DoubleDutch Games,tinyBuild,,,,,,,,
37,Enter the Gungeon,Enter-the-Gungeon,5-Apr-16,$14.99,87% (93%,84%),"1,000,000?..?2,000,000",02:44 (00:40),Dodge Roll,Devolver Digital,,,,,,,,
32,FINAL FANTASY IX,FINAL-FANTASY-IX,14-Apr-16,$20.99,84% (92%,84%),"200,000?..?500,000",02:06 (03:23),Square Enix,Square Enix,,,,,,,,
33,ICEY,ICEY,17-Nov-16,$10.99,80% (91%,84%),"500,000?..?1,000,000",45:13 (00:41),FantaBlade Network,X.D. Network Inc.,,,,,,,,
35,Salt and Sanctuary,Salt-and-Sanctuary,17-May-16,$17.99,80% (91%,84%),"200,000?..?500,000",00:48 (01:15),Ska Studios,Ska Studios,,,,,,,,
31,Planet Coaster,Planet-Coaster,17-Nov-16,$44.99,71% (88%,84%),"1,000,000?..?2,000,000",05:58 (01:27),Frontier Developments,Frontier Developments,,,,,,,,
36,Darkest Dungeon,Darkest-Dungeon,19-Jan-16,$24.99,63% (85%,84%),"1,000,000?..?2,000,000",04:59 (02:12),Red Hook Studios,Red Hook Studios,,,,,,,,
46,Danganronpa 2: Goodbye Despair,Danganronpa-2:-Goodbye-Despair,18-Apr-16,$19.99,97% (97%,83%),"200,000?..?500,000",02:33 (03:40),"Spike Chunsoft Co., Ltd., Abstraction Games","Spike Chunsoft Co., Ltd.",,,,,,,,
45,Don't Starve Together,Dont-Starve-Together,21-Apr-16,$14.99,95% (96%,83%),"5,000,000?..?10,000,000",06:48 (02:16),Klei Entertainment,Klei Entertainment,,,,,,,,
44,Devil Daggers,Devil-Daggers,18-Feb-16,$4.99,95% (96%,83%),"200,000?..?500,000",01:25 (00:12),Sorath,Sorath,,,,,,,,
43,Slayaway Camp,Slayaway-Camp,25-Oct-16,$0.99,95% (96%,83%),"20,000?..?50,000",03:45 (02:08),Blue Wizard Digital,Blue Wizard Digital,,,,,,,,
40,ABZU,ABZU,2-Aug-16,$19.99,84% (92%,83%),"500,000?..?1,000,000",21:28 (01:16),Giant Squid,505 Games,,,,,,,,
47,Quern - Undying Thoughts,Quern---Undying-Thoughts,28-Nov-16,$24.99,84% (92%,83%),"20,000?..?50,000",00:15 (00:05),Zadbox Entertainment,Zadbox Entertainment,,,,,,,,
39,Grim Dawn,Grim-Dawn,25-Feb-16,$24.99,80% (91%,83%),"1,000,000?..?2,000,000",10:50 (02:39),Crate Entertainment,Crate Entertainment,,,,,,,,
49,Duskers,Duskers,18-May-16,$19.99,71% (88%,83%),"50,000?..?100,000",00:10 (00:03),Misfits Attic,Misfits Attic,,,,,,,,
42,Hearts of Iron IV,Hearts-of-Iron-IV,6-Jun-16,$39.99,66% (86%,83%),"1,000,000?..?2,000,000",08:52 (05:02),Paradox Development Studio,Paradox Interactive,,,,,,,,
41,DarkMaus,DarkMaus,26-Jan-16,$9.99,53% (81%,83%),"20,000?..?50,000",00:00 (00:00),Daniel Wright,Daniel Wright,,,,,,,,
48,Deus Ex: Mankind Divided,Deus-Ex:-Mankind-Divided,23-Aug-16,$29.99,30% (68%,83%),"1,000,000?..?2,000,000",13:08 (01:31),"Eidos Montreal, Feral Interactive (Linux), Feral Interactive (Mac)","Square Enix, Feral Interactive (Linux), Feral Interactive (Mac)",,,,,,,,
51,Danganronpa: Trigger Happy Havoc,Danganronpa:-Trigger-Happy-Havoc,18-Feb-16,$19.99,97% (97%,82%),"200,000?..?500,000",01:15 (01:27),"Spike Chunsoft Co., Ltd., Abstraction Games","Spike Chunsoft Co., Ltd.",,,,,,,,
57,Momodora: Reverie Under The Moonlight,Momodora:-Reverie-Under-The-Moonlight,4-Mar-16,$9.99,93% (95%,82%),"200,000?..?500,000",01:29 (02:58),Bombservice,AGM PLAYISM,,,,,,,,
