"","V1","V2","V3","V4","V5"
"c..Name....CriticRate....CriticNum....UserRate....UserNum..","Name","CriticRate","CriticNum","UserRate","UserNum"
"cur15_sta.411","Chronicon","NA","0","NA","0"
"cur15_sta.412","Zombie Kill of the Week - Reborn","NA","
                                1
                            ","
8.3
    ","4 Ratings"
"cur15_sta.413","Letter Quest: Grimm's Journey","73","
                                4
                            ","
7.2
    ","13 Ratings"
"cur15_sta.414","Hero of the Kingdom II","NA","0","
7.6
    ","15 Ratings"
"cur15_sta.415","Koi-Koi Japan: Hanafuda playing cards","NA","0","NA","0"
"cur15_sta.416","On A Roll 3D","NA","0","NA","0"
"cur15_sta.417","Narcissu 1st & 2nd","NA","0","
8.0
    ","9 Ratings"
"cur15_sta.418","Infinifactory","NA","
                                3
                            ","
8.6
    ","14 Ratings"
"cur15_sta.419","The Jackbox Party Pack 2","NA","
                                2
                            ","NA","0"
"cur15_sta.420","Zoombinis","NA","
                                1
                            ","
7.6
    ","5 Ratings"
"cur15_sta.421","TransPlan","NA","0","NA","0"
"cur15_sta.422","Tokyo School Life","NA","0","NA","0"
"cur15_sta.423","Love at First Sight","NA","
                                2
                            ","NA","0"
"cur15_sta.424","Templar Battleforce","NA","
                                1
                            ","
8.0
    ","16 Ratings"
"cur15_sta.425","Pixel Star","NA","
                                2
                            ","NA","0"
"cur15_sta.426","The Fruit of Grisaia","NA","
                                2
                            ","
7.7
    ","19 Ratings"
"cur15_sta.427","Chip's Challenge 2","NA","
                                2
                            ","NA","0"
"cur15_sta.428","Gaokao.Love.100Days","NA","0","NA","0"
"cur15_sta.429","Relic Hunters Zero","NA","0","
8.4
    ","11 Ratings"
"cur15_sta.430","868-HACK","NA","
                                1
                            ","NA","0"
"cur15_sta.431","Why Am I Dead At Sea","NA","
                                3
                            ","NA","0"
"cur15_sta.432","Sayonara UmiharaKawase","73","
                                4
                            ","NA","0"
"cur15_sta.433","Quell Memento","NA","0","NA","0"
"cur15_sta.434","Decisive Campaigns: Barbarossa","NA","
                                1
                            ","
7.7
    ","9 Ratings"
"cur15_sta.435","Eschatos","NA","
                                1
                            ","NA","0"
"cur15_sta.436","SLAMMED!","NA","0","NA","0"
"cur15_sta.437","Adventure in the Tower of Flight","NA","0","NA","0"
"cur15_sta.438","Super Cane Magic ZERO","NA","0","NA","0"
"cur15_sta.439","The Lady","NA","
                                2
                            ","NA","0"
"cur15_sta.440","ePic Character Generator","X","X","X","X"
"cur15_sta.441","CroNix","NA","0","NA","0"
"cur15_sta.442","Clown House (Palyaco Evi)","NA","0","NA","0"
"cur15_sta.443","ShipLord","NA","0","
6.2
    ","6 Ratings"
"cur15_sta.444","Space Station Alpha","NA","0","NA","0"
"cur15_sta.445","Club Manager 2016","NA","0","NA","0"
"cur15_sta.446","Weapons Genius","NA","0","NA","0"
"cur15_sta.447","//SNOWFLAKE TATTOO//","NA","0","NA","0"
"cur15_sta.448","CINEVEO - VR Cinema","X","X","X","X"
"cur15_sta.449","Akuatica","NA","0","NA","0"
"cur15_sta.450","Sword Daughter","NA","0","NA","0"
"cur15_sta.451","Gabe Newell Simulator","NA","0","NA","0"
"cur15_sta.452","3D MiniGolf","NA","0","NA","0"
"cur15_sta.453","Crossfire: Dungeons","NA","0","NA","0"
"cur15_sta.454","Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist","NA","
                                3
                            ","
7.5
    ","23 Ratings"
"cur15_sta.455","Avalanche 2: Super Avalanche","NA","0","NA","0"
"cur15_sta.456","Dino Run DX","NA","
                                1
                            ","NA","0"
"cur15_sta.457","Ubinota","NA","
                                1
                            ","
8.5
    ","4 Ratings"
"cur15_sta.458","Nyan Cat: Lost In Space","NA","0","NA","0"
"cur15_sta.459","Amnesia: Memories","72","
                                5
                            ","
7.0
    ","6 Ratings"
"cur15_sta.460","Gurumin: A Monstrous Adventure","NA","
                                3
                            ","
8.5
    ","4 Ratings"
"cur15_sta.461","The Silent Age","NA","
                                3
                            ","
7.3
    ","26 Ratings"
"cur15_sta.462","Universe Sandbox","83","
                                4
                            ","
7.2
    ","117 Ratings"
"cur15_sta.463","Timberman","NA","0","
5.9
    ","10 Ratings"
"cur15_sta.464","Jigoku Kisetsukan: Sense of the Seasons","NA","0","NA","0"
"cur15_sta.465","Goosebumps: The Game","NA","0","NA","0"
"cur15_sta.466","Unhack","NA","0","
6.0
    ","4 Ratings"
"cur15_sta.467","Glorkian Warrior: The Trials Of Glork","NA","
                                1
                            ","NA","0"
"cur15_sta.468","Sanctuary RPG: Black Edition","NA","
                                3
                            ","
6.8
    ","5 Ratings"
"cur15_sta.469","Garden Rescue","NA","0","NA","0"
"cur15_sta.470","SC2VN - The eSports Visual Novel","NA","0","NA","0"
"cur15_sta.471","12 Labours of Hercules","NA","
                                1
                            ","
7.6
    ","20 Ratings"
"cur15_sta.472","Secrets of Grindea","NA","0","NA","0"
"cur15_sta.473","Voices from the Sea","NA","0","
8.2
    ","5 Ratings"
"cur15_sta.474","Tabletop Simulator","NA","0","
8.1
    ","26 Ratings"
"cur15_sta.475","Metamorphabet","NA","0","NA","0"
"cur15_sta.476","Super Mutant Alien Assault","NA","
                                1
                            ","NA","0"
"cur15_sta.477","The Consuming Shadow","NA","
                                1
                            ","
7.4
    ","7 Ratings"
"cur15_sta.478","Gunman Clive 2","NA","0","NA","0"
"cur15_sta.479","Tennis in the Face","NA","
                                2
                            ","NA","0"
"cur15_sta.480","Black Closet","NA","0","NA","0"
"cur15_sta.481","Brilliant Shadows - Part One of the Book of Gray Magic","NA","0","NA","0"
"cur15_sta.482","Legacy of Dorn: Herald of Oblivion","NA","0","NA","0"
"cur15_sta.483","To Be or Not To Be","NA","
                                2
                            ","NA","0"
"cur15_sta.484","Space Beast Terror Fright","NA","0","NA","0"
"cur15_sta.485","Turbo Pug","NA","0","
3.7
    ","7 Ratings"
"cur15_sta.486","Viscera Cleanup Detail","NA","
                                1
                            ","
8.0
    ","9 Ratings"
"cur15_sta.487","Kitty Powers' Matchmaker","NA","
                                2
                            ","NA","0"
"cur15_sta.488","9 Clues 2: The Ward","NA","0","
7.0
    ","4 Ratings"
"cur15_sta.489","Goats On A Bridge","NA","
                                1
                            ","NA","0"
"cur15_sta.490","oO","NA","0","NA","0"
"cur15_sta.491","Renowned Explorers: International Society","72","
                                19
                            ","
6.4
    ","72 Ratings"
"cur15_sta.492","Robot Roller-Derby Disco Dodgeball","NA","
                                3
                            ","
8.2
    ","18 Ratings"
"cur15_sta.493","Dreaming Sarah","NA","
                                1
                            ","
8.0
    ","11 Ratings"
"cur15_sta.494","Hotline Miami 2: Wrong Number","74","
                                67
                            ","
7.6
    ","520 Ratings"
"cur15_sta.495","Echoes+","NA","0","NA","0"
"cur15_sta.496","Hyperdimension Neptunia Re;Birth2: Sisters Generation","NA","
                                3
                            ","
7.1
    ","22 Ratings"
"cur15_sta.497","Earthtongue","NA","0","NA","0"
"cur15_sta.498","Hyperdrive Massacre","NA","
                                1
                            ","
7.7
    ","7 Ratings"
"cur15_sta.499","Tick Tock Isle","NA","0","NA","0"
"cur15_sta.500","Dark Echo","NA","
                                2
                            ","
6.6
    ","5 Ratings"
"cur15_sta.501","Trash TV","NA","
                                2
                            ","NA","0"
"cur15_sta.502","Miracle Fly","NA","0","NA","0"
"cur15_sta.503","Tallowmere","NA","0","NA","0"
"cur15_sta.504","MechaNika","NA","
                                2
                            ","
7.8
    ","4 Ratings"
"cur15_sta.505","Princess Evangile","NA","
                                1
                            ","NA","0"
"cur15_sta.506","Pumped BMX +","NA","0","NA","0"
"cur15_sta.507","SquareCells","NA","0","NA","0"
"cur15_sta.508","hocus","NA","0","NA","0"
"cur15_sta.509","Witch's Pranks: Frog's Fortune","NA","0","NA","0"
"cur15_sta.510","Death Ray Manta SE","NA","
                                3
                            ","NA","0"
"cur15_sta.511","Guilty Gear XX Accent Core Plus R","75","
                                4
                            ","
7.3
    ","8 Ratings"
"cur15_sta.512","Reassembly","NA","
                                2
                            ","
7.5
    ","12 Ratings"
"cur15_sta.513","Controller Companion","X","X","X","X"
"cur15_sta.514","Pink Hour","NA","0","NA","0"
"cur15_sta.515","Dark Matter","NA","0","NA","0"
"cur15_sta.516","Spooky's Jump Scare Mansion","NA","0","NA","0"
"cur15_sta.517","Crystal Story II","NA","0","NA","0"
"cur15_sta.518","Waves 2","NA","0","NA","0"
"cur15_sta.519","Counter Spell","NA","0","NA","0"
"cur15_sta.520","Stardust Galaxy Warriors","NA","
                                2
                            ","NA","0"
"cur15_sta.521","Angry Arrows","NA","0","NA","0"
"cur15_sta.522","Flamberge","NA","0","NA","0"
"cur15_sta.523","Saint Seiya: Soldiers' Soul","NA","
                                3
                            ","
6.7
    ","11 Ratings"
"cur15_sta.524","Conquest of Elysium 4","NA","
                                2
                            ","
8.1
    ","8 Ratings"
"cur15_sta.525","Magical Otoge Ciel","NA","0","NA","0"
"cur15_sta.526","Who Is Mike - A Visual Novel","NA","0","NA","0"
"cur15_sta.527","Sound of Drop - fall into poison -","NA","
                                3
                            ","NA","0"
"cur15_sta.528","Devil May Cry 4: Special Edition","72","
                                11
                            ","
8.6
    ","130 Ratings"
"cur15_sta.529","Sakura Fantasy","NA","
                                2
                            ","
4.2
    ","10 Ratings"
"cur15_sta.530","Environmental Station Alpha","NA","
                                1
                            ","
7.4
    ","8 Ratings"
"cur15_sta.531","Void Invaders","NA","
                                1
                            ","
6.8
    ","10 Ratings"
"cur15_sta.532","Stray Cat Crossing","NA","0","NA","0"
"cur15_sta.533","An Assassin in Orlandes","NA","0","NA","0"
"cur15_sta.534","Super Cyborg","NA","0","
7.8
    ","6 Ratings"
"cur15_sta.535","Sky Force Anniversary","NA","
                                1
                            ","
6.8
    ","13 Ratings"
"cur15_sta.536","Grapple","NA","0","NA","0"
"cur15_sta.537","Canabalt","NA","0","NA","0"
"cur15_sta.538","Porcunipine","NA","0","NA","0"
"cur15_sta.539","Pizza Express","NA","
                                1
                            ","NA","0"
"cur15_sta.540","Westerado: Double Barreled","80","
                                18
                            ","
7.6
    ","40 Ratings"
"cur15_sta.541","Fake Colours","NA","0","NA","0"
"cur15_sta.542","Software Inc.","NA","0","NA","0"
"cur15_sta.543","Metal Slug","NA","0","
6.0
    ","8 Ratings"
"cur15_sta.544","The King of Fighters 2002 Unlimited Match","NA","0","
8.6
    ","11 Ratings"
"cur15_sta.545","The Deed","NA","
                                1
                            ","
6.0
    ","15 Ratings"
"cur15_sta.546","Hotline Miami 2: Wrong Number","74","
                                67
                            ","
7.6
    ","520 Ratings"
"cur15_sta.547","Transcendence","NA","0","NA","0"
"cur15_sta.548","Planet Diver","NA","
                                3
                            ","NA","0"
"cur15_sta.549","Below Kryll","NA","0","NA","0"
"cur15_sta.550","Rescue Team","NA","0","NA","0"
"cur15_sta.551","Star Trek: 25th Anniversary","NA","0","NA","0"
"cur15_sta.552","The Cat Machine","NA","
                                1
                            ","NA","0"
"cur15_sta.553","Gathering Sky","NA","
                                1
                            ","NA","0"
"cur15_sta.554","Farm Frenzy Collection","NA","0","NA","0"
"cur15_sta.555","Aero's Quest","NA","
                                3
                            ","
8.3
    ","11 Ratings"
"cur15_sta.556","Navy Field 2 : Conqueror of the Ocean","NA","0","NA","0"
"cur15_sta.557","Secret Of Magia","NA","0","
1.2
    ","5 Ratings"
"cur15_sta.558","Darkness Assault","NA","0","
3.8
    ","6 Ratings"
"cur15_sta.559","Fly in the House","NA","
                                1
                            ","NA","0"
"cur15_sta.560","Might & Magic: Heroes VII","67","
                                39
                            ","
4.9
    ","402 Ratings"
"cur15_sta.561","Hello Kitty and Sanrio Friends Racing","NA","0","NA","0"
"cur15_sta.562","Comic Book Hero: The Greatest Cape","NA","0","NA","0"
"cur15_sta.563","Arms Dealer","NA","
                                1
                            ","NA","0"
"cur15_sta.564","Castle (2014)","NA","0","NA","0"
"cur15_sta.565","Red Lake","NA","0","NA","0"
"cur15_sta.566","Construction Machines Simulator 2016","NA","0","NA","0"
"cur15_sta.567","The Bluecoats: North vs South","NA","
                                2
                            ","NA","0"
"cur15_sta.568","Idol Hands","NA","
                                2
                            ","NA","0"
"cur15_sta.569","Golden Rush","NA","0","
7.0
    ","6 Ratings"
"cur15_sta.570","TDP5 Arena 3D","NA","0","NA","0"
"cur15_sta.571","Spartans VS Zombies Defense","NA","0","NA","0"
"cur15_sta.572","Timber and Stone","NA","0","NA","0"
"cur15_sta.573","Battle Chess: Game of Kings","NA","0","NA","0"
"cur15_sta.574","Murder...","NA","0","NA","0"
"cur15_sta.575","Barren Roads","NA","0","NA","0"
"cur15_sta.576","TownCraft","NA","
                                1
                            ","NA","0"
"cur15_sta.577","Badland Bandits","NA","0","NA","0"
"cur15_sta.578","All Is Dust","NA","0","NA","0"
"cur15_sta.579","Osteya","NA","0","NA","0"
"cur15_sta.580","Vendetta: Curse of Raven's Cry","NA","
                                1
                            ","
4.2
    ","33 Ratings"
"cur15_sta.581","liteCam HD 5.0: Screen/Stream Capture","X","X","X","X"
"cur15_sta.582","Endless Sky","NA","0","
7.2
    ","6 Ratings"
"cur15_sta.583","The Knobbly Crook: Chapter I - The Horse You Sailed In On","NA","0","NA","0"
"cur15_sta.584","Super Mega Baseball: Extra Innings","NA","
                                2
                            ","
7.2
    ","13 Ratings"
"cur15_sta.585","Bermuda","NA","0","NA","0"
"cur15_sta.586","12 Labours of Hercules II: The Cretan Bull","NA","0","
6.8
    ","6 Ratings"
"cur15_sta.587","Paint the Town Red","NA","0","NA","0"
"cur15_sta.588","Cubot","NA","0","NA","0"
"cur15_sta.589","Chicken Invaders 3","NA","0","NA","0"
"cur15_sta.590","Pahelika: Revelations","NA","
                                1
                            ","NA","0"
"cur15_sta.591","Morningstar: Descent to Deadrock","62","
                                9
                            ","
5.9
    ","17 Ratings"
"cur15_sta.592","Chip's Challenge 1","NA","0","NA","0"
"cur15_sta.593","Cosmochoria","NA","
                                3
                            ","
8.5
    ","4 Ratings"
"cur15_sta.594","the-royal-trap-the-confines-of-the-crown","NA","0","NA","0"
"cur15_sta.595","The Black Watchmen","NA","
                                1
                            ","
7.8
    ","6 Ratings"
"cur15_sta.596","Tasty Blue","NA","0","NA","0"
"cur15_sta.597","Grey Cubes","NA","0","NA","0"
"cur15_sta.598","Monstrum","NA","
                                3
                            ","
6.3
    ","12 Ratings"
"cur15_sta.599","Pink Heaven","NA","0","NA","0"
"cur15_sta.600","Portal of Evil: Stolen Runes","NA","0","NA","0"
"cur15_sta.601","Port of Call","NA","0","NA","0"
"cur15_sta.602","Absolute Drift","66","
                                6
                            ","
6.8
    ","8 Ratings"
"cur15_sta.603","UBERMOSH","NA","
                                1
                            ","
7.1
    ","9 Ratings"
"cur15_sta.604","Kung Fury: Street Rage","NA","
                                1
                            ","
8.7
    ","14 Ratings"
"cur15_sta.605","Choice Chamber","NA","0","
5.3
    ","4 Ratings"
"cur15_sta.606","Cat Goes Fishing","NA","0","NA","0"
"cur15_sta.607","ShellShock Live","NA","0","NA","0"
"cur15_sta.608","The Way We ALL GO","NA","0","NA","0"
"cur15_sta.609","Ephemerid: A Musical Adventure","NA","
                                1
                            ","NA","0"
"cur15_sta.610","stratO","NA","0","NA","0"
"cur15_sta.611","Leo's Fortune","NA","
                                3
                            ","
8.1
    ","8 Ratings"
"cur15_sta.612","New York Mysteries: Secrets of the Mafia","NA","0","NA","0"
"cur15_sta.613","Tennis Elbow 2013","NA","
                                1
                            ","
8.1
    ","18 Ratings"
"cur15_sta.614","Cats Are Liquid","NA","0","NA","0"
"cur15_sta.615","Catacomb Kids","NA","0","NA","0"
"cur15_sta.616","Vortex Attack: Arcade Edition","NA","
                                2
                            ","NA","0"
"cur15_sta.617","RFLEX","NA","0","NA","0"
"cur15_sta.618","199X","NA","
                                1
                            ","
6.5
    ","4 Ratings"
"cur15_sta.619","BeamNG.drive","NA","0","NA","0"
"cur15_sta.620","Catlateral Damage","NA","
                                3
                            ","
7.8
    ","4 Ratings"
"cur15_sta.621","Expand","NA","
                                3
                            ","NA","0"
"cur15_sta.622","Vampire Legends: The True Story of Kisilova","NA","0","NA","0"
"cur15_sta.623","Tcheco in the Castle of Lucio","NA","0","
7.5
    ","4 Ratings"
"cur15_sta.624","Barony","NA","0","NA","0"
"cur15_sta.625","Clicker Heroes","NA","
                                1
                            ","
6.4
    ","46 Ratings"
"cur15_sta.626","Carpe Diem","NA","0","
3.3
    ","6 Ratings"
"cur15_sta.627","Evoland 2: A Slight Case of Spacetime Continuum Disorder","74","
                                24
                            ","
7.7
    ","48 Ratings"
"cur15_sta.628","The Old Tree","NA","0","
5.0
    ","7 Ratings"
"cur15_sta.629","Koala Kids","NA","0","NA","0"
"cur15_sta.630","PewDiePie: Legend of the Brofist","NA","0","
3.3
    ","30 Ratings"
"cur15_sta.631","Braveland Pirate","NA","0","NA","0"
"cur15_sta.632","Reverse Crawl","NA","
                                1
                            ","NA","0"
"cur15_sta.633","12 Labours of Hercules IV: Mother Nature","NA","0","NA","0"
"cur15_sta.634","Age of Fear 2: The Chaos Lord","NA","0","
7.0
    ","8 Ratings"
"cur15_sta.635","GOCCO OF WAR","NA","
                                1
                            ","NA","0"
"cur15_sta.636","AdVenture Capitalist","NA","
                                2
                            ","
5.9
    ","49 Ratings"
"cur15_sta.637","Sakura Santa","NA","
                                3
                            ","NA","0"
"cur15_sta.638","Lost Lands: A Hidden Object Adventure","NA","0","NA","0"
"cur15_sta.639","Electric Highways","NA","0","NA","0"
"cur15_sta.640","Teddy Floppy Ear - Mountain Adventure","NA","0","
6.3
    ","4 Ratings"
"cur15_sta.641","Frosty Kiss","NA","0","NA","0"
"cur15_sta.642","PULSAR: Lost Colony","NA","0","NA","0"
"cur15_sta.643","Parcel","NA","
                                1
                            ","NA","0"
"cur15_sta.644","WALL-E","58","
                                6
                            ","
6.6
    ","21 Ratings"
"cur15_sta.645","The Reject Demon: Toko Chapter 0 - Prelude","NA","
                                1
                            ","NA","0"
"cur15_sta.646","Without Within 2","NA","0","NA","0"
"cur15_sta.647","MetaHuman Inc.","NA","
                                1
                            ","NA","0"
"cur15_sta.648","Cosmophony","NA","
                                2
                            ","NA","0"
"cur15_sta.649","PANORAMICAL","NA","
                                2
                            ","NA","0"
"cur15_sta.650","Rubber Ducky and the Rainbow Gun","NA","0","NA","0"
"cur15_sta.651","Time Clickers","NA","0","
7.3
    ","4 Ratings"
"cur15_sta.652","RPG Maker 2003","NA","
                                1
                            ","NA","0"
"cur15_sta.653","King's Quest: The Complete Collection","NA","
                                3
                            ","
7.5
    ","31 Ratings"
"cur15_sta.654","Horizon Shift","NA","
                                1
                            ","NA","0"
"cur15_sta.655","Missing Translation","NA","0","NA","0"
"cur15_sta.656","Without Within","NA","0","NA","0"
"cur15_sta.657","PARTICLE MACE","NA","
                                3
                            ","
6.8
    ","4 Ratings"
"cur15_sta.658","Moorhuhn (Crazy Chicken)","NA","0","NA","0"
"cur15_sta.659","Fine Sweeper","NA","0","NA","0"
"cur15_sta.660","Ancient Domains of Mystery","NA","0","
8.2
    ","26 Ratings"
"cur15_sta.661","The Music Machine","NA","
                                1
                            ","NA","0"
"cur15_sta.662","Cataegis : The White Wind","NA","0","NA","0"
"cur15_sta.663","Rituals","NA","
                                3
                            ","NA","0"
"cur15_sta.664","NotTheNameWeWanted","NA","0","NA","0"
"cur15_sta.665","Close Your Eyes","NA","0","NA","0"
"cur15_sta.666","Emily is Away","NA","0","
7.7
    ","45 Ratings"
"cur15_sta.667","An Octave Higher","NA","
                                2
                            ","NA","0"
"cur15_sta.668","Hollywood Visionary","NA","0","NA","0"
"cur15_sta.669","The Rainy Port Keelung","NA","0","NA","0"
"cur15_sta.670","DinoSystem","NA","0","NA","0"
"cur15_sta.671","Dragon's Wake","NA","
                                1
                            ","NA","0"
"cur15_sta.672","Fort Meow","NA","0","NA","0"
"cur15_sta.673","Champion of the Gods","NA","0","NA","0"
"cur15_sta.674","The Cursed Forest","NA","0","
9.0
    ","4 Ratings"
"cur15_sta.675","Lex Mortis","NA","
                                1
                            ","
3.5
    ","8 Ratings"
"cur15_sta.676","Escape Machines","NA","0","NA","0"
"cur15_sta.677","Retention","NA","
                                1
                            ","NA","0"
"cur15_sta.678","Ferrum's Secrets: Where Is Grandpa?","NA","
                                1
                            ","NA","0"
"cur15_sta.679","Samudai","NA","0","NA","0"
"cur15_sta.680","Truck Mechanic Simulator 2015","NA","0","
8.4
    ","5 Ratings"
"cur15_sta.681","Soccer Rage","NA","0","NA","0"
"cur15_sta.682","R.B.I. Baseball 15","NA","
                                1
                            ","
2.3
    ","4 Ratings"
"cur15_sta.683","Mystery of the Druids","49","
                                14
                            ","NA","0"
"cur15_sta.684","AdvertCity","NA","
                                1
                            ","NA","0"
"cur15_sta.685","Minimon","NA","0","NA","0"
"cur15_sta.686","Burstfire","NA","0","NA","0"
"cur15_sta.687","Indie Game Battle","NA","0","NA","0"
"cur15_sta.688","TDP4:Team Battle","NA","0","NA","0"
"cur15_sta.689","New kind of adventure","NA","0","NA","0"
"cur15_sta.690","Devils & Demons","NA","0","NA","0"
"cur15_sta.691","Undeadz!","NA","0","NA","0"
"cur15_sta.692","Hydraulic Empire","NA","0","NA","0"
"cur15_sta.693","Dragon Ball: Xenoverse","NA","
                                3
                            ","
7.4
    ","192 Ratings"
"cur15_sta.694","Raiden IV: Overkill","NA","
                                1
                            ","NA","0"
"cur15_sta.695","Bob Was Hungry","NA","
                                2
                            ","NA","0"
"cur15_sta.696","Remnants Of Isolation","NA","
                                1
                            ","NA","0"
"cur15_sta.697","Knight Squad","NA","
                                3
                            ","NA","0"
"cur15_sta.698","Mind Snares: Alice's Journey","NA","0","
5.2
    ","6 Ratings"
"cur15_sta.699","Space Pilgrim Episode One: Alpha Centauri","NA","0","
5.8
    ","12 Ratings"
"cur15_sta.700","Read Only Memories","80","
                                12
                            ","
4.3
    ","120 Ratings"
"cur15_sta.701","RPG Maker MV","NA","
                                2
                            ","
6.3
    ","9 Ratings"
"cur15_sta.702","200% Mixed Juice!","NA","
                                2
                            ","NA","0"
"cur15_sta.703","Super Galaxy Squadron EX Turbo","NA","
                                1
                            ","NA","0"
"cur15_sta.704","Asphyxia","NA","
                                1
                            ","NA","0"
"cur15_sta.705","Just Get Through","NA","0","NA","0"
"cur15_sta.706","Spider: Rite of the Shrouded Moon","NA","
                                2
                            ","
6.8
    ","5 Ratings"
"cur15_sta.707","Square Heroes","NA","
                                1
                            ","NA","0"
"cur15_sta.708","WolfQuest","NA","0","NA","0"
"cur15_sta.709","Spermination","NA","
                                1
                            ","NA","0"
"cur15_sta.710","Spooky Cats","NA","0","NA","0"
"cur15_sta.711","Stalingrad","NA","0","NA","0"
"cur15_sta.712","Stardust Vanguards","NA","
                                3
                            ","NA","0"
"cur15_sta.713","Silver Creek Falls: Chapter 1","NA","0","NA","0"
"cur15_sta.714","Quiplash","NA","
                                2
                            ","
8.3
    ","7 Ratings"
"cur15_sta.715","SubSpace Continuum","NA","0","
7.7
    ","13 Ratings"
"cur15_sta.716","12 Labours of Hercules III: Girl Power","NA","0","
4.7
    ","7 Ratings"
"cur15_sta.717","Akiba's Trip: Undead & Undressed","NA","0","
6.9
    ","10 Ratings"
"cur15_sta.718","Steredenn","NA","
                                1
                            ","
7.8
    ","4 Ratings"
"cur15_sta.719","Game Corp DX","NA","0","NA","0"
"cur15_sta.720","Gigachess","NA","0","NA","0"
"cur15_sta.721","Mystik Belle","NA","0","NA","0"
"cur15_sta.722","TowerClimb","NA","0","NA","0"
"cur15_sta.723","Community College Hero: Trial by Fire","NA","0","NA","0"
"cur15_sta.724","Bitardia","NA","0","NA","0"
"cur15_sta.725","Pixel Dungeon","NA","
                                1
                            ","
8.2
    ","5 Ratings"
"cur15_sta.726","Loot Hound","NA","
                                2
                            ","NA","0"
"cur15_sta.727","Among the Heavens","NA","0","NA","0"
"cur15_sta.728","rFactor","NA","0","
8.2
    ","18 Ratings"
"cur15_sta.729","Egyptian Senet","NA","0","NA","0"
"cur15_sta.730","Sunrider Academy","NA","
                                3
                            ","NA","0"
"cur15_sta.731","Executive Assault","NA","0","NA","0"
"cur15_sta.732","Rats - Time is running out!","NA","0","
6.8
    ","5 Ratings"
"cur15_sta.733","Please, Don't Touch Anything","75","
                                4
                            ","
7.4
    ","16 Ratings"
"cur15_sta.734","Sakura Angels","NA","
                                2
                            ","
5.3
    ","19 Ratings"
"cur15_sta.735","Sakura Swim Club","NA","
                                2
                            ","
6.3
    ","7 Ratings"
"cur15_sta.736","Pixel Puzzles 2: Anime","NA","0","NA","0"
"cur15_sta.737","The Beginner's Guide","76","
                                35
                            ","
7.6
    ","281 Ratings"
"cur15_sta.738","Diadra Empty","NA","0","NA","0"
"cur15_sta.739","Arcana Heart 3: LOVEMAX!!!!!","NA","
                                2
                            ","NA","0"
"cur15_sta.740","Wick","NA","
                                1
                            ","NA","0"
"cur15_sta.741","Earth Overclocked","NA","0","NA","0"
"cur15_sta.742","Super Chibi Knight","NA","
                                3
                            ","NA","0"
"cur15_sta.743","The Enchanted Cave 2","NA","
                                1
                            ","NA","0"
"cur15_sta.744","Song of the Myrne: What Lies Beneath","NA","
                                1
                            ","NA","0"
"cur15_sta.745","Nimble Writer","X","X","X","X"
"cur15_sta.746","Dustoff Heli Rescue","NA","
                                1
                            ","NA","0"
"cur15_sta.747","MANOS: The Hands of Fate - Director's Cut","NA","0","NA","0"
"cur15_sta.748","Woof Blaster","NA","0","NA","0"
"cur15_sta.749","Bertram Fiddle: Episode 1 - A Dreadly Business","NA","
                                1
                            ","
5.3
    ","8 Ratings"
"cur15_sta.750","KeeperRL","NA","0","NA","0"
"cur15_sta.751","Anode","NA","0","NA","0"
"cur15_sta.752","123 Slaughter Me Street","NA","0","NA","0"
"cur15_sta.753","Alpha Runner","NA","0","NA","0"
"cur15_sta.754","Forget Me Not: My Organic Garden","NA","0","NA","0"
"cur15_sta.755","Alien Robot Monsters","NA","
                                1
                            ","NA","0"
"cur15_sta.756","Cursed Sight","NA","0","NA","0"
"cur15_sta.757","Steel Rain","NA","0","NA","0"
"cur15_sta.758","Disney's Chicken Little","71","
                                5
                            ","
6.5
    ","6 Ratings"
"cur15_sta.759","Zero Punctuation: Hatfall","NA","
                                1
                            ","NA","0"
"cur15_sta.760","Plush","NA","0","NA","0"
"cur15_sta.761","Mute Crimson+","NA","
                                1
                            ","NA","0"
"cur15_sta.762","Boring Man - Online Tactical Stickman Combat","NA","0","NA","0"
"cur15_sta.763","Astrox: Hostile Space Excavation","NA","
                                1
                            ","NA","0"
"cur15_sta.764","Vox Populi Vox Dei 2","NA","0","NA","0"
"cur15_sta.765","The Purring Quest","NA","
                                3
                            ","NA","0"
"cur15_sta.766","Forward to the Sky","NA","
                                2
                            ","NA","0"
"cur15_sta.767","Rebel Galaxy","75","
                                28
                            ","
7.7
    ","100 Ratings"
"cur15_sta.768","Seduce Me the Otome","NA","0","NA","0"
"cur15_sta.769","Siralim","NA","0","
7.5
    ","6 Ratings"
"cur15_sta.770","Alphadia Genesis","NA","
                                1
                            ","NA","0"
"cur15_sta.771","The Fall of the Dungeon Guardians","71","
                                7
                            ","
7.0
    ","28 Ratings"
"cur15_sta.772","SimpleRockets","NA","0","NA","0"
"cur15_sta.773","Sparkle 2","NA","0","NA","0"
"cur15_sta.774","Message Quest","NA","
                                1
                            ","
7.3
    ","9 Ratings"
"cur15_sta.775","Rytmik Ultimate","X","X","X","X"
"cur15_sta.776","Azure Striker Gunvolt","NA","
                                1
                            ","
7.5
    ","6 Ratings"
"cur15_sta.777","Vintage Year","NA","0","NA","0"
"cur15_sta.778","Knights of Pen & Paper 2","67","
                                9
                            ","
5.8
    ","13 Ratings"
