X.,Game,Url,Release.date,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
1035,1849,1849,8-May-14,$14.99,27% (66%),"20,000?..?50,000",08:37 (02:52),SomaSim,SomaSim
374,"""Glow Ball"" - The billiard puzzle game",glow-ball---the-billiard-puzzle-game,19-Feb-14,$4.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),WTFOMGames,WTFOMGames
561,//N.P.P.D. RUSH//- The milk of Ultraviolet,nppd-rush--the-milk-of-ultraviolet,13-Feb-14,$3.99,7% (41%),"100,000?..?200,000",00:03 (00:01),Rail Slave Games,KISS ltd
153,10 Second Ninja,10-Second-Ninja,5-Mar-14,$1.99,84% (92%/72%),"50,000?..?100,000",03:43 (01:30),Four Circle Interactive,Mastertronic
739,100% Orange Juice,100-orange-juice,16-May-14,$6.99,90% (94%),"200,000?..?500,000",03:18 (01:27),Orange_Juice,Fruitbat Factory
57,1001 Spikes,1001-Spikes,3-Jun-14,$14.99,71% (88%/80%),"50,000?..?100,000",00:00 (00:00),"Nicalis, Inc.","Nicalis, Inc."
1047,1953: NATO vs Warsaw Pact,1953-NATO-vs-Warsaw-Pact,4-Dec-14,$19.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Wastelands Interactive,Wastelands Interactive
717,1954 Alcatraz,1954-Alcatraz,11-Mar-14,$9.99,33% (70%),"100,000?..?200,000",01:08 (00:40),"Daedalic Entertainment, Irresponsible Games",Daedalic Entertainment
768,1HEART,1HEART,13-Oct-14,$9.99,31% (69%),"0?..?20,000",00:00 (00:00),Chicken in The Corn,Chicken in The Corn
699,1Quest,1Quest,3-Dec-14,$3.99,17% (58%),"50,000?..?100,000",00:00 (00:00),"Ratz 'N' Godz, Storybird Games",Ratz 'N' Godz
889,3 Stars of Destiny,3-Stars-of-Destiny,28-Mar-14,$14.99,33% (70%),"20,000?..?50,000",04:35 (01:31),Aldorlea Games,Degica
1410,300 Dwarves,300-Dwarves,5-Jun-14,$6.99,11% (49%),"0?..?20,000",00:00 (00:00),Artifex Mundi,"Viva Media, Inc"
381,3089 -- Futuristic Action RPG,3089----Futuristic-Action-RPG,10-Jan-14,$6.99,49% (79%),"50,000?..?100,000",00:00 (00:00),Phr00t's Software,Phr00t's Software
354,4PM,4PM,9-Jul-14,$2.99,6% (38%/41%),"0?..?20,000",00:00 (00:00),Bojan Brbora,4PM GAME
600,4x4 Dream Race,4x4-Dream-Race,15-Jul-14,$4.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Dream Up,Strategy First
725,6180 the moon,6180-the-moon,19-Sep-14,$3.99,84% (92%),"0?..?20,000",00:00 (00:00),"Turtle Cream, PokPoong Games",Turtle Cream
871,7 Wonders of the Ancient World,7-Wonders-of-the-Ancient-World,18-Feb-14,$6.99,47% (78%),"20,000?..?50,000",00:00 (00:00),MumboJumbo,MumboJumbo
1079,7 Wonders: Magical Mystery Tour,7-Wonders-Magical-Mystery-Tour,18-Feb-14,$6.99,100% (100%),"20,000?..?50,000",00:00 (00:00),MumboJumbo,MumboJumbo
962,"7,62 High Calibre",762-High-Calibre,30-Apr-14,$4.99,51% (80%),"50,000?..?100,000",00:00 (00:00),Apeiron,1C Entertainment
489,7th Legion,7th-Legion,23-Oct-14,$6.99,25% (65%),"0?..?20,000",00:00 (00:00),"Epic MegaGames, Vision Software","Retroism, Nightdive Studios"
1530,8-Bit Commando,8-Bit-Commando,2-Jun-14,$2.99,31% (69%),"50,000?..?100,000",01:46 (00:35),2DEngine,2DEngine
902,8BitBoy,8BitBoy,5-May-14,$11.99,39% (74%),"200,000?..?500,000",00:57 (00:19),AwesomeBlade,AwesomeBlade
1548,9 Clues: The Secret of Serpent Creek,9-Clues-The-Secret-of-Serpent-Creek,10-Jul-14,$9.99,74% (89%),"50,000?..?100,000",00:00 (00:00),Tap It Games,Artifex Mundi
244,99 Levels To Hell,99-Levels-To-Hell,19-Feb-14,$4.99,21% (61%/66%),"50,000?..?100,000",00:00 (00:00),"Zaxis Games, B-evil",Zaxis Games
246,A Bird Story,A-Bird-Story,7-Nov-14,$3.99,60% (84%/66%),"200,000?..?500,000",01:35 (02:04),Freebird Games,Freebird Games
1338,A City Sleeps,A-City-Sleeps,16-Oct-14,$9.99,24% (64%),"20,000?..?50,000",00:00 (00:00),"Harmonix Music Systems, Inc","Harmonix Music Systems, Inc"
814,A Date in the Park,A-Date-in-the-Park,14-Nov-14,Free,66% (86%),"50,000?..?100,000",02:01 (00:40),Cloak and Dagger Games,Cloak and Dagger Games
217,A Golden Wake,A-Golden-Wake,9-Oct-14,$9.99,33% (70%/68%),"20,000?..?50,000",00:00 (00:00),Grundislav Games,Wadjet Eye Games
141,A Story About My Uncle,A-Story-About-My-Uncle,28-May-14,$12.99,84% (92%/73%),"500,000?..?1,000,000",00:46 (01:16),Gone North Games,Coffee Stain Publishing
108,A Vampyre Story,A-Vampyre-Story,15-Jul-14,$19.99,18% (59%/75%),"0?..?20,000",00:00 (00:00),Autumn Moon,Strategy First
965,A Wizard's Lizard,A-Wizards-Lizard,16-Jun-14,$9.99,28% (67%),"50,000?..?100,000",00:00 (00:00),Lost Decade Games,Lost Decade Games
1454,A.I.M.2 Clan Wars,aim-2-clan-wars,22-May-14,$2.99,66% (86%),"20,000?..?50,000",00:22 (00:07),SkyRiver Studios,1C Entertainment
1675,A.R.E.S. Extinction Agenda EX,ARES-Extinction-Agenda-EX,3-Oct-14,$9.99,41% (75%),"0?..?20,000",00:00 (00:00),Extend Studio,ORiGO GAMES
1451,Abalone,Abalone,23-Apr-14,$6.99,16% (56%),"0?..?20,000",00:45 (00:29),Games Up,Asmodee Digital
751,"About Love, Hate and the other ones",about-love-hate-and-the-other-ones,12-Dec-14,$6.99,80% (91%),"50,000?..?100,000",00:00 (00:00),Black Pants Studio,Black Pants Studio
197,Abyss Odyssey,Abyss-Odyssey,15-Jul-14,$14.99,31% (69%/69%),"200,000?..?500,000",03:05 (02:03),ACE Team,ATLUS USA
583,Abyss: The Wraiths of Eden,Abyss-The-Wraiths-of-Eden,3-Apr-14,$9.99,71% (88%),"100,000?..?200,000",01:20 (00:53),Artifex Mundi,Artifex Mundi
809,Acceleration of SUGURI X-Edition HD,acceleration-of-suguri-x-edition,1-Jul-14,$5.99,68% (87%),"20,000?..?50,000",00:00 (00:00),Orange_Juice,"Rockin Android, Rockin' Android"
1569,ACE - Arena: Cyber Evolution,arena-cyber-evolution,18-Aug-14,N/A,N/A (N/A),"200,000?..?500,000",01:58 (00:39),Spearhead Games,Spearhead Games
625,Aces Wild: Manic Brawling Action!,Aces-Wild-Manic-Brawling-Action!,31-Jan-14,$9.99,58% (83%),"50,000?..?100,000",00:00 (00:00),"Culture Attack Studio, Tyler Doak",Culture Attack Studio
934,Across the Rhine,Across-the-Rhine,6-Nov-14,$6.99,N/A (N/A),"0?..?20,000",00:00 (00:00),"MicroProse Software, Inc","Retroism, Nightdive Studios"
83,Actual Sunlight,Actual-Sunlight,3-Apr-14,$4.99,45% (77%/77%),"0?..?20,000",00:00 (00:00),WZOGI,WZOGI
789,Advanced Tactics Gold,Advanced-Tactics-Gold,15-Aug-14,$29.99,58% (83%),"0?..?20,000",00:00 (00:00),VR Designs,Slitherine Ltd.
422,Adventure Chronicles: The Search For Lost Treasure,Adventure-Chronicles-The-Search-For-Lost-Treasure,29-Apr-14,$4.99,17% (58%),"20,000?..?50,000",00:00 (00:00),Gogii,Strategy First
818,Adventure Time: Finn and Jake's Epic Quest,adventure-time-finn-and-jakes-epic-quest,11-Apr-14,$9.99,41% (75%),"20,000?..?50,000",00:00 (00:00),NGD Studios,Cartoon Network Games
1063,Adventurer Manager,Adventurer-Manager,4-Dec-14,$4.99,19% (60%),"50,000?..?100,000",00:00 (00:00),Vigilant Addiction Studios,"BBEW BBEW, LLC"
915,Aeon Command,Aeon-Command,3-Jul-14,$2.99,47% (78%),"20,000?..?50,000",00:00 (00:00),"Bat Country Games, LLC","Bat Country Games, LLC"
1546,aerofly RC 7,aerofly-RC-7,6-Nov-14,$39.99,33% (70%),"0?..?20,000",00:00 (00:00),IPACS,IPACS
351,Agarest: Generations of War,Agarest-Generations-of-War,4-Feb-14,$14.99,38% (73%/45%),"100,000?..?200,000",00:00 (00:00),Idea Factory,Ghostlight LTD
443,Agarest: Generations of War Zero,Agarest-Generations-of-War-Zero,17-Apr-14,$19.99,39% (74%),"50,000?..?100,000",00:00 (00:00),Idea Factory,Ghostlight LTD
249,Age of Mythology: Extended Edition,Age-of-Mythology-Extended-Edition,8-May-14,$29.99,63% (85%/66%),"1,000,000?..?2,000,000",04:20 (03:14),"SkyBox Labs, Ensemble Studios",Microsoft Studios
55,Age of Wonders III,Age-of-Wonders-III,31-Mar-14,$29.99,49% (79%/80%),"500,000?..?1,000,000",02:57 (01:19),Triumph Studios,Paradox Interactive
1270,Aggression: Europe Under Fire,Aggression-Europe-Under-Fire,9-Apr-14,$9.99,12% (51%),"0?..?20,000",00:00 (00:00),Lesta Studio,Buka Entertainment
1147,Airline Tycoon Deluxe,Airline-Tycoon-Deluxe,14-Nov-14,$9.99,33% (70%),"20,000?..?50,000",00:00 (00:00),Spellbound AG,"HandyGames, Black Forest Games"
385,Airship Dragoon,Airship-Dragoon,26-Aug-14,$19.99,N/A (N/A),"0?..?20,000",00:00 (00:00),YorkshireRifles,YorkshireRifles
1362,Akane the Kunoichi,Akane-the-Kunoichi,2-May-14,$2.99,18% (59%),"50,000?..?100,000",00:54 (00:18),Haruneko Entertainment,Haruneko Entertainment
338,Akaneiro: Demon Hunters,Akaneiro-Demon-Hunters,25-Nov-14,Free,5% (35%/53%),"50,000?..?100,000",00:00 (00:00),Spicy Horse,Spicy Horse
90,Al Emmo and the Lost Dutchman's Mine,al-emmo-and-the-lost-dutchmans-mine,9-May-14,$9.99,25% (65%/77%),"0?..?20,000",00:00 (00:00),Himalaya Studios,Himalaya Studios
524,Alcatraz Builder,Alcatraz-Builder,24-Oct-14,$4.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Little World Studio,Games For All
523,Alchemy Mysteries: Prague Legends,Alchemy-Mysteries-Prague-Legends,22-Dec-14,$1.99,45% (77%),"100,000?..?200,000",01:05 (00:21),Jetdogs Studios,Jetdogs Studios
947,Alea Jacta Est,Alea-Jacta-Est,4-Nov-14,$24.99,30% (68%),"0?..?20,000",00:00 (00:00),Ageod,Slitherine Ltd.
1105,Alien Carnage / Halloween Harry,alien-carnage,5-May-14,N/A,N/A (N/A),"20,000?..?50,000",00:00 (00:00),"Interactive Binary Illusions, SubZero Software",3D Realms (Apogee Software)
44,Alien: Isolation,Alien-Isolation,6-Oct-14,$39.99,80% (91%/81%),"1,000,000?..?2,000,000",00:30 (00:21),"Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
1071,ALLTYNEX Second,ALLTYNEX-Second,11-Dec-14,$7.99,66% (86%),"20,000?..?50,000",00:00 (00:00),SITER SKAIN,Nyu Media
1243,Alpha Kimori 1,alpha-kimori-great-doubt---episode-one,17-Mar-14,$9.99,34% (71%),"50,000?..?100,000",00:05 (00:01),Sherman3D,Sherman3D
1382,Alpha Zylon,Alpha-Zylon,15-Jul-14,$4.99,23% (63%),"0?..?20,000",00:00 (00:00),Team 6 Studios,Strategy First
409,Altitude0: Lower & Faster,Altitude0-Lower-Faster,14-Sep,$18.99,33% (70%),"0?..?20,000",00:00 (00:00),Gugila,Gugila
704,Always Remember Me,Always-Remember-Me,18-Apr-14,$17.99,16% (56%),"0?..?20,000",00:00 (00:00),Winter Wolves,Winter Wolves
131,Always Sometimes Monsters,Always-Sometimes-Monsters,21-May-14,$9.99,51% (80%/73%),"200,000?..?500,000",00:00 (00:00),Vagabond Dog,Devolver Digital
954,Amazing Frog?,Amazing-Frog?,21-Nov-14,$15.99,66% (86%),"100,000?..?200,000",00:10 (00:03),Fayju,Fayju
1424,Amazing Princess Sarah,Amazing-Princess-Sarah,18-Aug-14,$4.99,27% (66%),"0?..?20,000",00:00 (00:00),Haruneko Entertainment,Haruneko Entertainment
551,Ame no Marginal -Rain Marginal-,Ame-no-Marginal--Rain-Marginal-,30-Dec-14,$12.99,84% (92%),"50,000?..?100,000",00:00 (00:00),stage-nana,Sekai Project
1058,A-Men,A-Men,24-Jan-14,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Bloober Team SA,Bloober Team SA
1004,Amerzone: The Explorer's Legacy,Amerzone-The-Explorers-Legacy,22-Aug-14,$4.99,28% (67%),"50,000?..?100,000",00:00 (00:00),Microids,Microids
245,Among the Sleep - Enhanced Edition,among-the-sleep,29-May-14,$16.99,66% (86%/66%),"200,000?..?500,000",00:56 (01:13),Krillbite Studio,Krillbite Studio
1372,Amphora,Amphora,12-Nov-14,$13.99,45% (77%),"0?..?20,000",00:00 (00:00),Moondrop,Moondrop
767,Ampu-Tea,Ampu-Tea,30-May-14,$4.99,30% (68%),"200,000?..?500,000",00:34 (00:22),ProjectorGames,KISS ltd
830,Anarchy Arcade,Anarchy-Arcade,3-Sep-14,Free,31% (69%),"500,000?..?1,000,000",00:00 (00:00),Elijah Newman-Gomez,Elijah Newman-Gomez
983,Ancient Space,Ancient-Space,23-Sep-14,$19.99,6% (40%),"20,000?..?50,000",00:00 (00:00),CreativeForge Games,Paradox Interactive
1228,Angels of Fasaria: Version 2.0,Angels-of-Fasaria-Version-20,9-Dec-14,$4.99,N/A (N/A),"100,000?..?200,000",02:43 (01:45),Fasaria Works,NSE CIRCUIT
1142,Angvik,Angvik,24-Feb-14,$2.99,74% (89%),"100,000?..?200,000",00:18 (00:15),Alastair John Jack,Alastair John Jack
735,Anmynor Puzzles,Anmynor-Puzzles,20-Mar-14,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Pyxel Arts,Strategy First
189,Anomaly Defenders,Anomaly-Defenders,29-May-14,$9.99,45% (77%/70%),"50,000?..?100,000",01:41 (01:07),11 bit studios,11 bit studios
802,Another Perspective,Another-Perspective,8-Aug-14,$5.99,80% (91%),"50,000?..?100,000",00:00 (00:00),ShaunJS,"ShaunJS, Digerati Distribution"
662,Another Star,Another-Star,20-Mar-14,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Vision Riders Entertainment,Vision Riders Entertainment
893,Antisquad,Antisquad,22-May-14,$5.99,18% (59%),"50,000?..?100,000",00:01 (00:00),InsGames,INSGAMES LIMITED
656,Appointment With FEAR,Appointment-With-FEAR,26-Aug-14,$4.99,23% (63%),"0?..?20,000",00:00 (00:00),Tin Man Games,Tin Man Games
392,Aqua Kitty - Milk Mine Defender,aqua-kitty-milk-mine-defender,3-Feb-14,$6.99,71% (88%),"20,000?..?50,000",00:00 (00:00),"TIKIPOD, Electric Cafe",TIKIPOD
1178,Arcadecraft,Arcadecraft,22-May-14,$9.99,16% (56%),"0?..?20,000",00:00 (00:00),Firebase Industries Ltd.,Firebase Industries Ltd.
1515,Arcane Worlds,Arcane-Worlds,28-Jan-14,$9.99,21% (61%),"20,000?..?50,000",02:13 (00:44),Ranmantaru Games,Ranmantaru Games
1365,ArcheBlade,ArcheBlade,25-Apr-14,Free,38% (73%),"2,000,000?..?5,000,000",00:08 (00:08),CodeBrush Games,Codebrush Games
1567,Arctic Adventure,Arctic-Adventure,5-May-14,N/A,N/A (N/A),"50,000?..?100,000",00:00 (00:00),3D Realms (Apogee Software),3D Realms (Apogee Software)
1552,Arctico,Arctico,24-Nov-14,$9.99,36% (72%),"20,000?..?50,000",00:49 (00:16),"Claudio Norori, Antonio Vargas, Martin Norori",
1549,Aritana and the Harpy's Feather,Aritana-the-Harpys-Feather,15-Aug-14,$9.99,60% (84%),"0?..?20,000",00:00 (00:00),Duaik Entretenimento,Duaik Entretenimento
1002,AR-K,AR-K,21-Jul-14,$7.99,16% (56%),"50,000?..?100,000",00:00 (00:00),GATO STUDIO,GATO STUDIO
1088,Ascendant,Ascendant,13-May-14,$9.99,53% (81%),"20,000?..?50,000",00:00 (00:00),Hapa Games,Hapa Games
740,Ascension to the Throne,Ascension-to-the-Throne,23-Apr-14,$2.99,71% (88%),"20,000?..?50,000",00:00 (00:00),DVS,1C Entertainment
594,Ascension: Deckbuilding Game,Ascension-Deckbuilding-Game,16-Dec-14,$9.99,49% (79%),"20,000?..?50,000",00:00 (00:00),"Playdek, Inc.",Asmodee Digital
1003,Assassin's Creed Liberation HD,Assassins-Creed-Liberation-HD,15-Jan-14,$19.99,16% (56%),"100,000?..?200,000",00:02 (00:00),Ubisoft Sofia,Ubisoft
1370,Assassin's Creed Freedom Cry,Assassins-Creed-Freedom-Cry,25-Feb-14,$14.99,39% (74%),"100,000?..?200,000",00:07 (00:02),Ubisoft Montreal,Ubisoft
1657,Assassin's Creed Unity,Assassins-Creed-Unity,11-Nov-14,$29.99,18% (59%),"500,000?..?1,000,000",03:59 (02:03),Ubisoft,Ubisoft
14,Assetto Corsa,Assetto-Corsa,19-Dec-14,$19.99,66% (86%/85%),"500,000?..?1,000,000",04:56 (01:49),Kunos Simulazioni,Kunos Simulazioni
10,Astebreed: Definitive Edition,astebreed,30-May-14,$19.99,74% (89%/86%),"100,000?..?200,000",00:00 (00:00),Edelweiss,AGM PLAYISM
515,Asteria,Asteria,3-Jul-14,$4.99,13% (53%),"20,000?..?50,000",02:56 (00:58),Legend Studio,Legend Studio
1194,Atajrubah,Atajrubah,27-Nov-14,N/A,N/A (N/A),"20,000?..?50,000",00:00 (00:00),NexyMedia,NexyMedia
1691,Aura Kingdom,Aura-Kingdom,14-Jul,Free,49% (79%),"2,000,000?..?5,000,000",07:34 (00:09),X-Legend,Aeria Games
486,AutoTileGen,AutoTileGen,9-Jul-14,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Pixelatto,Pixelatto
1158,Autumn,Autumn,23-Sep-14,$2.99,11% (50%),"50,000?..?100,000",00:00 (00:00),Nuno Donato,Nuno Donato
1301,Aveyond 3-1: Lord of Twilight,Aveyond-3-1-Lord-of-Twilight,7-Feb-14,$9.99,34% (71%),"50,000?..?100,000",00:00 (00:00),"Amaranth Games, LLC",Degica
1089,Aveyond 3-2: Gates of Night,Aveyond-3-2-Gates-of-Night,18-Apr-14,$9.99,47% (78%),"100,000?..?200,000",00:00 (00:00),"Amaranth Games, LLC",Degica
681,Aviator - Bush Pilot,Aviator---Bush-Pilot,4-Nov-14,$9.99,1% (9%),"0?..?20,000",00:00 (00:00),Netmin Games,United Independent Entertainment GmbH
1519,Avoid - Sensory Overload,Avoid---Sensory-Overload,8-Apr-14,$4.99,68% (87%),"20,000?..?50,000",00:00 (00:00),48h Studio,Strategy First
37,B-17 Flying Fortress: The Mighty 8th,B-17-Flying-Fortress-The-Mighty-8th,30-Oct-14,$6.99,N/A (N/A/82%),"20,000?..?50,000",00:00 (00:00),Wayward Design,"Retroism, Nightdive Studios"
844,Back to Bed,Back-to-Bed,6-Aug-14,$5.99,43% (76%),"500,000?..?1,000,000",01:06 (00:56),Bedtime Digital Games,Bedtime Digital Games
930,Back To Life 2,Back-To-Life-2,6-May-14,$4.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Carlo D'Apostoli Projects,Strategy First
1359,Back To Life 3,Back-To-Life-3,16-Dec-14,$4.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Carlo D'Apostoli Projects,Strategy First
121,Bad Mojo Redux,Bad-Mojo-Redux,3-Jul-14,$5.99,74% (89%/74%),"20,000?..?50,000",00:00 (00:00),Pulse Entertainment,Nightdive Studios
846,Baezult,Baezult,3-Oct-14,Free,36% (72%),"20,000?..?50,000",00:00 (00:00),Atapki,Atapki
1308,Ballad of Solar,Ballad-of-Solar,22-May-14,$6.99,71% (88%),"0?..?20,000",00:00 (00:00),Alawar,Buka Entertainment
897,Banished,Banished,18-Feb-14,$19.99,74% (89%),"1,000,000?..?2,000,000",05:31 (03:46),Shining Rock Software LLC,Shining Rock Software LLC
720,Bardbarian,Bardbarian,1-Apr-14,$7.99,77% (90%),"100,000?..?200,000",00:00 (00:00),TreeFortress Games,TreeFortress Games
529,Baron Wittard: Nemesis of Ragnarok,Baron-Wittard-Nemesis-of-Ragnarok,24-Apr-14,$7.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Wax Lyrical Games,Wax Lyrical Games
730,Baseball Mogul 2015,Baseball-Mogul-2015,3-Apr-14,$4.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),"Sports Mogul, Inc.","Sports Mogul, Inc."
808,Basketball Pro Management 2014,Basketball-Pro-Management-2014,6-Jan-14,N/A,N/A (N/A),"0?..?20,000",00:00 (00:00),Umix,"Plug In Digital, Cyanide Studio"
194,Basketball Pro Management 2015,Basketball-Pro-Management-2015,19-Nov-14,$9.99,2% (18%/69%),"0?..?20,000",00:00 (00:00),"Umix Studios, Cyanide Studio",Bigben Interactive
1332,BasketBelle,BasketBelle,9-Dec-14,$4.99,58% (83%),"0?..?20,000",00:00 (00:00),Studio Bean,Studio Bean
614,Batman: Arkham Origins Blackgate - Deluxe Edition,Batman-Arkham-Origins-Blackgate---Deluxe-Edition,1-Apr-14,$19.99,6% (40%),"500,000?..?1,000,000",01:50 (01:13),Armature Studio,WB Games
1062,Battle Academy,Battle-Academy,16-Apr-14,$14.99,63% (85%),"20,000?..?50,000",00:00 (00:00),Slitherine Ltd.,Slitherine Ltd.
79,Battle Academy 2: Eastern Front,Battle-Academy-2-Eastern-Front,12-Sep-14,$39.99,77% (90%/78%),"0?..?20,000",00:00 (00:00),Slitherine Ltd.,Slitherine Ltd.
1648,Battle Fleet 2,Battle-Fleet-2,20-Nov-14,$14.99,38% (73%),"20,000?..?50,000",00:00 (00:00),Mythical City Games,Mythical City Games
1437,Battle Group 2,Battle-Group-2,13-Jun-14,$7.99,58% (83%),"50,000?..?100,000",00:00 (00:00),Bane Games,Merge Games
553,Battle Islands,Battle-Islands,6-Aug-14,Free,43% (76%),"500,000?..?1,000,000",00:22 (00:07),DR Studios,505 Games
1578,Battle Mages,Battle-Mages,30-May-14,$3.99,23% (63%),"20,000?..?50,000",00:00 (00:00),Targem Games,Buka Entertainment
1591,Battle Mages: Sign of Darkness,Battle-Mages-Sign-of-Darkness,24-Jul-14,$4.99,43% (76%),"0?..?20,000",05:27 (01:49),Targem Games,Buka Entertainment
333,Battle Of Europe,Battle-Of-Europe,18-Sep-14,$9.99,N/A (N/A/54%),"0?..?20,000",00:00 (00:00),Maus Software,Strategy First
12,BattleBlock Theater,BattleBlock-Theater,15-May-14,$14.99,97% (97%/85%),"2,000,000?..?5,000,000",04:40 (01:00),The Behemoth,The Behemoth
1460,Battlegrounds of Eldhelm,Battlegrounds-of-Eldhelm,22-Oct-14,Free,31% (69%),"100,000?..?200,000",00:00 (00:00),Essence Ltd.,Essence Ltd.
1236,Battlepaths,Battlepaths,30-May-14,$3.99,41% (75%),"100,000?..?200,000",00:00 (00:00),Key17 Games,Digerati Distribution
1050,Battlepillars Gold Edition,battlepillars,28-Apr-14,$4.99,74% (89%),"20,000?..?50,000",00:00 (00:00),Hitcents,Hitcents
240,Battleplan: American Civil War,Battleplan-American-Civil-War,4-Jul-14,$9.99,17% (58%/66%),"100,000?..?200,000",00:00 (00:00),The Mustard Corporation,"KISS ltd, Osprey Publishing"
494,Beach Resort Simulator,Beach-Resort-Simulator,28-Nov-14,$9.99,N/A (N/A),"0?..?20,000",00:02 (00:00),Earthworm Games,Ravenscourt
328,BeatBlasters III,BeatBlasters-III,21-Feb-14,$9.99,N/A (N/A/56%),"20,000?..?50,000",00:00 (00:00),Chainsawesome Games,Chainsawesome Games
388,Bet On Soldier,bet-on-soldier-blood-sport,5-Dec-14,$7.99,51% (80%),"20,000?..?50,000",00:00 (00:00),Kylotonn,Microids
782,Betrayer,Betrayer,24-Mar-14,$4.99,53% (81%),"200,000?..?500,000",01:27 (00:58),Blackpowder Games,Blackpowder Games
451,Beware Planet Earth,beware-planet-earth!,11-Apr-14,$9.99,41% (75%),"50,000?..?100,000",00:00 (00:00),Lightmare Studio,BANDAI NAMCO Entertainement
1131,Beyond Gravity,Beyond-Gravity,23-Sep-14,$1.99,71% (88%),"20,000?..?50,000",00:00 (00:00),Qwiboo Ltd,Qwiboo Ltd
1557,Beyond Space Remastered Edition,beyond-space,18-Jun-14,$4.99,6% (38%),"20,000?..?50,000",00:00 (00:00),Silesia Games Sp. z o.o.,Plug In Digital
1015,Biglands: A Game Made By Kids,Biglands-A-Game-Made-By-Kids,25-Aug-14,$4.99,16% (57%),"0?..?20,000",00:00 (00:00),GammaLateral,GammaLateral
1563,Bik - A Space Adventure,Bik---A-Space-Adventure,14-Oct-14,$4.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Zotnip,Zotnip
1554,Bin Weevils Arty Arcade,Bin-Weevils-Arty-Arcade,5-Dec-14,$5.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Alternative Software Ltd,KISS ltd
1322,Bio Menace,Bio-Menace,5-May-14,N/A,N/A (N/A),"20,000?..?50,000",00:00 (00:00),3D Realms (Apogee Software),3D Realms (Apogee Software)
1082,Bionic Heart,Bionic-Heart,13-Aug-14,$9.99,31% (69%),"0?..?20,000",00:00 (00:00),Winter Wolves,Winter Wolves
1168,Bionic Heart 2,Bionic-Heart-2,22-Sep-14,$14.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Winter Wolves,Winter Wolves
1085,Bird Assassin,Bird-Assassin,27-Aug-14,$1.99,77% (90%),"0?..?20,000",00:00 (00:00),Social Loner Studios,Social Loner Studios
1319,bit Dungeon II,bit-Dungeon-II,15-Dec-14,$3.99,56% (82%),"100,000?..?200,000",00:00 (00:00),KintoGames,KintoGames
777,BIT.TRIP FLUX,BITTRIP-FLUX,5-Jun-14,$9.99,14% (54%),"20,000?..?50,000",00:15 (00:05),Gaijin Games,Gaijin Games
1184,Black Ice,Black-Ice,9-Jul-14,$14.99,90% (94%),"0?..?20,000",00:01 (00:00),Super Duper Garrett Cooper,Super Duper Game Company
302,Black Mirror I,black-mirror,17-Jun-14,$9.99,53% (81%/60%),"100,000?..?200,000",02:13 (00:44),"Future Games, Unknown Identity",THQ Nordic
165,Black Mirror II,Black-Mirror-II,2-Apr-14,$9.99,71% (88%/71%),"50,000?..?100,000",00:00 (00:00),Cranberry Production,THQ Nordic
109,Black Mirror III,Black-Mirror-III,3-Apr-14,$9.99,74% (89%/75%),"50,000?..?100,000",00:31 (00:10),Cranberry Production,THQ Nordic
1671,Black Rainbow,Black-Rainbow,30-Apr-14,$6.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Cateia Games,Libredia Entertainment
990,Black Viper: Sophia's Fate,Blackbay-Asylum,16-Oct-14,$9.99,1% (8%),"0?..?20,000",00:00 (00:00),TiconBlu,Microids Indie
1117,Blackbay Asylum,Black-Viper-Sophias-Fate,1-Aug-14,$19.99,28% (67%),"200,000?..?500,000",00:00 (00:00),TAD Productions AB,KISS ltd
222,Blackguards,Blackguards,22-Jan-14,$9.99,23% (63%/68%),"500,000?..?1,000,000",01:37 (01:48),Daedalic Entertainment,Daedalic Entertainment
1383,BlackShadows,BlackShadows,1-Jul-14,$2.99,2% (20%),"50,000?..?100,000",00:00 (00:00),IceGames Studios,Headup Games
1483,BlackSoul: Extended Edition,blacksoul,26-Feb-14,$6.99,5% (36%),"20,000?..?50,000",00:00 (00:00),XeniosVision,XeniosVision
1367,Blackwell Epiphany,Blackwell-Epiphany,24-Apr-14,$9.99,97% (97%),"20,000?..?50,000",00:00 (00:00),Wadjet Eye Games,Wadjet Eye Games
342,Blade Kitten,Blade-Kitten,22-May-14,$2.99,58% (83%/52%),"50,000?..?100,000",01:31 (00:30),Krome Studios,Krome Studios
