X.,Game,Url,Release.date,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
977,Rambo The Video Game: Baker Team,Rambo-The-Video-Game-Baker-Team,21-Feb-14,N/A,14% (54%),"0?..?20,000",00:00 (00:00),Teyon,Reef Entertainment
320,Randal's Monday,Randals-Monday,12-Nov-14,$19.99,41% (75%/57%),"100,000?..?200,000",00:00 (00:00),Nexus Game Studios,Daedalic Entertainment
1037,Raptor: Call of the Shadows (1994 Classic Edition),raptor-call-of-the-shadows,5-May-14,$4.99,90% (94%),"50,000?..?100,000",00:00 (00:00),Cygnus Studios,Apogee Software
254,RC Cars,RC-Cars,23-Apr-14,$2.99,43% (76%/65%),"0?..?20,000",00:08 (00:05),Creat Studio,1C Entertainment
1405,Real Boxing,Real-Boxing,2-Jul-14,$4.99,25% (65%),"100,000?..?200,000",00:00 (00:00),Vivid Games S.A.,Vivid Games S.A.
1440,Real Horror Stories Ultimate Edition,real-horror-stories,1-Apr-14,$1.99,6% (38%),"50,000?..?100,000",00:00 (00:00),GameORE,Strategy First
1438,Realms of Arkania 1 - Blade of Destiny Classic,realms-of-arkania-blade-of-destiny-revised,10-Jan-14,$3.99,31% (69%),"20,000?..?50,000",00:00 (00:00),attic Entertainment Software GmbH,United Independent Entertainment GmbH
888,Realms of Arkania 2 - Star Trail Classic,realms-of-arkania-blade-of-destiny-revised,10-Jan-14,$3.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),attic Entertainment Software GmbH,United Independent Entertainment GmbH
563,Realms of Arkania 3 - Shadows over Riva Classic,realms-of-arkania-star-trail,10-Jan-14,$3.99,N/A (N/A),"20,000?..?50,000",02:01 (00:40),attic Entertainment Software GmbH,United Independent Entertainment GmbH
407,Realms of Chaos,Realms-of-Chaos,5-May-14,$4.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),3D Realms (Apogee Software),3D Realms (Apogee Software)
1457,Realms of the Haunting,Realms-of-the-Haunting,24-Apr-14,$2.99,90% (94%),"200,000?..?500,000",00:00 (00:00),Gremlin Interactive,Funbox Media Ltd
452,realMyst: Masterpiece Edition,realMyst,5-Feb-14,$17.99,58% (83%),"100,000?..?200,000",03:11 (01:03),Cyan Worlds,Cyan Worlds
1180,Reaper - Tale of a Pale Swordsman,Reaper---Tale-of-a-Pale-Swordsman,7-Feb-14,$4.99,39% (74%),"50,000?..?100,000",00:00 (00:00),Hexage,Hexage
413,Recovery Search & Rescue Simulation,Recovery-Search-Rescue-Simulation,9-Jan-14,$4.99,1% (8%),"20,000?..?50,000",00:00 (00:00),Excalibur Publishing,Excalibur Publishing
592,Recruits,Recruits,31-Jul-14,$9.99,2% (24%),"0?..?20,000",00:00 (00:00),"QUByte Interactive, Commotion Games Pty Ltd",Commotion Games Pty Ltd
1051,RECYCLE,RECYCLE,3-Sep-14,$9.99,5% (37%),"20,000?..?50,000",00:00 (00:00),rondomedia GmbH,rondomedia GmbH
1302,Red Johnson's Chronicles - 1+2 - Steam Special Edition,Red-Johnsons-Chronicles---1+2---Steam-Special-Edition,5-Sep-14,$9.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),Lexis Numérique,Microids
1020,Redline,Redline,23-Oct-14,$6.99,25% (65%),"20,000?..?50,000",00:00 (00:00),"Accolade, Inc.","Retroism, Nightdive Studios"
1695,Redneck Racers,Redneck-Racers,28-Apr-14,$1.99,6% (39%),"0?..?20,000",00:00 (00:00),"Play, Silden",Libredia
291,Redux: Dark Matters,Redux-Dark-Matters,12-Dec-14,$12.99,N/A (N/A/61%),"0?..?20,000",00:00 (00:00),KTX Software,Signo & Arte
473,RefleX,RefleX,27-Mar-14,$7.99,84% (92%),"20,000?..?50,000",00:06 (00:02),SITER SKAIN,Nyu Media
966,Reflex Arena,Reflex-Arena,4-Nov-14,$9.99,63% (85%),"50,000?..?100,000",00:24 (00:11),Turbo Pixel Studios,Turbo Pixel Studios
1324,ReignMaker,ReignMaker,16-Apr-14,$14.99,38% (73%),"50,000?..?100,000",02:18 (01:31),Frogdice,Frogdice
487,Reprisal Universe,Reprisal-Universe,15-Sep-14,$6.99,47% (78%),"20,000?..?50,000",00:00 (00:00),electrolyte,electrolyte
63,resident evil 4 / biohazard 4,resident-evil-4,27-Feb-14,$19.99,58% (83%/79%),"500,000?..?1,000,000",01:56 (00:52),Capcom,Capcom
1263,Residue: Final Cut,Residue,1-Aug-14,$1.99,84% (92%),"20,000?..?50,000",00:00 (00:00),The Working Parts,The Working Parts
1052,Retro City Rampage DX,Retrobooster,11-Nov-14,$14.99,77% (90%),"200,000?..?500,000",00:01 (00:00),"Vblank Entertainment, Inc.","Vblank Entertainment, Inc."
863,Retro Game Crunch,Retro-City-Rampage-DX,19-May-14,$9.99,58% (83%),"50,000?..?100,000",00:29 (00:09),"Rusty Moyher, Shaun Inman, Matt Grimm",Retro Game Crunch
1439,Retrobooster,Retro-Game-Crunch,11-Jul-14,$14.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Really Slick,Really Slick
543,Return to Mysterious Island,Return-to-Mysterious-Island,6-Mar-14,$7.99,43% (76%),"50,000?..?100,000",00:00 (00:00),Kheops Studio,Microids
1390,Return to Mysterious Island 2,return-to-mysterious-island-2-minas-fate,6-Mar-14,$7.99,30% (68%),"20,000?..?50,000",00:00 (00:00),Kheops Studio,Microids
916,Reversion - The Escape (1st Chapter),reversion---the-escape,10-Jun-14,$0.99,41% (75%),"200,000?..?500,000",00:00 (00:00),3f Interactive,3f Interactive
1611,Reversion - The Meeting (2nd Chapter),reversion---the-meeting,8-Jul-14,$4.99,31% (69%),"50,000?..?100,000",00:00 (00:00),3f Interactive,3f Interactive
1572,Revolution Ace,Revolution-Ace,19-Mar-14,$4.99,36% (72%),"500,000?..?1,000,000",05:09 (01:43),"Laser Guided Games, LLC","Laser Guided Games, LLC"
1610,REVOLVER360 RE:ACTOR,REVOLVER360-REACTOR,24-Oct-14,$9.99,93% (95%),"50,000?..?100,000",00:00 (00:00),Cross Eaglet,AGM PLAYISM
1521,Rex Nebular and the Cosmic Gender Bender,Rex-Nebular-the-Cosmic-Gender-Bender,17-Oct-14,$6.99,N/A (N/A),"0?..?20,000",00:00 (00:00),"MicroProse Software, Inc.","Retroism, Nightdive Studios"
935,Rex Rocket,Rex-Rocket,5-Aug-14,$4.99,38% (73%),"20,000?..?50,000",00:00 (00:00),"Castle Pixel, LLC.","Castle Pixel, LLC."
233,Rhiannon: Curse of the Four Branches,Rhiannon-Curse-of-the-Four-Branches,15-May-14,$4.99,38% (73%/67%),"50,000?..?100,000",00:00 (00:00),Arberth Studios,Meridian4
1441,Rhythm Destruction,Rhythm-Destruction,16-Jun-14,$4.99,30% (68%),"50,000?..?100,000",00:00 (00:00),Curious Panda Games,Curious Panda Games
187,Richard & Alice,Richard-Alice,5-Jun-14,$5.99,39% (74%/70%),"50,000?..?100,000",00:00 (00:00),Owl Cave,Owl Cave
853,Riding Star - Horse Championship!,Riding-Star---Horse-Championship!,27-Mar-14,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Sproing,familyplay
1475,Rift's Cave,Rifts-Cave,1-Dec-14,$4.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Frost Earth,Frost Earth
842,Rime Berta,Rime-Berta,16-Dec-14,$14.99,33% (70%),"20,000?..?50,000",00:00 (00:00),NEXT-SOFT+,AGM PLAYISM
447,Riptide GP2,Riptide-GP2,7-Mar-14,$6.99,74% (89%),"20,000?..?50,000",00:23 (00:07),Vector Unit,Vector Unit
3,Rise of Nations: Extended Edition,risen-3-titan-lords,12-Jun-14,$19.99,80% (91%/89%),"500,000?..?1,000,000",02:12 (01:37),"SkyBox Labs, Big Huge Games",Microsoft Studios
463,Rise of Prussia Gold,Rise-of-Nations-Extended-Edition,7-May-14,$19.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Ageod,Slitherine Ltd.
980,Rise of the Triad: Dark War,Rise-of-Prussia-Gold,5-May-14,$6.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),3D Realms (Apogee Software),Apogee Software
1435,Rise to Ruins,Rise-of-the-Triad-Dark-War,27-Oct-14,$4.99,84% (92%),"100,000?..?200,000",13:41 (28:10),Raymond Doerr,SixtyGig Games
252,Risen 3 - Titan Lords,Rise-to-Ruins,12-Aug-14,$14.99,27% (66%/65%),"200,000?..?500,000",00:08 (00:02),Piranha Bytes,Deep Silver
1556,Rising Angels: Reborn,Rising-Angels-Reborn,12-Sep-14,Free,51% (80%),"100,000?..?200,000",00:00 (00:00),IDHAS Studios,Sekai Project
1220,Rising World,Rising-World,3-Dec-14,$14.99,51% (80%),"100,000?..?200,000",08:17 (05:31),JIW-Games,
380,Road Madness,Road-Madness,28-Apr-14,N/A,3% (27%),"200,000?..?500,000",04:43 (01:34),Faton,Faton
107,Road Not Taken,Road-Not-Taken,5-Aug-14,$14.99,58% (83%/75%),"20,000?..?50,000",00:00 (00:00),Spry Fox LLC,Spry Fox LLC
770,Road Works,Roadside-Assistance-Simulator,15-Feb-14,$7.99,N/A (N/A),"0?..?20,000",00:00 (00:00),TaxSoft,TaxSoft
606,Roadside Assistance Simulator,Road-Works,25-Sep-14,$9.99,6% (39%),"0?..?20,000",00:00 (00:00),Fragment Production Ltd,rondomedia GmbH
1387,Roaming Fortress,Roaming-Fortress,20-Nov-14,$10.99,N/A (N/A),"0?..?20,000",00:00 (00:00),YETi CGI,Brisk Mobile Inc
850,Robin's Island Adventure,robins-island-adventure,17-Sep-14,$4.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),Shaman Games Studio,"1C Entertainment, Shaman Games Studio"
559,Robin's Quest,Robins-Quest,17-Apr-14,$4.99,60% (84%),"0?..?20,000",00:00 (00:00),Gogii Games,Strategy First
595,Robot Rescue Revolution,Robotex,11-Jul-14,$4.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),Teyon,Teyon
1095,Robotex,Robot-Rescue-Revolution,19-Nov-14,$4.99,3% (30%),"100,000?..?200,000",01:41 (00:33),YFYX GAMES,YFYX GAMES
446,Robowars,Robowars,24-Oct-14,$14.99,1% (8%),"100,000?..?200,000",00:51 (00:34),N-Game Studios,"Lace Games, KISS ltd"
956,Rock Boshers DX: Directors Cut,Rock-Boshers-DX-Directors-Cut,10-Dec-14,$6.99,N/A (N/A),"0?..?20,000",00:00 (00:00),TIKIPOD,TIKIPOD
862,Rock Zombie,Rockos-Quest,20-Nov-14,$6.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Quaternion Studio,EnjoyUp Games S.L.
356,Rocko's Quest,Rock-Zombie,24-Apr-14,$4.99,N/A (N/A/41%),"0?..?20,000",00:00 (00:00),Revistronic,Strategy First
978,Rodina,Rodina,28-Jul-14,$14.99,87% (93%),"20,000?..?50,000",00:00 (00:00),Elliptic Games,Elliptic Games
1479,Rogue Shooter: The FPS Roguelike,Rogue-Shooter-The-FPS-Roguelike,24-Apr-14,$4.99,43% (76%),"20,000?..?50,000",00:00 (00:00),Hippomancer,Hippomancer
911,Rogue's Tale,Rogues-Tale,28-Mar-14,$4.99,31% (69%),"20,000?..?50,000",00:00 (00:00),Epixx.org,Epixx.org
130,RollerCoaster Tycoon 2: Triple Thrill Pack,rollercoaster-tycoon-2,21-May-14,$9.99,63% (85%/74%),"500,000?..?1,000,000",00:10 (00:03),Chris Sawyer Productions,Atari
542,RollerCoaster Tycoon: Deluxe,RollerCoaster-Tycoon-Deluxe,21-May-14,$5.99,84% (92%),"500,000?..?1,000,000",02:28 (03:20),Chris Sawyer Productions,Atari
207,Rollers of the Realm,Rollers-of-the-Realm,18-Nov-14,$9.99,80% (91%/68%),"100,000?..?200,000",00:52 (00:17),Phantom Compass,ATLUS USA
