Game,CriticRate,CriticNum,UserRate,UserNum
Doorways: Prelude,0,"
3
","
6.3
",33
Dota 2,90,"
33
","
6.5
",11026
Dracula: Love Kills,0,0,0,0
Dragon's Lair,0,0,"
5.6
",5
Dragon's Lair 2: Time Warp,0,0,0,0
Dragon's Prophet,63,"
7
","
5.9
",49
Draw a Stickman: EPIC,0,0,"
7.2
",13
Driver Fusion - The Best Driver & Device Solution,0,0,0,0
Droid Assault,0,"
2
","
8.3
",9
DuckTales: Remastered,66,"
6
","
7.6
",165
Dungeon Hearts,73,"
8
","
6.4
",21
Dungeon-Party,0,0,"
5.8
",5
Dungeons & Dragons: Chronicles of Mystara,80,"
9
","
6.8
",34
Dust: An Elysian Tail,85,"
7
","
8.5
",486
Dyad,80,"
4
","
7.6
",12
Dysfunctional Systems: Learning to Manage Chaos,0,"
1
","
5.9
",16
Eador. Masters of the Broken World,0,"
1
","
8.8
",31
Eador: Genesis,74,"
19
","
7.2
",213
Earth 2140,0,0,"
5.8
",18
Earth 2150 Trilogy,0,0,"
8.1
",8
Edna & Harvey: The Breakout,56,"
7
","
6.6
",40
Elder Sign: Omens,0,"
1
",0,0
Eldritch,77,"
14
","
6.8
",46
Electronic Super Joy,0,"
3
","
7.3
",51
Element4l,77,"
8
","
7.7
",36
Eleusis,49,"
5
","
6.8
",21
Emergency 2014,0,0,0,0
Enclave,71,"
15
","
7.0
",97
ENSLAVED: Odyssey to the West Premium Edition,70,"
8
","
7.6
",227
Eryi's Action,0,"
2
","
6.0
",11
Escape Goat,0,"
2
","
7.5
",18
Euro Truck Simulator,0,0,"
7.5
",40
Europa Universalis IV,87,"
34
","
8.7
",1095
Evoland,61,"
27
","
6.8
",167
Expeditions: Conquistador,77,"
21
","
8.1
",208
Face Noir,59,"
14
","
6.3
",28
Fallen Enchantress: Legendary Heroes,80,"
18
","
7.7
",158
Far Cry 3 - Blood Dragon,81,"
31
","
8.1
",836
Farming Giant,0,"
1
","
4.6
",5
Farming Simulator 2013 Titanium Edition,0,0,0,0
FATE,80,"
9
","
7.7
",53
Fester Mudd: Curse of the Gold - Episode 1,76,"
5
","
7.7
",21
FEZ,91,"
11
","
6.7
",1098
Fieldrunners 2,73,"
5
","
7.5
",39
Final Exam,66,"
5
","
6.7
",19
FI0L FANTASY VII,0,0,"
9.2
",270
FI0L FANTASY VIII,0,0,"
9.1
",172
FI0L FANTASY XI: Ultimate Collection Seekers Edition,0,0,"
8.2
",5
Finding Teddy,0,"
1
","
6.3
",16
Fist Puncher,73,"
11
","
7.5
",25
Flashback,0,"
1
","
5.0
",46
Flashpoint Campaigns: Red Storm Player's Edition,0,"
1
",0,0
FORCED: Slightly Better Edition,72,"
25
","
7.7
",132
Foul Play,69,"
9
","
5.9
",30
Game Dev Tycoon,68,"
21
","
8.0
",1024
Gas Guzzlers Extreme,73,"
9
","
8.6
",152
Gentlemen!,0,0,0,0
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,84,"
5
","
8.0
",43
Gimbal,0,0,0,0
Go Home Dinosaurs!,0,"
1
","
7.8
",25
God Mode,58,"
16
","
6.8
",132
Gomo,50,"
19
","
4.8
",24
Gone Home,86,"
56
","
5.4
",2093
Goodbye Deponia,80,"
34
","
7.8
",201
Gorky 17,0,0,0,0
Gravi,0,0,"
8.8
",4
Gravity Badgers,0,"
2
","
2.2
",5
GRID 2,80,"
17
","
5.8
",584
Guacamelee! Gold Edition,88,"
22
","
7.3
",238
Guardians of Middle-earth,56,"
12
","
5.9
",108
Guncraft,73,"
6
","
4.3
",73
Gunpoint,83,"
33
","
8.4
",391
Hammerwatch,72,"
5
","
7.5
",105
Happy Pong,0,0,0,0
Hate Plus,0,"
1
","
6.0
",28
Heli Heroes,0,0,"
6.4
",5
Helmet Heroes,0,0,0,0
Hero of the Kingdom,0,0,"
7.3
",29
Hexodius,47,"
7
","
5.7
",11
Highborn,0,"
3
",0,0
Huntsman: The Orphanage(Halloween Edition),0,"
2
","
5.8
",20
"I Have No Mouth, and I Must Scream",0,0,"
7.8
",18
Iesabel,0,"
2
","
5.3
",23
Impire,45,"
28
","
5.4
",148
Incredipede,74,"
7
","
6.9
",24
InFlux,0,"
3
","
6.8
",5
Injustice: Gods Among Us Ultimate Edition,79,"
4
","
7.7
",169
Inquisitor,64,"
5
","
7.9
",89
Intake,0,"
2
","
8.7
",6
Interstellar Marines,0,0,"
7.1
",53
Ironclad Tactics,69,"
12
","
7.2
",40
Ittle Dew,67,"
4
","
8.1
",37
Jack Keane 2 - The Fire Within,52,"
12
","
6.5
",20
Jack Lumber,0,"
1
","
6.0
",12
Jack Orlando: Director's Cut,0,0,0,0
Joe Danger,0,"
3
","
6.8
",11
Joe Danger 2: The Movie,82,"
4
","
7.2
",24
Journey of a Roach,65,"
19
","
6.9
",41
Just Cause 2: Multiplayer Mod,0,0,0,0
Kairo,76,"
6
","
7.8
",53
Kenshi,0,"
2
","
8.2
",32
Kentucky Route Zero,0,0,"
8.4
",30
King Arthur's Gold,81,"
4
","
8.4
",55
King Bounty: Legions,0,0,0,0
Kingdom Wars,0,0,0,0
Kingdoms Rise,0,0,"
3.7
",16
Knights and Merchants,0,0,"
8.7
",36
Knights of Pen and Paper +1 Edition,62,"
9
","
5.8
",79
KnightShift,0,0,"
4.4
",12
Knock-knock,57,"
16
","
8.3
",180
Knytt Underground,0,"
1
","
8.2
",14
La-Mulana,80,"
9
","
7.2
",73
Legend of Dungeon,62,"
13
","
7.5
",56
Legends of Aethereus,41,"
5
","
5.9
",40
LEGO Marvel Super Heroes,78,"
7
","
8.2
",143
Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,56,"
45
","
8.3
",171
Life of a Wizard,0,0,0,0
Lilly Looking Through,71,"
9
","
6.8
",40
LogoMaker 4,0,0,0,0
Long Live The Queen,67,"
5
","
7.8
",95
Lords of Football,52,"
13
","
6.4
",55
LOST PLANET 3,61,"
17
","
6.2
",218
Luxor 2 HD,0,0,"
6.3
",4
Magic 2014 - Duels of the Planeswalkers,77,"
19
","
6.1
",114
Magrunner: Dark Pulse,70,"
31
","
7.5
",65
Marc Ecko's Getting Up: Contents Under Pressure,69,"
21
","
7.7
",59
March of the Eagles,71,"
19
","
6.9
",43
Marlow Briggs and the Mask of Death,65,"
4
","
7.1
",78
Mars: War Logs,59,"
32
","
7.2
",271
Marvel Puzzle Quest,0,0,0,0
Master Reboot,59,"
13
","
5.9
",39
Megabyte Punch,69,"
7
","
7.4
",29
Memoria,79,"
43
","
8.1
",137
Might & Magic: Heroes VI - Shades of Darkness,66,"
15
","
5.3
",81
Mini Motor Racing EVO,0,"
2
","
5.9
",26
MirrorMoon EP,73,"
9
","
5.5
",20
Monaco: What's Yours Is Mine,83,"
47
","
7.7
",218
Monster Loves You!,0,"
3
","
6.2
",21
Montague's Mount,39,"
21
","
5.0
",40
Mosaico,0,0,0,0
MotoGP13,0,1,5.2,26
Ms. Splosion Man,0,0,"
7.9
",14
MUD Motocross World Championship,0,"
3
",0,0
MURI,0,0,"
6.9
",8
Mutant Mudds Deluxe,0,0,"
6.0
",9
Nancy Drew: Ghost of Thornton Hall,0,"
2
","
8.2
",6
Nancy Drew: The Silent Spy,0,0,0,0
0RUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,80,"
7
","
8.1
",232
