"","V1","V2","V3","V4","V5"
"cur_sta.88","Obliteracers","78","
                                8
                            ","
7.7
    ","9 Ratings"
"cur_sta.89","Kathy Rain","77","
                                24
                            ","
7.2
    ","50 Ratings"
"cur_sta.90","On Rusty Trails","77","
                                9
                            ","
6.4
    ","16 Ratings"
"cur_sta.91","Dark Train","77","
                                8
                            ","NA","0"
"cur_sta.92","Reigns","77","
                                10
                            ","
7.5
    ","41 Ratings"
"cur_sta.93","Echoes Of Aetheria","77","
                                7
                            ","
7.1
    ","10 Ratings"
"cur_sta.94","Lumo","77","
                                7
                            ","
6.0
    ","6 Ratings"
"cur_sta.95","DEADBOLT","76","
                                6
                            ","
8.0
    ","29 Ratings"
"cur_sta.96","Furi","76","
                                12
                            ","
7.7
    ","121 Ratings"
"cur_sta.97","American Truck Simulator","76","
                                31
                            ","
6.8
    ","200 Ratings"
"cur_sta.98","House of the Dying Sun","76","
                                4
                            ","
7.6
    ","11 Ratings"
"cur_sta.99","Clustertruck","76","
                                14
                            ","
7.3
    ","32 Ratings"
"cur_sta.100","Deponia Doomsday","76","
                                29
                            ","
7.1
    ","81 Ratings"
"cur_sta.101","The Final Station","76","
                                24
                            ","
7.3
    ","55 Ratings"
"cur_sta.102","Obduction","76","
                                31
                            ","
7.7
    ","136 Ratings"
"cur_sta.103","The Aquatic Adventure of the Last Human","76","
                                11
                            ","
6.5
    ","16 Ratings"
"cur_sta.104","Everybody's Gone to the Rapture","76","
                                8
                            ","
5.1
    ","86 Ratings"
"cur_sta.105","Polaris Sector","76","
                                8
                            ","
7.1
    ","23 Ratings"
"cur_sta.106","Downfall","75","
                                6
                            ","
7.9
    ","29 Ratings"
"cur_sta.107","Beholder","75","
                                26
                            ","
7.8
    ","134 Ratings"
"cur_sta.108","Battlezone 98 Redux","75","
                                9
                            ","
8.7
    ","10 Ratings"
"cur_sta.109","Killing Floor 2","75","
                                20
                            ","
7.5
    ","53 Ratings"
"cur_sta.110","Road to Ballhalla","75","
                                8
                            ","
7.2
    ","13 Ratings"
"cur_sta.111","Shardlight","75","
                                26
                            ","
6.5
    ","33 Ratings"
"cur_sta.112","Gremlins, Inc.","75","
                                16
                            ","
5.3
    ","55 Ratings"
"cur_sta.113","Seasons After Fall","75","
                                27
                            ","
7.1
    ","28 Ratings"
"cur_sta.114","Space Run Galaxy","75","
                                11
                            ","
5.4
    ","13 Ratings"
"cur_sta.115","Epistory - Typing Chronicles","74","
                                16
                            ","
7.6
    ","37 Ratings"
"cur_sta.116","Neon Chrome","74","
                                10
                            ","
7.5
    ","22 Ratings"
"cur_sta.117","Sora","74","
                                5
                            ","
8.1
    ","8 Ratings"
"cur_sta.118","Headlander","74","
                                25
                            ","
7.7
    ","33 Ratings"
"cur_sta.119","The Curious Expedition","74","
                                11
                            ","NA","0"
"cur_sta.120","Disgaea PC","74","
                                7
                            ","
5.9
    ","47 Ratings"
"cur_sta.121","Blacksea Odyssey","74","
                                5
                            ","NA","0"
"cur_sta.122","The Turing Test","74","
                                31
                            ","
6.8
    ","95 Ratings"
"cur_sta.123","Yesterday Origins","74","
                                14
                            ","
7.3
    ","25 Ratings"
"cur_sta.124","Far Cry Primal","74","
                                18
                            ","
5.2
    ","543 Ratings"
"cur_sta.125","Master of Orion","74","
                                39
                            ","
6.7
    ","139 Ratings"
"cur_sta.126","Virginia","74","
                                36
                            ","
4.9
    ","130 Ratings"
"cur_sta.127","Eagle Flight","74","
                                13
                            ","
6.9
    ","7 Ratings"
"cur_sta.128","WWE 2K16","74","
                                4
                            ","
6.1
    ","41 Ratings"
"cur_sta.129","Street Fighter V","74","
                                33
                            ","
3.1
    ","488 Ratings"
"cur_sta.130","Ladykiller in a Bind","73","
                                7
                            ","
7.4
    ","5 Ratings"
"cur_sta.131","Poly Bridge","73","
                                7
                            ","
6.9
    ","14 Ratings"
"cur_sta.132","The Deadly Tower of Monsters","73","
                                15
                            ","
7.7
    ","42 Ratings"
"cur_sta.133","Turmoil","73","
                                4
                            ","
8.0
    ","16 Ratings"
"cur_sta.134","Project Highrise","73","
                                12
                            ","
7.2
    ","14 Ratings"
"cur_sta.135","Hard Reset Redux","73","
                                13
                            ","
6.6
    ","54 Ratings"
"cur_sta.136","Punch Club","73","
                                30
                            ","
7.1
    ","116 Ratings"
"cur_sta.137","Warlords Battlecry III","73","
                                25
                            ","
8.5
    ","34 Ratings"
"cur_sta.138","The Flame in the Flood","73","
                                43
                            ","
5.9
    ","65 Ratings"
"cur_sta.139","Livelock","73","
                                12
                            ","
7.6
    ","37 Ratings"
"cur_sta.140","Layers of Fear","72","
                                46
                            ","
7.6
    ","273 Ratings"
"cur_sta.141","Lichtspeer","72","
                                9
                            ","
7.7
    ","14 Ratings"
"cur_sta.142","Demetrios - The BIG Cynical Adventure","72","
                                14
                            ","
7.7
    ","15 Ratings"
"cur_sta.143","Valentino Rossi The Game","72","
                                4
                            ","
6.2
    ","15 Ratings"
"cur_sta.144","Steep","72","
                                16
                            ","
7.0
    ","124 Ratings"
"cur_sta.145","DOFUS","72","
                                8
                            ","
7.6
    ","44 Ratings"
"cur_sta.146","Crazy Machines 3","71","
                                11
                            ","
6.5
    ","20 Ratings"
"cur_sta.147","Corpse Party","71","
                                11
                            ","
7.3
    ","12 Ratings"
"cur_sta.148","Aragami","71","
                                15
                            ","
7.2
    ","49 Ratings"
"cur_sta.149","Grow Up","71","
                                9
                            ","
7.4
    ","18 Ratings"
"cur_sta.150","The Order of the Thorne - The King's Challenge","71","
                                6
                            ","
8.0
    ","6 Ratings"
"cur_sta.151","Song of the Deep","71","
                                14
                            ","
6.8
    ","24 Ratings"
"cur_sta.152","Overfall","71","
                                6
                            ","
7.9
    ","9 Ratings"
"cur_sta.153","Dead by Daylight","71","
                                16
                            ","
6.8
    ","331 Ratings"
"cur_sta.154","Transport Fever","71","
                                13
                            ","
7.4
    ","48 Ratings"
"cur_sta.155","Men of Valor","71","
                                27
                            ","
6.2
    ","25 Ratings"
"cur_sta.156","Mantis Burn Racing","71","
                                4
                            ","
7.7
    ","9 Ratings"
"cur_sta.157","Senran Kagura Shinovi Versus","70","
                                11
                            ","
7.2
    ","38 Ratings"
"cur_sta.158","Near Death","70","
                                4
                            ","
7.5
    ","8 Ratings"
"cur_sta.159","BUTCHER","70","
                                4
                            ","
7.5
    ","10 Ratings"
"cur_sta.160","Mother Russia Bleeds","70","
                                42
                            ","
6.9
    ","90 Ratings"
"cur_sta.161","The Warlock of Firetop Mountain","70","
                                7
                            ","
7.3
    ","10 Ratings"
"cur_sta.162","Ember","70","
                                6
                            ","
6.4
    ","13 Ratings"
"cur_sta.163","Marooners","70","
                                4
                            ","
8.1
    ","9 Ratings"
"cur_sta.164","Farming Simulator 17","69","
                                12
                            ","
7.7
    ","47 Ratings"
"cur_sta.165","Sorcery! Parts 1 and 2","69","
                                8
                            ","
7.7
    ","7 Ratings"
"cur_sta.166","Cobalt","69","
                                13
                            ","
6.8
    ","18 Ratings"
"cur_sta.167","99Vidas","69","
                                6
                            ","
7.9
    ","34 Ratings"
"cur_sta.168","8-Bit Armies","69","
                                9
                            ","
7.3
    ","19 Ratings"
"cur_sta.169","Diaries of a Spaceport Janitor","69","
                                7
                            ","
7.1
    ","8 Ratings"
"cur_sta.170","Fragments of Him","69","
                                17
                            ","
5.9
    ","16 Ratings"
"cur_sta.171","How to Survive 2","69","
                                5
                            ","
6.9
    ","22 Ratings"
"cur_sta.172","Battleborn","69","
                                34
                            ","
7.1
    ","396 Ratings"
"cur_sta.173","Don't open the doors!","68","
                                5
                            ","
8.4
    ","5 Ratings"
"cur_sta.174","Job Simulator","68","
                                5
                            ","
8.3
    ","7 Ratings"
"cur_sta.175","Hide and Shriek","68","
                                5
                            ","
5.1
    ","7 Ratings"
"cur_sta.176","The Guest","68","
                                14
                            ","
7.0
    ","24 Ratings"
"cur_sta.177","The Solus Project","68","
                                27
                            ","
6.3
    ","47 Ratings"
"cur_sta.178","WASTED: A Post-Apocalyptic Pub Crawler","68","
                                4
                            ","
7.5
    ","10 Ratings"
"cur_sta.179","Rogue Stormers","68","
                                10
                            ","
7.6
    ","14 Ratings"
"cur_sta.180","WRC 6: World Rally Championship","66","
                                9
                            ","
5.7
    ","26 Ratings"
"cur_sta.181","Good Robot","67","
                                5
                            ","NA","0"
"cur_sta.182","The Way","67","
                                14
                            ","
7.4
    ","17 Ratings"
"cur_sta.183","Small Radios Big Televisions","67","
                                7
                            ","
4.6
    ","5 Ratings"
"cur_sta.184","Ride 2","67","
                                7
                            ","
7.4
    ","23 Ratings"
"cur_sta.185","Dungeon Souls","67","
                                8
                            ","
5.4
    ","7 Ratings"
"cur_sta.186","Rogue Wizards","67","
                                8
                            ","
6.5
    ","8 Ratings"
"cur_sta.187","TurnOn","67","
                                8
                            ","
4.8
    ","9 Ratings"
"cur_sta.188","CALENDULA","67","
                                7
                            ","
7.2
    ","10 Ratings"
"cur_sta.189","Champions of Anteria","67","
                                20
                            ","
7.1
    ","27 Ratings"
"cur_sta.190","Dark Fear","66","
                                4
                            ","NA","0"
"cur_sta.191","Lethal VR","66","
                                4
                            ","NA","0"
"cur_sta.192","Quantum Break","66","
                                14
                            ","
5.3
    ","742 Ratings"
"cur_sta.193","Karma. Incarnation 1","66","
                                4
                            ","
7.8
    ","19 Ratings"
"cur_sta.194","Zombasite","66","
                                5
                            ","
8.5
    ","4 Ratings"
"cur_sta.195","Metrico+","66","
                                5
                            ","NA","0"
"cur_sta.196","Rusty Lake Hotel","65","
                                4
                            ","
6.8
    ","6 Ratings"
"cur_sta.197","Pirate Pop Plus","65","
                                6
                            ","NA","0"
"cur_sta.198","Maize","65","
                                17
                            ","
7.4
    ","24 Ratings"
"cur_sta.199","The Silver Case","64","
                                12
                            ","
7.6
    ","14 Ratings"
"cur_sta.200","The Town of Light","64","
                                22
                            ","
6.9
    ","76 Ratings"
"cur_sta.201","Californium","64","
                                11
                            ","
6.0
    ","8 Ratings"
"cur_sta.202","Ryzom","NA","0","NA","0"
"cur_sta.203","ADR1FT","64","
                                40
                            ","
5.1
    ","55 Ratings"
"cur_sta.204","Pro Cycling Manager 2016","64","
                                6
                            ","
5.7
    ","6 Ratings"
"cur_sta.205","Franchise Hockey Manager 3","64","
                                7
                            ","NA","0"
"cur_sta.206","Crush Your Enemies","63","
                                17
                            ","
6.5
    ","11 Ratings"
"cur_sta.207","March of the Living","63","
                                4
                            ","NA","0"
"cur_sta.208","Spellweaver","63","
                                5
                            ","
8.1
    ","20 Ratings"
"cur_sta.209","Youtubers Life","63","
                                5
                            ","
7.1
    ","23 Ratings"
"cur_sta.210","Through the Woods","63","
                                10
                            ","
5.9
    ","25 Ratings"
"cur_sta.211","The Westport Independent","63","
                                15
                            ","
5.8
    ","5 Ratings"
"cur_sta.212","Obscuritas","63","
                                7
                            ","
4.0
    ","6 Ratings"
"cur_sta.213","Wheels of Aurelia","63","
                                11
                            ","
5.8
    ","6 Ratings"
"cur_sta.214","The Little Acre","62","
                                12
                            ","
6.7
    ","18 Ratings"
"cur_sta.215","Sheltered","62","
                                10
                            ","
4.3
    ","29 Ratings"
"cur_sta.216","Moon Hunters","62","
                                14
                            ","
6.2
    ","15 Ratings"
"cur_sta.217","Little King's Story","62","
                                17
                            ","
7.3
    ","6 Ratings"
"cur_sta.218","Between Me and The Night","62","
                                9
                            ","
5.8
    ","8 Ratings"
"cur_sta.219","Mafia III","62","
                                31
                            ","
3.6
    ","1205 Ratings"
"cur_sta.220","Into the Stars","61","
                                17
                            ","
3.1
    ","13 Ratings"
"cur_sta.221","The Dwarves","61","
                                17
                            ","
6.5
    ","47 Ratings"
"cur_sta.222","Tharsis","61","
                                23
                            ","
4.6
    ","43 Ratings"
"cur_sta.223","Fossil Echo","61","
                                4
                            ","
6.3
    ","9 Ratings"
"cur_sta.224","No Man's Sky","61","
                                17
                            ","
2.8
    ","2117 Ratings"
"cur_sta.225","Her Majesty's SPIFFING","60","
                                5
                            ","
6.2
    ","13 Ratings"
"cur_sta.226","We Are The Dwarves","60","
                                23
                            ","
7.7
    ","36 Ratings"
"cur_sta.227","Shooting Stars!","59","
                                9
                            ","
7.2
    ","10 Ratings"
"cur_sta.228","The Descendant","61","
                                9
                            ","
7.4
    ","13 Ratings"
"cur_sta.229","Clockwork Empires","58","
                                8
                            ","
3.5
    ","6 Ratings"
"cur_sta.230","Scrap Garden","58","
                                7
                            ","NA","0"
"cur_sta.231","Time Machine VR","58","
                                7
                            ","
8.4
    ","8 Ratings"
"cur_sta.232","The Bunker","57","
                                7
                            ","
5.7
    ","28 Ratings"
"cur_sta.233","Zenith","57","
                                4
                            ","
7.3
    ","11 Ratings"
"cur_sta.234","Kill to Collect","57","
                                4
                            ","
6.0
    ","6 Ratings"
"cur_sta.235","Soul Axiom","57","
                                18
                            ","
6.2
    ","9 Ratings"
"cur_sta.236","Goliath","57","
                                7
                            ","
6.9
    ","7 Ratings"
"cur_sta.237","The Technomancer","56","
                                34
                            ","
6.6
    ","173 Ratings"
"cur_sta.238","Syndrome","56","
                                18
                            ","
5.6
    ","17 Ratings"
"cur_sta.239","Alice VR","55","
                                5
                            ","
7.3
    ","4 Ratings"
"cur_sta.240","OmniBus","55","
                                6
                            ","
6.4
    ","8 Ratings"
"cur_sta.241","The Assembly","55","
                                10
                            ","
5.9
    ","10 Ratings"
"cur_sta.242","Bohemian Killing","55","
                                11
                            ","
5.9
    ","14 Ratings"
"cur_sta.243","Ray Gigant","55","
                                4
                            ","NA","0"
"cur_sta.244","POSTAL Redux","54","
                                10
                            ","
6.7
    ","26 Ratings"
"cur_sta.245","Dangerous Golf","54","
                                14
                            ","
3.2
    ","28 Ratings"
"cur_sta.246","Trials of the Blood Dragon","54","
                                8
                            ","
6.6
    ","17 Ratings"
"cur_sta.247","Hybrid Wars","54","
                                4
                            ","
6.3
    ","14 Ratings"
"cur_sta.248","E.T. Armies","54","
                                12
                            ","
6.9
    ","39 Ratings"
"cur_sta.249","Breached","54","
                                17
                            ","
7.0
    ","4 Ratings"
"cur_sta.250","Shadwen","53","
                                22
                            ","
6.3
    ","35 Ratings"
"cur_sta.251","Dead Effect 2","53","
                                4
                            ","
6.1
    ","19 Ratings"
"cur_sta.252","Phantaruk","53","
                                14
                            ","
7.7
    ","9 Ratings"
"cur_sta.253","I Want To Be Human","53","
                                4
                            ","NA","0"
"cur_sta.254","Code of Princess","53","
                                4
                            ","
5.0
    ","6 Ratings"
"cur_sta.255","Planar Conquest","53","
                                8
                            ","
6.1
    ","23 Ratings"
"cur_sta.256","Back in 1995","52","
                                7
                            ","
5.0
    ","5 Ratings"
"cur_sta.257","Mighty No. 9","52","
                                18
                            ","
3.6
    ","177 Ratings"
"cur_sta.258","Dinocide","51","
                                7
                            ","
6.7
    ","10 Ratings"
"cur_sta.259","IS Defense","50","
                                5
                            ","
7.6
    ","31 Ratings"
"cur_sta.260","Guards","49","
                                5
                            ","
7.6
    ","7 Ratings"
"cur_sta.261","Dreambreak","46","
                                5
                            ","NA","0"
"cur_sta.262","RollerCoaster Tycoon World","43","
                                7
                            ","
2.1
    ","75 Ratings"
"cur_sta.263","Bombshell","NA","0","NA","0"
"cur_sta.264","Super Duper Party Pooper","40","
                                4
                            ","NA","0"
"cur_sta.265","Doors","40","
                                4
                            ","NA","0"
"cur_sta.266","Alekhine's Gun","40","
                                12
                            ","
4.7
    ","50 Ratings"
"cur_sta.267","Ian's Eyes","36","
                                4
                            ","NA","0"
"cur_sta.268","Magical Eyes - Red is for Anguish","77","
                                6
                            ","NA","0"
"cur_sta.269","The Real Texas","74","
                                5
                            ","
8.8
    ","4 Ratings"
"cur_sta.270","Nemesis of the Roman Empire","74","
                                17
                            ","
7.3
    ","10 Ratings"
"cur_sta.271","The Minims","73","
                                4
                            ","NA","0"
"cur_sta.272","Talent Not Included","73","
                                5
                            ","NA","0"
"cur_sta.273","Ninja Senki","72","
                                6
                            ","NA","0"
"cur_sta.274","LOUD on Planet X","72","
                                6
                            ","NA","0"
"cur_sta.275","Wailing Heights","70","
                                7
                            ","
6.9
    ","7 Ratings"
"cur_sta.276","The Collider 2","70","
                                17
                            ","NA","0"
"cur_sta.277","Excubitor","69","
                                6
                            ","NA","0"
"cur_sta.278","Defragmented","68","
                                4
                            ","NA","0"
"cur_sta.279","Last Days of Old Earth","66","
                                4
                            ","NA","0"
"cur_sta.280","Super Rad Raygun","64","
                                6
                            ","NA","0"
"cur_sta.281","No Pineapple Left Behind","59","
                                5
                            ","NA","0"
"cur_sta.282","Highland Warriors","58","
                                12
                            ","
6.0
    ","5 Ratings"
"cur_sta.283","Stereo Aereo","58","
                                6
                            ","NA","0"
"cur_sta.284","Hunter's Legacy","58","
                                12
                            ","NA","0"
"cur_sta.285","ZHEROS","58","
                                7
                            ","
6.1
    ","8 Ratings"
"cur_sta.286","The Great Escape","NA","0","NA","0"
"cur_sta.287","The Preposterous Awesomeness of Everything","54","
                                5
                            ","NA","0"
"cur_sta.288","Shiny","51","
                                10
                            ","NA","0"
"cur_sta.289","Ares Omega","49","
                                4
                            ","NA","0"
"cur_sta.290","MilitAnt","41","
                                4
                            ","NA","0"
"cur_sta.291","Blue Revolver","NA","
                                2
                            ","NA","0"
"cur_sta.292","Water Bears VR","NA","
                                1
                            ","NA","0"
"cur_sta.293","WORLD END ECONOMiCA episode.03","NA","0","NA","0"
"cur_sta.294","Ty the Tasmanian Tiger","NA","
                                1
                            ","
9.0
    ","4 Ratings"
"cur_sta.295","Waltz of the Wizard","NA","0","NA","0"
"cur_sta.296","Iron Snout","NA","0","
8.0
    ","14 Ratings"
"cur_sta.297","Factorio","NA","0","NA","0"
"cur_sta.298","Recursed","NA","0","NA","0"
"cur_sta.299","Redirection","NA","0","NA","0"
"cur_sta.300","Carrie's Order Up!","NA","
                                1
                            ","NA","0"
"cur_sta.301","The Sea Will Claim Everything","NA","
                                2
                            ","NA","0"
"cur_sta.302","WITCH-BOT MEGLILO","NA","0","NA","0"
"cur_sta.303","Glass Masquerade","NA","
                                2
                            ","
8.2
    ","5 Ratings"
"cur_sta.304","Lazerbait","NA","0","NA","0"
"cur_sta.305","Narcissu 10th Anniversary Anthology Project","NA","0","NA","0"
"cur_sta.306","The Room Two","NA","
                                2
                            ","
8.2
    ","19 Ratings"
"cur_sta.307","Bit Blaster XL","NA","0","
8.0
    ","13 Ratings"
"cur_sta.308","NEKOPARA Vol. 2","NA","
                                1
                            ","
7.7
    ","24 Ratings"
"cur_sta.309","Kindred Spirits on the Roof","NA","
                                1
                            ","
5.8
    ","5 Ratings"
"cur_sta.310","SculptrVR","NA","0","NA","0"
"cur_sta.311","VR The Diner Duo","NA","0","NA","0"
"cur_sta.312","Sally Face","NA","0","NA","0"
"cur_sta.313","LiEat","NA","0","
7.4
    ","14 Ratings"
"cur_sta.314","Hot Dogs, Horseshoes & Hand Grenades","NA","0","NA","0"
"cur_sta.315","Rabi-Ribi","NA","
                                3
                            ","
7.7
    ","30 Ratings"
"cur_sta.316","klocki","NA","0","
5.5
    ","4 Ratings"
"cur_sta.317","Princess Remedy In a World of Hurt","NA","0","
7.6
    ","7 Ratings"
"cur_sta.318","Grandpa's Table","NA","0","NA","0"
"cur_sta.319","ZeGame","NA","
                                1
                            ","NA","0"
"cur_sta.320","Harmonia","NA","
                                1
                            ","
6.0
    ","4 Ratings"
"cur_sta.321","Anyland","NA","0","NA","0"
"cur_sta.322","The House in Fata Morgana","NA","
                                2
                            ","
9.1
    ","15 Ratings"
"cur_sta.323","SoulSet","NA","0","NA","0"
"cur_sta.324","Pocket Kingdom","NA","0","NA","0"
"cur_sta.325","Google Earth VR","NA","0","
8.0
    ","5 Ratings"
"cur_sta.326","Mad Father","NA","
                                1
                            ","
8.3
    ","7 Ratings"
"cur_sta.327","Surge","NA","0","NA","0"
"cur_sta.328","Allumette","NA","0","NA","0"
"cur_sta.329","Trick & Treat","NA","0","NA","0"
